,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95,val_96,val_97,val_98,val_99,val_100,val_101,val_102,val_103,val_104,val_105,val_106,val_107,val_108,val_109,val_110,val_111,val_112,val_113,val_114,val_115,val_116,val_117,val_118,val_119,val_120,val_121,val_122,val_123,val_124,val_125,val_126,val_127
2020-06-02.out.0,0.0,1.4716041,1.4661371,1.4547274,1.4718006,1.4122995,1.4389088,1.4009707,1.3909093,1.2018395,1.2992697,1.3277418,1.433117,1.5200447,1.3934335,1.3895005,1.3574114,1.3960495,1.4261031,1.4457005,1.4765458,1.5081592,1.5342117,1.5564617,1.5788973,1.5713967,1.5814452,1.4934335,1.4255464,1.4486562,1.3926418,1.3993634,1.3823583,1.3700778,1.3446737,1.378835,1.3963969,1.4007138,1.4639257,1.3570037,1.4619711,1.4840483,1.4713582,1.5124267,1.5157535,1.541806,1.5430736,1.3682516,1.3157625,1.3278465,1.3246006,1.3014908,1.3953278,1.4482009,1.3316015,1.2859278,1.3989891,1.4723689,1.4801854,1.5119952,1.5365946,1.5588684,1.5270823,1.5584844,1.4758479,1.5480519,1.5035648,1.5128215,1.5568695,1.5886793,1.583306,1.5635231,1.5752102,1.4191387,1.380012,1.428199,1.514719,1.4258495,1.3991098,1.4641588,1.4732556,1.5249293,1.503855,1.5264762,1.540421,1.5706859,1.5701972,1.5678715,1.4784067,1.2337193,1.2798913,1.3573164,1.3992684,1.3528742,1.3720401,1.399838,1.4124344,1.4520606,1.520473,1.5536441,1.5185075,1.5279864,1.5650905,1.5395375,1.5673353,1.5814657,1.6096713,1.6583341,1.6761625,1.683281,1.6935754,1.6877848,1.6516946,1.6270271,1.6900296,1.7074997,1.7138502,1.6216648,1.5980298,1.5535555,1.5888411,1.5142304,1.5252086,1.5036457,1.5026318,1.4508535,1.4199272,1.4239725,1.5210554
2020-06-02.out.1,0.0,1.5480519,1.5035648,1.5128215,1.5568695,1.5886793,1.583306,1.5635231,1.5752102,1.4191387,1.380012,1.428199,1.514719,1.4258495,1.3991098,1.4641588,1.4732556,1.5249293,1.503855,1.5264762,1.540421,1.5706859,1.5701972,1.5678715,1.4784067,1.2337193,1.2798913,1.3573164,1.3992684,1.3528742,1.3720401,1.399838,1.4124344,1.4520606,1.520473,1.5536441,1.5185075,1.5279864,1.5650905,1.5395375,1.5673353,1.5814657,1.6096713,1.6583341,1.6761625,1.683281,1.6935754,1.6877848,1.6516946,1.6270271,1.6900296,1.7074997,1.7138502,1.6216648,1.5980298,1.5535555,1.5888411,1.5142304,1.5252086,1.5036457,1.5026318,1.4508535,1.4199272,1.4239725,1.5210554,1.5083653,1.5564714,1.5568662,1.5731734,1.5470605,1.51724,1.5301266,1.5369658,1.4482818,1.5082606,1.5187868,1.5488276,1.5121807,1.528859,1.5878734,1.431789,1.4280545,1.4457101,1.4444426,1.5078657,1.4773343,1.5937481,1.5832348,1.6026337,1.5979585,1.5954915,1.4512818,1.5030729,1.5034441,1.5679492,1.5334425,1.5557605,1.589663,1.6380702,1.6618099,1.7806778,1.825014,1.8027769,1.3507707,1.3345572,1.3458829,1.3789859,1.571728,1.5158311,1.3414978,1.3456369,1.2430762,1.3021239,1.2666142,1.3188831,1.3786635,1.4646634,1.5604088,1.550698,1.642617,1.3347396,1.5041883,1.3563358,1.3815286,1.4305754,1.1973324,1.4025445,1.479646,1.3789461
2020-06-02.out.2,0.0,1.4949835,1.4626408,1.5954536,1.5863124,1.588965,1.679802,1.6899423,1.7011902,1.7557515,1.7576252,1.7432155,1.7392016,1.6470354,1.5528716,1.536436,1.5704797,1.4281418,1.593185,1.624833,1.6028289,1.6138104,1.4773106,1.6042949,1.4262033,1.6011299,1.6109453,1.6121082,1.5042897,1.6335189,1.639522,1.734371,1.7487602,1.5193198,1.6149258,1.6550041,1.713052,1.7522963,1.7553566,1.7968675,1.801765,1.7906325,1.4629375,1.4386982,1.4313909,1.4834852,1.5710159,1.5870566,1.5212269,1.5767397,1.4028033,1.2775019,1.3362594,1.4287922,1.420116,1.4391567,1.4704907,1.5560334,1.6048375,1.6290529,1.6596999,1.6151556,1.6116433,1.6674721,1.6882561,1.6874772,1.6696123,1.6330572,1.653167,1.6233227,1.6212506,1.6408737,1.6662283,1.7280808,1.7513999,1.7813251,1.7906184,1.6081104,1.6374422,1.6403484,1.6982365,1.7204736,1.6765432,1.677403,1.6855226,1.7002829,1.6762768,1.6505953,1.4842274,1.3687801,1.3499583,1.3724639,1.4263715,1.5233606,1.4001205,1.4001205,1.5011915,1.5720029,1.6493137,1.6494183,1.6238653,1.6638627,1.6820307,1.6566524,1.6838473,1.7694029,1.7080757,1.6458154,1.754771,1.7127509,1.7167519,1.7522725,1.6966788,1.6490485,1.7022009,1.7202643,1.6395695,1.7082484,1.7521313,1.81396,1.7094813,1.6133391,1.5503808,1.6161663,1.6359859,1.6648529,1.7747048,1.7130745,1.6580612
2020-06-02.out.3,0.0,1.5893695,1.6131664,1.6397076,1.6815183,1.751292,1.8108079,1.7984445,1.7392318,1.5615716,1.5639545,1.7061178,1.7157034,1.6949431,1.6493849,1.639522,1.6780426,1.6126777,1.6324607,1.6835905,1.7301369,1.4990212,1.5757958,1.5747947,1.684474,1.715808,1.6142246,1.4732351,1.4319206,1.4986231,1.5191168,1.6237003,1.5501478,1.5135009,1.5283055,1.4939478,1.4781055,1.3997602,1.3582731,1.4321049,1.5476904,1.5524022,1.5525987,1.5970986,1.5917492,1.6068935,1.6397853,1.644194,1.5995894,1.5852368,1.6357734,1.6941135,1.6533461,1.5997178,1.6768894,1.6593255,1.6611992,1.6373786,1.6588497,1.6735734,1.6599317,1.6911353,1.692243,1.69701,1.7141899,1.7087229,1.6566286,1.6894966,1.6796337,1.5535112,1.5673256,1.6673404,1.6041029,1.55729,1.6448002,1.5947524,1.5991374,1.559592,1.6097317,1.6126141,1.5302935,1.506541,1.5067394,1.5021817,1.6504496,1.6707449,1.703532,1.6776207,1.6417842,1.6086259,1.6425759,1.6483331,1.6450063,1.64688,1.6458347,1.6513126,1.6603837,1.5530797,1.626026,1.6443925,1.4956802,1.5808518,1.5419493,1.5815152,1.6394475,1.685913,1.700846,1.6520786,1.680062,1.6917749,1.6950779,1.6945893,1.7162459,1.6818882,1.7241067,1.7489046,1.7319598,1.6196755,1.6693393,1.7004511,1.7050584,1.7144197,1.7392176,1.650045,1.6517171,1.6610676,1.7204768,1.7810746,1.728782
2020-06-02.out.4,0.0,1.6712336,1.5859002,1.6015203,1.6266084,1.6591733,1.654963,1.6673006,1.6799227,1.7138027,1.6639532,1.6970197,1.6930315,1.7283537,1.7526501,1.7218413,1.6619068,1.6397615,1.7465217,1.7387161,1.7078027,1.7290517,1.7173959,1.7072428,1.738318,1.7193948,1.7224314,1.7122892,1.7247,1.7656747,1.8106396,1.7602206,1.6763641,1.6953001,1.7114769,1.6589069,1.6614419,1.6595811,1.6737244,1.6680718,1.6918558,1.6554754,1.6667676,1.7015903,1.6650115,1.7365175,1.7539067,1.7405295,1.7421258,1.7409501,1.7741083,1.7604666,1.7025342,1.7717826,1.6141276,1.6991836,1.7176181,1.793533,1.7703166,1.7800068,1.7947434,1.6916131,1.773063,1.7489521,1.6896476,1.6378069,1.6368187,1.6397378,1.6588594,1.6122321,1.6705593,1.7269815,1.7345392,1.6740955,1.7365984,1.7395413,1.7826799,1.8031628,1.7258995,1.6544377,1.6943196,1.7255489,1.7549412,1.7756314,1.7470675,1.7117325,1.7584644,1.6049723,1.5708939,1.6007619,1.6678387,1.7036258,1.6989377,1.670732,1.6676037,1.6840046,1.6529609,1.6000877,1.635399,1.6496578,1.6071125,1.6439944,1.6586005,1.6914685,1.7023216,1.7225252,1.7327592,1.7588247,1.6873057,1.6600903,1.6602887,1.6883639,1.6587309,1.6672088,1.6898299,1.6095666,1.6633933,1.6728613,1.6871902,1.6805732,1.5548532,1.5231955,1.5552609,1.5346991,1.5219043,1.5143671,1.426227,1.4158979,1.2393435
2020-06-02.out.5,0.0,1.3787971,1.4065583,1.4440207,1.4852304,1.5382082,1.5283453,1.5184015,1.518982,1.4385665,1.5212031,1.5488025,1.5812185,1.5900251,1.5823004,1.5778108,1.559852,1.533917,1.5499082,1.5726469,1.5626221,1.5372675,1.5515835,1.6129474,1.5671118,1.6313138,1.6616577,1.6016789,1.5824783,1.5307423,1.519915,1.4596202,1.4895454,1.4790083,1.5249614,1.5077026,1.5385113,1.575553,1.6095159,1.6023974,1.5759737,1.4202733,1.3646063,1.3748294,1.3725846,1.3366562,1.2996568,1.283864,1.3513928,1.4034633,1.462687,1.48817,1.5147241,1.5506287,1.5696437,1.5811581,1.550838,1.5461628,1.5653762,1.5785421,1.5894999,1.5681334,1.6817091,1.6689251,1.6193917,1.5924664,1.5822195,1.5004665,1.6100174,1.5776123,1.6008396,1.633522,1.5158665,1.4583732,1.4349861,1.3560918,1.4093381,1.4292366,1.4590571,1.4473,1.3749341,1.4586526,1.3148378,1.4110576,1.5680621,1.5175623,1.6289168,1.6658668,1.6373818,1.6444323,1.6126334,1.5928504,1.517832,1.5049562,1.5215299,1.5289258,1.53837,1.6106916,1.6673674,1.6995978,1.6359891,1.6265211,1.5979906,1.6732755,1.6416859,1.5999798,1.4465114,1.6358035,1.6959916,1.6379675,1.5830222,1.6196138,1.5926282,1.6788947,1.663787,1.6830812,1.6931426,1.7167044,1.6866874,1.7469564,1.7065179,1.683803,1.717604,1.724221,1.7348153,1.6903391,1.7143819,1.7136948,1.7190442
2020-06-02.out.6,0.0,1.4275677,1.5848959,1.6631474,1.7029721,1.3235378,1.2850172,0.9670913,1.0960238,1.1733205,1.364822,1.5528703,1.7389402,1.7630748,1.6513286,1.7944563,1.704273,1.7811761,1.8180451,1.5408717,1.5465371,1.2099179,1.1441517,1.1591881,1.2373112,1.3847893,1.3788574,1.528466,1.4328395,1.3947158,1.3196845,1.3210566,1.4764668,1.563444,1.5610245,1.5526514,1.6122828,1.5862411,1.4712381,1.5670277,1.4196196,1.2473661,1.3615922,1.3469603,1.323733,1.3046814,1.3996241,1.2590423,1.1618548,1.2612159,1.2342798,1.4087178,1.4946554,1.1486176,1.3028411,1.3044117,1.339723,1.2140762,1.2194257,1.1727618,1.2327772,1.2425355,1.1473263,1.2319174,1.1880917,1.2652137,1.2866039,1.2682612,1.2645999,1.2697509,1.2621328,1.3137384,1.3420487,1.3011529,1.2767076,1.2730097,1.2497458,1.2459432,1.2477803,1.2242756,1.2929544,1.2522699,1.2156674,1.2560379,1.2477565,1.2126437,1.2208441,1.2770184,1.2481642,1.2107828,1.2232379,1.1988478,1.0588247,1.1889945,1.2442409,1.2208647,1.0831339,0.9523913,0.9967962,1.0796755,1.0519617,1.1125596,1.0414246,1.1595342,1.152941,1.2008229,1.229609,1.2018368,1.1704219,1.1447642,1.1526379,1.1501946,1.1527425,1.172643,1.1617348,1.1599528,1.1197699,1.0849344,1.1017874,1.0453415,1.1120786,1.1378667,1.0920054,1.1006008,1.0712451,1.042608,1.0522044,0.9983431,1.0326513
2020-06-02.out.7,0.0,1.0372585,1.0508322,1.0252792,1.0131715,1.033375,1.0475054,1.042608,1.0334559,1.0148359,0.890352,0.9147164,0.9401519,0.9538194,0.9633792,0.9462251,0.9766498,0.9062957,0.9092019,0.9136916,0.8729024,0.900805,0.9309395,0.945676,0.9030498,0.89164,0.9123065,0.9165188,0.9301606,0.8388349,0.8265988,0.9026992,0.9340203,0.700568,0.8230864,0.9030703,0.9401615,0.9519662,0.9555961,0.8898601,0.8364745,0.9120734,0.934125,0.9258565,0.8989312,0.9077122,0.9032225,0.8985601,0.882624,0.8708194,0.8543395,0.8443591,0.8432642,0.8441864,0.841824,0.837439,0.802104,0.7978936,0.8698992,0.8413225,0.8473828,0.8531529,0.8188998,0.8311802,0.84329,0.8510936,0.8536287,0.8486632,0.8618291,0.840358,0.8253312,0.804639,0.8254121,0.7966498,0.7875529,0.791554,0.7998591,0.8031859,0.8091287,0.8139215,0.8036746,0.8019184,0.7902993,0.803557,0.8108978,0.7842627,0.7919617,0.7525576,0.7397628,0.7153489,0.6921473,0.741589,0.7545565,0.761989,0.742287,0.7315514,0.7150458,0.6993448,0.6856112,0.7152571,0.6965323,0.6811896,0.7024623,0.6271664,0.6721184,0.6569979,0.633969,0.7001128,0.6047052,0.6349097,0.6143479,0.7080911,0.623803,0.640586,0.6285958,0.6344339,0.6244644,0.601553,0.5435969,0.5488655,0.6139401,0.541352,0.5636701,0.5658231,0.557518,0.6019133,0.5838736,0.5614252,0.5212185
2020-06-02.out.8,0.0,0.5154484,0.5267773,0.5662751,0.5519463,0.5809308,0.55497,0.5760334,0.5960385,0.5814066,0.5668813,0.5801519,0.5440489,0.5171366,0.5654154,0.5427943,0.5120407,0.4694016,0.414866,0.4070258,0.4176438,0.4596087,0.439802,0.4507231,0.4521633,0.4719829,0.4224366,0.4232046,0.4034897,0.4200633,0.4089566,0.4289489,0.4631102,0.3464171,0.3930906,0.3616757,0.3044175,0.4047097,0.4179803,0.4557457,0.4560488,0.4122597,0.4224937,0.4545829,0.4761586,0.4855457,0.4791014,0.3945232,0.3632938,0.3745989,0.3765169,0.3744448,0.3603715,0.3500566,0.3689669,0.4180374,0.4096643,0.4044875,0.3862514,0.4014638,0.3551396,0.3399953,0.3725859,0.4143266,0.3924844,0.397753,0.3910993,0.3606746,0.3745277,0.3539163,0.3808287,0.2852484,0.3300957,0.3449132,0.369792,0.3749559,0.3397364,0.3486478,0.3872255,0.3942502,0.3993332,0.3952879,0.3905998,0.3309793,0.2736974,0.3009148,0.3611967,0.3587663,0.3960302,0.3923322,0.3966235,0.4475549,0.4563615,0.455476,0.4598848,0.4137333,0.4184214,0.3772483,0.3038447,0.4315636,0.2920401,0.4456703,0.4287126,0.4495224,0.4854378,0.4997904,0.5002791,0.491893,0.4197256,0.3951704,0.3876699,0.3564405,0.4164193,0.4360404,0.4726559,0.4845523,0.4190719,0.3518462,0.2958761,0.2354895,0.3705093,0.4758035,0.4475645,0.4733506,0.4781305,0.4683151,0.3895178,0.2933076,0.3134874
2020-06-02.out.9,0.0,0.4038909,0.3795374,0.3307571,0.35879,0.4169317,0.3950895,0.3913549,0.3263169,0.3096591,0.3880981,0.3531137,0.3139632,0.3234184,0.3410869,0.3427621,0.2845838,0.2889688,0.3330611,0.3442595,0.3777337,0.3699172,0.3761868,0.3840033,0.3562992,0.3774672,0.4121961,0.4440554,0.4298992,0.4185704,0.3098813,0.3269307,0.3837131,0.3503436,0.4298884,0.3745719,0.3611029,0.3424828,0.3472756,0.3831673,0.3820173,0.366105,0.2357592,0.3346663,0.3112663,0.3006592,0.4101163,0.4368559,0.4179328,0.2841664,0.3255823,0.3154292,0.1376515,0.2782776,0.1791946,0.2187842,0.2439199,0.2616802,0.2431647,0.2765214,0.2589833,0.2932235,0.2809668,0.3027152,0.2685797,0.2822343,0.2777446,0.323209,0.3593229,0.3272338,0.1791515,0.2165535,0.1934695,0.3113915,0.2943421,0.295808,0.3176503,0.2777446,0.2009334,0.2834543,0.2781729,0.2071684,0.3021425,0.3269404,0.3185672,0.3359435,0.3465853,0.3438646,0.3727682,0.3574621,0.3649755,0.3231519,0.3311302,0.3762915,0.3006926,0.3150214,0.3510178,0.2763024,0.2924921,0.3282683,0.3095544,0.3779559,0.2767782,0.2704406,0.245154,0.2724761,0.2739292,0.2943421,0.289573,0.2676262,0.3009957,0.3142663,0.3204993,0.3147421,0.3083107,0.2829561,0.2555422,0.1459804,0.1719746,0.2297895,0.2234389,0.2509337,0.3016667,0.3146837,0.3118564,0.3012384,0.3103096,0.3152879,0.3317807
