,Random Black Forest (RR)
OBSEA/2020-01-02.out,0.1258534776689847
OBSEA/2020-01-03.out,0.1132356444078025
OBSEA/2020-01-04.out,0.3882246036774612
OBSEA/2020-01-05.out,0.1479146566428337
OBSEA/2020-01-06.out,0.359804425282863
OBSEA/2020-01-07.out,0.4641681810700412
OBSEA/2020-01-08.out,0.4878520484592175
OBSEA/2020-01-09.out,0.5542152026692755
OBSEA/2020-01-10.out,1.0
OBSEA/2020-01-11.out,1.0
OBSEA/2020-01-12.out,1.0
OBSEA/2020-01-13.out,1.0000000000000002
OBSEA/2020-01-14.out,1.0
OBSEA/2020-01-15.out,1.0000000000000002
OBSEA/2020-01-16.out,1.0
OBSEA/2020-01-17.out,1.0
OBSEA/2020-01-18.out,1.0000000000000002
OBSEA/2020-01-19.out,1.0
OBSEA/2020-01-20.out,0.9717072064316098
OBSEA/2020-01-21.out,1.0
OBSEA/2020-01-22.out,1.0
OBSEA/2020-02-29.out,0.0552161609167899
OBSEA/2020-03-10.out,0.071162127537401
OBSEA/2020-03-15.out,0.4437812304259396
OBSEA/2020-03-17.out,0.154281031702924
OBSEA/2020-03-29.out,0.0857012468344042
OBSEA/2020-04-01.out,0.1548430592473743
OBSEA/2020-04-10.out,0.319014160556935
OBSEA/2020-04-11.out,0.5894813348922273
OBSEA/2020-04-15.out,0.503611206837932
OBSEA/2020-05-14.out,0.5915924170249667
OBSEA/2020-05-15.out,0.3902513465781471
OBSEA/2020-05-16.out,0.7416791315442286
OBSEA/2020-05-23.out,0.0499340299098947
OBSEA/2020-05-24.out,0.124648148086872
OBSEA/2020-05-26.out,0.1191102913791501
OBSEA/2020-05-27.out,0.2867816342301219
OBSEA/2020-05-28.out,0.4405448541260161
OBSEA/2020-05-29.out,0.2002135586335668
OBSEA/2020-05-30.out,0.2826884045073912
OBSEA/2020-05-31.out,0.0340305431331235
OBSEA/2020-06-01.out,0.1463012879381302
OBSEA/2020-06-04.out,0.2691841937579323
OBSEA/2020-06-05.out,0.6004774192034623
OBSEA/2020-06-07.out,0.5503203194083858
OBSEA/2020-06-08.out,0.3379733754448888
OBSEA/2020-06-09.out,0.3121058318225455
OBSEA/2020-06-10.out,0.1991138389710945
OBSEA/2020-06-11.out,0.6113967101201255
OBSEA/2020-06-13.out,0.3330265206931007
OBSEA/2020-06-14.out,0.2235049674991174
OBSEA/2020-06-15.out,0.609961403477437
OBSEA/2020-06-16.out,0.1948770903912998
OBSEA/2020-06-17.out,0.4056447535461005
OBSEA/2020-06-18.out,0.22376314443949
OBSEA/2020-06-19.out,0.5517530820745554
OBSEA/2020-06-20.out,0.6782893009393418
OBSEA/2020-06-21.out,0.6028325790938178
OBSEA/2020-06-22.out,0.3395350014622596
OBSEA/2020-06-23.out,0.3719045901833251
OBSEA/2020-06-24.out,0.3634388623382752
OBSEA/2020-06-25.out,0.5349360988408771
OBSEA/2020-06-26.out,0.4464300497272818
OBSEA/2020-06-27.out,0.4707963124347903
OBSEA/2020-06-28.out,0.2663721277769256
OBSEA/2020-06-29.out,0.0147569444444444
OBSEA/2020-06-30.out,0.2350469591380663
OBSEA/2020-07-01.out,0.2944682784576926
OBSEA/2020-07-02.out,0.3828759061293166
OBSEA/2020-07-03.out,0.4391413811840264
OBSEA/2020-07-04.out,0.2877466050763956
OBSEA/2020-07-05.out,0.3295102012780579
OBSEA/2020-07-06.out,0.4556310576921425
OBSEA/2020-07-07.out,0.3792460791174206
OBSEA/2020-07-08.out,0.2594759593647566
OBSEA/2020-07-09.out,0.4438952305436216
OBSEA/2020-07-10.out,0.369918832044183
OBSEA/2020-07-11.out,0.5296651735650917
OBSEA/2020-07-12.out,0.2488272065133604
OBSEA/2020-07-13.out,0.7720758736862641
OBSEA/2020-07-14.out,0.4249523383144746
OBSEA/2020-08-11.out,0.3234599043395132
OBSEA/2020-08-12.out,0.2537055270558601
OBSEA/2020-08-13.out,0.164633212674059
OBSEA/2020-08-14.out,0.5247091823835841
OBSEA/2020-08-16.out,0.5058027724452199
OBSEA/2020-08-17.out,0.2939577146738306
OBSEA/2020-08-18.out,0.2362732601668643
OBSEA/2020-08-19.out,0.2890185943991502
OBSEA/2020-08-20.out,0.2554149932863064
OBSEA/2020-08-21.out,0.179479584915425
OBSEA/2020-08-22.out,0.3210074858660303
OBSEA/2020-08-23.out,0.2020719993067348
OBSEA/2020-08-24.out,0.2617589286461297
OBSEA/2020-08-25.out,0.5970201102452258
OBSEA/2020-08-26.out,0.4920826825014822
OBSEA/2020-08-27.out,0.4080735889505888
OBSEA/2020-08-28.out,0.4022107689333687
OBSEA/2020-08-29.out,0.8497233242025547
OBSEA/2020-08-30.out,0.8206390482719412
OBSEA/2020-08-31.out,0.6779465270130979
OBSEA/2020-09-01.out,0.0763145270736191
OBSEA/2020-09-02.out,0.1871929248447684
OBSEA/2020-09-03.out,0.8150825334301077
OBSEA/2020-09-04.out,0.7258100069370367
OBSEA/2020-09-05.out,0.8099949836194684
OBSEA/2020-09-06.out,0.8118692980844843
OBSEA/2020-09-07.out,0.7235622200479193
OBSEA/2020-09-08.out,0.8969592528415117
OBSEA/2020-09-09.out,0.4288759787414705
OBSEA/2020-09-10.out,0.2518495926739307
OBSEA/2020-09-14.out,0.0920210034742321
OBSEA/2020-09-15.out,0.6730474120208345
OBSEA/2020-09-16.out,0.8867871882220043
OBSEA/2020-09-17.out,0.7314317750655064
OBSEA/2020-09-18.out,0.803675879783895
OBSEA/2020-09-19.out,0.6522525658302255
OBSEA/2020-09-20.out,0.4410471170594963
OBSEA/2020-09-21.out,0.3737446435308071
OBSEA/2020-09-22.out,0.389643332600839
OBSEA/2020-09-23.out,0.7411067710396914
