,Random Black Forest (RR)
OBSEA/2020-01-15.out,0.0
OBSEA/2020-01-18.out,0.0
OBSEA/2020-04-15.out,0.0
OBSEA/2020-04-23.out,0.0
OBSEA/2020-04-24.out,0.0
OBSEA/2020-05-01.out,0.0
OBSEA/2020-05-04.out,0.0
OBSEA/2020-05-05.out,0.0
OBSEA/2020-05-06.out,0.0
OBSEA/2020-05-08.out,0.0
OBSEA/2020-05-09.out,0.0
OBSEA/2020-05-10.out,0.0
OBSEA/2020-05-12.out,0.0
OBSEA/2020-05-13.out,0.0
OBSEA/2020-05-14.out,0.0
OBSEA/2020-05-27.out,0.0
OBSEA/2020-06-11.out,0.0
OBSEA/2020-06-13.out,0.0
OBSEA/2020-06-15.out,0.0
OBSEA/2020-06-17.out,0.0
OBSEA/2020-06-20.out,0.0
OBSEA/2020-06-21.out,0.0
OBSEA/2020-06-26.out,0.0
OBSEA/2020-06-27.out,0.0
OBSEA/2020-06-28.out,0.0
OBSEA/2020-07-11.out,0.0
OBSEA/2020-07-13.out,0.0
OBSEA/2020-07-14.out,0.0
OBSEA/2020-07-15.out,0.0
OBSEA/2020-07-16.out,0.0
OBSEA/2020-07-17.out,0.0
OBSEA/2020-07-18.out,0.0
OBSEA/2020-07-19.out,0.0
OBSEA/2020-07-20.out,0.0
OBSEA/2020-07-21.out,0.0
OBSEA/2020-07-26.out,0.0
OBSEA/2020-08-04.out,0.0
OBSEA/2020-08-05.out,0.0
OBSEA/2020-08-06.out,0.0
OBSEA/2020-08-07.out,0.0
OBSEA/2020-09-14.out,0.0
OBSEA/2020-09-15.out,0.0
OBSEA/2020-09-17.out,0.0
OBSEA/2020-09-18.out,0.0
OBSEA/2020-09-20.out,0.0
OBSEA/2020-09-22.out,0.0
OBSEA/2020-10-02.out,0.0
OBSEA/2020-10-03.out,0.0
OBSEA/2020-10-05.out,0.0
OBSEA/2020-10-06.out,0.0
OBSEA/2020-10-08.out,0.0
OBSEA/2020-10-09.out,0.0
OBSEA/2020-10-10.out,0.0
OBSEA/2020-10-11.out,0.0
OBSEA/2020-10-14.out,0.0
OBSEA/2020-10-15.out,0.0
OBSEA/2020-10-16.out,0.0
OBSEA/2020-10-17.out,0.0
OBSEA/2020-10-18.out,0.0
OBSEA/2020-10-19.out,0.0
