algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,BestF1Score,FalseNegativeRate,result_path,RANGE_PR_AUC,train_main_time,train_preprocess_time,train_postprocess_time,error_message,Recommendation_ACC
Torsk,OBSEA,2021-11-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1056.9041464328766,,0.0076866149902343,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_03_08_20/results.csv,,,,,,0.0
HBOS,OBSEA,2022-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_23_38_17/results.csv,,,,,,0.0
HBOS,OBSEA,2022-09-04_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",13.72441864013672,,,0.7752257213023107,0.1470711582555891,0.3059360730593607,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_10_24_29/results.csv,0.0881757407628478,,,,,0.0
PCC,OBSEA,2022-08-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",7.712117910385132,,,0.7484703808922558,0.3226634846809834,0.5027777777777778,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_15_33_52/results.csv,0.1661795593682654,,,,,0.0
HBOS,OBSEA,2022-04-02_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",13.50401735305786,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_21_52_17/results.csv,,,,,,0.0
PCC,OBSEA,2022-05-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",9.254979848861694,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_07_56_07/results.csv,,,,,,0.0
PCC,OBSEA,2022-04-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",8.914755821228027,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_23_48_53/results.csv,,,,,,0.0
AutoEncoder (AE),OBSEA,2021-11-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",8.737735271453857,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_02_55_18/results.csv,,21.02027201652527,,,,0.0
HBOS,OBSEA,2022-03-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",16.898876428604126,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_04_01_46/results.csv,,,,,,0.0
PCC,OBSEA,2021-08-16_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",10.07423734664917,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_02_11_58/results.csv,,,,,,0.0
PCC,OBSEA,2021-12-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",8.953067064285278,,,0.8604124076286561,0.3565422320204407,0.762962962962963,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_02_45_17/results.csv,0.3025096385093426,,,,,0.0
DeepAnT,OBSEA,2022-08-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",814.7585690021515,,0.0249490737915039,0.6487723933530944,0.3803025235187808,0.4730913642052565,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_03_15_12/results.csv,0.2548466718170407,10811.60772061348,,,,0.0
HBOS,OBSEA,2022-08-02_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",11.753908634185793,,,0.7802883850465553,0.1483115722373174,0.6024096385542169,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_17_05_53/results.csv,0.0549669611130572,,,,,0.0
PCC,OBSEA,2022-05-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,2,"{'random_state': 42, 'svd_solver': 'auto'}",7.806623697280884,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_03_16_16/results.csv,,,,,,0.0
AutoEncoder (AE),OBSEA,2021-12-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",9.34289050102234,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_21_37_44/results.csv,,21.0848355293274,,,,0.0
Torsk,OBSEA,2021-10-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1930.36337184906,,0.0246951580047607,0.4589530163862573,0.1308437387660618,0.431640625,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_08_29_24/results.csv,0.0771165877672053,,,,,0.0
HBOS,OBSEA,2022-04-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",12.378005266189575,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_15_39_35/results.csv,,,,,,0.0
PCC,OBSEA,2021-10-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,2,"{'random_state': 42, 'svd_solver': 'auto'}",9.783390522003174,,,0.5284796129765603,0.1773010601433209,0.8792270531400966,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_11_21_47/results.csv,0.0815443277059341,,,,,0.0
PCC,OBSEA,2022-08-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",8.36763596534729,,,0.532964224506564,0.3222913731917699,0.5139813581890812,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_00_40_07/results.csv,0.2903094645725688,,,,,0.0
