algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,BestF1Score,FalseNegativeRate,result_path,RANGE_PR_AUC,train_main_time,train_preprocess_time,train_postprocess_time,Recommendation_ACC
HBOS,OBSEA,2022-07-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",12.03466010093689,,,0.7192147825741022,0.3817615480600011,0.6771084337349398,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_20_39_13/results.csv,0.1934337381344289,,,,0.0
Torsk,OBSEA,2022-08-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1057.2926111221311,,0.0189619064331054,0.8173805466536553,0.2527733710644786,0.614406779661017,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_15_37_35/results.csv,0.1610230083493326,,,,0.0
AutoEncoder (AE),OBSEA,2022-03-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",9.02961564064026,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_05_54_45/results.csv,,20.128947973251343,,,0.0
HBOS,OBSEA,2022-08-01_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",10.178007364273071,,,0.5540784196628606,0.2494585422593011,0.5155131264916468,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_19_35_30/results.csv,0.3196098859832542,,,,0.0
HBOS,OBSEA,2022-07-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",14.800138235092165,,,0.85610033918542,0.1457980322890854,0.4457831325301205,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_06_04_40/results.csv,0.0690456575840139,,,,0.0
Torsk,OBSEA,2022-07-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1501.4979560375214,,0.0246698856353759,0.448712220988765,0.1720949632206988,0.7755102040816326,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_02_49_02/results.csv,0.1335065111124211,,,,0.0
AutoEncoder (AE),OBSEA,2022-05-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",12.800483226776125,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_18_54_20/results.csv,,35.88640809059143,,,0.0
HBOS,OBSEA,2022-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",14.512714147567747,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_04_10_18/results.csv,,,,,0.0
HBOS,OBSEA,2022-01-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",9.591080904006958,,,0.8286991988009651,0.1832025482241799,0.6043956043956044,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_03_55_57/results.csv,0.0587312967579752,,,,0.0
PCC,OBSEA,2022-03-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",16.376269578933716,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_17_56_45/results.csv,,,,,0.0
