algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
HBOS,OBSEA,2020-01-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,5,"{'n_bins': 20, 'random_state': 42}",,,,9.88019871711731,,,,1.0,0.999995000025,0.0,1.0000000000000002,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
HBOS,OBSEA,2020-12-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,10.38175654411316,,,,1.0000000000000002,0.999995000025,0.0,1.0000000000000002,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
AutoEncoder (AE),OBSEA,2020-01-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.296608448028564,,,7.5957605838775635,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
RobustPCA,OBSEA,2020-01-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,4,{'random_state': 42},139.51823353767395,,,7.660984039306641,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
AutoEncoder (AE),OBSEA,2020-01-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.551082849502563,,,8.935786724090576,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
AutoEncoder (AE),OBSEA,2020-01-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,5,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.478748083114624,,,7.503186464309692,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
LOF,OBSEA,2020-01-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.817552089691162,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-01-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.974191427230835,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
AutoEncoder (AE),OBSEA,2020-01-14,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",17.524645805358887,,,10.08872389793396,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
AutoEncoder (AE),OBSEA,2020-01-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,4,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",17.123667001724243,,,8.264912366867065,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
AutoEncoder (AE),OBSEA,2020-01-13,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",21.06689715385437,,,7.404812812805176,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
LOF,OBSEA,2020-01-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.30479860305786,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-12-07,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",14.749168395996094,,,8.878617763519287,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_10_29_42/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-12-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.228925228118896,,,8.135432481765747,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_10_29_42/results.csv,
HBOS,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,11.004120349884031,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_32_05/results.csv,
HBOS,OBSEA,2021-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,15.331039667129517,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,
HBOS,OBSEA,2021-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,13.320559024810793,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,
HBOS,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,15.028149843215942,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,
HBOS,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",,,,15.57823371887207,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,
PCC,OBSEA,2021-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.342373371124268,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_04_52_37/results.csv,
AutoEncoder (AE),OBSEA,2021-12-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",24.92372226715088,,,10.458609580993652,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_09_37_23/results.csv,
AutoEncoder (AE),OBSEA,2023-05-20,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",34.80791711807251,,,12.587570190429688,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_18_51/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-12-25,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.48280906677246,,,8.430459976196289,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
LOF,OBSEA,2020-01-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,2,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.008044958114624,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-01-16_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,13.676284313201904,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-01-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.916511058807371,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-01-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.31182050704956,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
HBOS,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,15.544915437698364,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,
LOF,OBSEA,2020-01-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.29519748687744,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-01-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.13153076171875,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
HBOS,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,12.088806629180908,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,
LOF,OBSEA,2020-01-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.249179601669312,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-01-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.69152021408081,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
AutoEncoder (AE),OBSEA,2020-01-16,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",22.355762720108032,,,8.361191511154175,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
COPOD,OBSEA,2020-12-02_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,8.372016906738281,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
COPOD,OBSEA,2020-11-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},,,,8.879938840866089,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
COPOD,OBSEA,2020-11-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,8.43653392791748,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
PCC,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,2,"{'random_state': 42, 'svd_solver': 'auto'}",,,,10.883397102355955,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_23_54_21/results.csv,
COPOD,OBSEA,2020-11-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,5,{'random_state': 42},,,,9.261337518692017,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-01-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.06258106231689,,,10.390804290771484,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_30_11/results.csv,
LOF,OBSEA,2023-01-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,11.822524309158323,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_30_11/results.csv,
PCC,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,10.67021346092224,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_18_28_38/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-05-20,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",21.463701248168945,,,11.040570974349976,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_08_14/results.csv,
COPOD,OBSEA,2020-12-07_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,10.190038919448853,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
RobustPCA,OBSEA,2020-01-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},175.62024545669556,,,10.852768659591677,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
PCC,OBSEA,2021-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,16.09767198562622,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_18_09_04/results.csv,
COPOD,OBSEA,2020-12-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},,,,8.792680740356445,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
PCC,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,8.906303882598877,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_21_01_28_25/results.csv,
LOF,OBSEA,2020-11-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.428745031356812,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-11-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.774065017700195,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
PCC,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,12.857317924499512,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_22_15_21/results.csv,
LOF,OBSEA,2021-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,16.369988679885864,,,,1.0,,,1.0,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_14_01_26/results.csv,
LOF,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,14.163830518722534,,,,1.0,,,1.0,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_14_07_26/results.csv,
LOF,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,18.27083444595337,,,,1.0,,,1.0,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_14_06_26/results.csv,
CBLOF,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,32.6805100440979,,,,1.0,,,1.0,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_14_07_24/results.csv,
CBLOF,OBSEA,2023-01-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,16.204015731811523,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_30_11/results.csv,
COPOD,OBSEA,2023-01-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,11.61817502975464,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_30_11/results.csv,
PCC,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,10.22923707962036,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_21_01_00_27/results.csv,
AutoEncoder (AE),OBSEA,2020-01-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",17.384756803512573,,,7.242594242095947,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
AutoEncoder (AE),OBSEA,2020-01-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.256245374679565,,,7.471017360687256,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
LOF,OBSEA,2020-01-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,7.191905975341797,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-12-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.847877264022827,,,8.261816024780273,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
RobustPCA,OBSEA,2020-01-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},136.097829580307,,,7.681408166885376,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
RobustPCA,OBSEA,2020-01-13,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},117.7816915512085,,,9.136381149291992,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
RobustPCA,OBSEA,2020-01-14,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},130.85920977592468,,,8.699450492858887,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
RobustPCA,OBSEA,2020-01-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,5,{'random_state': 42},119.88897824287416,,,7.928549766540527,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
RobustPCA,OBSEA,2020-01-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,3,{'random_state': 42},104.72863864898682,,,7.042385578155518,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
