algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
AutoEncoder (AE),OBSEA,2022-08-20,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",22.66621232032776,,,10.800429344177246,,,0.3673627544595286,0.0485845609912914,0.0576881234543789,0.9032258064516128,0.0116528479057065,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_20_40_05/results.csv,
RobustPCA,OBSEA,2022-02-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},109.78375482559204,,,7.514362096786499,,,0.4280561867033812,0.0900792706765645,0.0405001632995626,0.0219780219780219,0.0116479905870296,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
HBOS,OBSEA,2023-05-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,24.324780225753784,,,0.7897507763566505,0.0223868950535417,0.0367889284867472,0.0222222222222222,0.0116251784077725,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_33_28/results.csv,
HBOS,OBSEA,2023-05-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,26.17361855506897,,,0.7919215841063089,0.03210917969855,0.0403945772829344,0.0,0.0115286603051909,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_34_27/results.csv,
RobustPCA,OBSEA,2023-10-04,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},99.63900709152222,,,6.392367362976074,,,0.6496215830895646,0.1135503251097079,,,0.0114728685519743,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_23_11_02/results.csv,
COPOD,OBSEA,2021-12-08_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,8.06004786491394,,,0.4734041142693959,0.0579705025872957,,,0.011455959190462,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_22_06_34/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2022-08-31,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",34.30414843559265,,,16.005521774291992,,,0.4075872116520848,0.0299937976309409,0.0280457004873347,0.0,0.0114282504140083,../../../../TimeEval_work_results/best4avgens_2122/2024_04_23_02_39_21/results.csv,
Hybrid KNN,OBSEA,2023-07-08,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 90, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",5254.611130237579,,,95.70094084739684,,0.0219762325286865,0.5143844477733897,0.0382885977690277,0.0421864144128008,0.0,0.011412566160519,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_03_54_10/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-12-19,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",19.81705904006958,,,10.92439079284668,,,0.9246791080089908,0.0159923653586616,0.0373828107294274,0.0,0.011394844751288,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_46_49/results.csv,
DeepAnT,OBSEA,2020-05-23,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",10812.144028186798,,,392.1914067268372,,0.0125880241394042,0.582930474333983,0.0432142260876405,0.0382405426883671,0.0,0.0113633367321817,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_06_04_09_08_56/results.csv,
