algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,RANGE_PR_AUC,result_path,BestF1Score,FalseNegativeRate,train_postprocess_time,Recommendation_ACC
PCC,OBSEA,2021-11-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.8187782764434814,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_02_01_55/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2021-12-16_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,10.38907790184021,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.6038806754714501,0.2199875450385417,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_11_27_49/results.csv,0.2135898840865351,0.8764044943820225,,0.0
Torsk,OBSEA,2022-05-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,757.0317792892456,0.0055372714996337,Status.OK,,2,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_13_39_14/results.csv,0.0,0.0,,0.0
Torsk,OBSEA,2021-09-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,2448.6877110004425,0.0214381217956542,Status.OK,,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,0.5475370375715766,0.0740901180200341,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_06_51_55/results.csv,0.2301930765508645,0.8302919708029197,,0.0
PCC,OBSEA,2021-09-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.11046028137207,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_12_24_04/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2021-02-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.319188833236694,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_03_37_21/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-12-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,10.139066457748411,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_19_23_30/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2021-11-23,semi-supervised,multivariate,multivariate,semi-supervised,,17.26802086830139,,7.895350933074951,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_06_35_52/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-05-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,12.19169545173645,,Status.OK,,2,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_17_08_54/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2022-10-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,10.36442232131958,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_05_27_19/results.csv,0.0,0.0,,0.0
