,LOF
OBSEA/2020-07-22.out,1.0
OBSEA/2020-07-23.out,1.0
OBSEA/2020-07-24.out,1.0
OBSEA/2020-07-25.out,1.0
OBSEA/2020-07-26.out,0.5643402087813985
OBSEA/2020-07-27.out,1.0
OBSEA/2020-07-28.out,0.4921231819352057
OBSEA/2020-08-01.out,0.23854626933352627
OBSEA/2020-08-02.out,0.9034635216453444
OBSEA/2020-08-03.out,0.3530997304582211
OBSEA/2020-08-04.out,0.2493261455525606
OBSEA/2020-08-05.out,0.7128418157108651
OBSEA/2020-08-06.out,0.5779057989656158
OBSEA/2020-08-07.out,0.005167710124946415
OBSEA/2020-08-09.out,0.3530997304582211
OBSEA/2020-08-10.out,0.30053908355795145
OBSEA/2020-08-12.out,0.15632911501587754
OBSEA/2020-08-14.out,0.3571428571428571
OBSEA/2020-08-18.out,1.0
OBSEA/2020-08-19.out,0.24229634042008183
OBSEA/2020-08-20.out,0.1503502745139835
OBSEA/2020-08-21.out,0.6211155477360846
OBSEA/2020-08-22.out,1.0
OBSEA/2020-08-23.out,1.0
OBSEA/2020-08-24.out,0.4626559268711625
OBSEA/2020-08-25.out,0.41779845061410587
OBSEA/2020-08-26.out,0.7480082655149897
OBSEA/2020-08-27.out,0.2439353099730458
OBSEA/2020-08-28.out,0.5556753906562542
OBSEA/2020-08-29.out,0.9954725995529456
OBSEA/2020-08-30.out,0.3086253369272237
OBSEA/2020-08-31.out,0.9798149005977077
OBSEA/2020-09-01.out,0.06673638350586841
OBSEA/2020-09-02.out,0.37196765498652296
OBSEA/2020-09-03.out,0.9964659321053254
OBSEA/2020-09-04.out,0.7548199083023526
OBSEA/2020-09-08.out,0.3647850391582327
OBSEA/2020-09-09.out,1.0
OBSEA/2020-09-10.out,1.0
OBSEA/2020-09-11.out,1.0
OBSEA/2020-09-13.out,1.0
OBSEA/2020-09-15.out,0.6256030219542541
OBSEA/2020-09-16.out,1.0
OBSEA/2020-09-17.out,1.0
OBSEA/2020-09-19.out,0.15816886648738424
OBSEA/2020-09-21.out,1.0
OBSEA/2020-09-22.out,1.0
OBSEA/2020-09-23.out,1.0
OBSEA/2020-09-24.out,1.0
OBSEA/2020-09-25.out,0.14078114417680976
OBSEA/2020-09-26.out,1.0
OBSEA/2020-09-27.out,1.0
OBSEA/2020-09-28.out,1.0
OBSEA/2020-09-29.out,0.30015600143992427
OBSEA/2020-09-30.out,0.20632229072873667
OBSEA/2020-10-01.out,0.1715507915704181
OBSEA/2020-10-04.out,0.4976184048435499
OBSEA/2020-10-05.out,0.0
OBSEA/2020-10-06.out,0.49471724748027524
OBSEA/2020-10-08.out,1.0
OBSEA/2020-10-09.out,1.0
OBSEA/2020-10-10.out,1.0
OBSEA/2020-10-12.out,1.0
OBSEA/2020-10-13.out,1.0
OBSEA/2020-10-20.out,0.12819369814560716
OBSEA/2020-10-21.out,1.0
OBSEA/2020-10-22.out,0.952441796137746
OBSEA/2020-10-24.out,0.329871723796454
OBSEA/2020-10-25.out,1.0
OBSEA/2020-10-27.out,1.0
OBSEA/2020-10-28.out,0.4744187606065853
OBSEA/2020-11-01.out,0.9818297820639083
OBSEA/2020-11-03.out,0.8170615466277051
OBSEA/2020-11-05.out,1.0
OBSEA/2020-11-07.out,0.9728610360278046
OBSEA/2020-11-08.out,0.7152908939004585
OBSEA/2020-11-09.out,1.0
OBSEA/2020-11-10.out,0.5036791711724924
OBSEA/2020-11-11.out,0.45435056027250226
OBSEA/2020-11-12.out,0.2051701170528316
OBSEA/2020-11-13.out,0.5293304999594404
OBSEA/2020-11-14.out,0.3804436515117486
OBSEA/2020-11-15.out,0.8855145125581722
OBSEA/2020-11-16.out,0.5093510584745409
OBSEA/2020-11-19.out,0.17709909644855204
OBSEA/2020-11-21.out,0.7970144394526391
OBSEA/2020-11-22.out,1.0
OBSEA/2020-11-23.out,0.7967854845888043
OBSEA/2020-11-25.out,0.0
OBSEA/2020-11-26.out,0.9961248274874912
OBSEA/2020-11-27.out,0.0
OBSEA/2020-11-28.out,0.0
OBSEA/2020-11-29.out,0.0
OBSEA/2020-11-30.out,0.0
OBSEA/2020-12-01.out,0.0026954177897574125
OBSEA/2020-12-02.out,0.0
OBSEA/2020-12-03.out,0.6646195810621507
OBSEA/2020-12-04.out,0.0
OBSEA/2020-12-05.out,0.004043126684636119
OBSEA/2020-12-06.out,0.0013477088948787063
OBSEA/2020-12-07.out,0.02830188679245283
OBSEA/2020-12-08.out,0.8443537505043341
OBSEA/2020-12-09.out,0.6133209325634016
OBSEA/2020-12-10.out,0.9032384529947075
OBSEA/2020-12-11.out,0.879192210208088
OBSEA/2020-12-12.out,0.7735733922942312
OBSEA/2020-12-13.out,0.8469478480677525
OBSEA/2020-12-14.out,0.5328339926855956
OBSEA/2020-12-15.out,0.904957433595412
OBSEA/2020-12-16.out,0.9028248464997153
OBSEA/2020-12-17.out,0.7812727008621633
OBSEA/2020-12-18.out,0.9768369077441355
OBSEA/2020-12-19.out,0.42296300731982617
OBSEA/2020-12-20.out,0.9289717103836655
OBSEA/2020-12-21.out,0.7685428130158459
OBSEA/2020-12-22.out,0.350169263069127
OBSEA/2020-12-23.out,1.0
OBSEA/2020-12-24.out,0.09744065028979769
OBSEA/2020-12-25.out,0.6279227256120692
OBSEA/2020-12-26.out,0.4572108909274287
OBSEA/2020-12-27.out,0.7509737181744297
OBSEA/2020-12-28.out,0.15870880380401065
OBSEA/2021-01-02.out,0.8332112451339208
OBSEA/2021-01-03.out,0.8027589089839495
OBSEA/2021-01-04.out,0.7425876010781671
OBSEA/2021-01-05.out,0.20619946091644203
OBSEA/2021-01-06.out,0.28435141031726296
OBSEA/2021-01-07.out,0.3342318059299192
OBSEA/2021-01-08.out,0.3923948890146638
OBSEA/2021-01-09.out,0.9198107251706799
OBSEA/2021-01-10.out,0.9977150695483291
OBSEA/2021-01-11.out,0.48782531280958485
OBSEA/2021-01-12.out,1.0
OBSEA/2021-01-13.out,0.34097035040431267
OBSEA/2021-01-14.out,0.3571428571428571
OBSEA/2021-01-15.out,0.13704710865420178
OBSEA/2021-01-16.out,0.5392999205179214
OBSEA/2021-01-17.out,0.3382749326145552
OBSEA/2021-01-18.out,0.8128284756218935
OBSEA/2021-01-19.out,0.5094833281595987
OBSEA/2021-01-20.out,0.4971910769245429
OBSEA/2021-01-21.out,0.731663000947091
OBSEA/2021-01-22.out,0.8990530949868174
OBSEA/2021-01-23.out,0.5629343193993732
OBSEA/2021-01-24.out,0.5292588097359316
OBSEA/2021-01-25.out,0.32702457134199325
OBSEA/2021-01-26.out,0.17078997053784312
OBSEA/2021-01-27.out,0.30494374714410294
OBSEA/2021-01-28.out,0.4152420276763156
OBSEA/2021-01-29.out,0.5867467466900099
OBSEA/2021-01-30.out,0.7072410545170582
OBSEA/2021-01-31.out,0.4689263285673159
OBSEA/2021-02-01.out,0.6010225937614218
OBSEA/2021-02-02.out,0.32881227613179387
OBSEA/2021-02-03.out,0.13659435483683152
OBSEA/2021-02-04.out,0.3975741239892183
OBSEA/2021-02-05.out,0.3921832884097035
OBSEA/2021-02-06.out,0.33018867924528306
OBSEA/2021-02-07.out,0.3274932614555256
OBSEA/2021-02-08.out,0.25876010781671155
OBSEA/2021-02-09.out,0.34097035040431267
OBSEA/2021-02-10.out,0.3571428571428571
OBSEA/2021-02-11.out,0.3814016172506739
OBSEA/2021-02-12.out,0.2628032345013477
OBSEA/2021-02-13.out,0.33018867924528306
OBSEA/2021-03-16.out,0.2991913746630728
OBSEA/2021-03-17.out,0.3113207547169812
OBSEA/2021-03-18.out,0.3571428571428571
OBSEA/2021-03-19.out,0.34097035040431267
OBSEA/2021-03-20.out,0.2978436657681941
OBSEA/2021-03-21.out,0.3530997304582211
OBSEA/2021-03-22.out,0.39622641509433965
OBSEA/2021-03-23.out,0.34231805929919135
OBSEA/2021-03-24.out,0.35983827493261455
OBSEA/2021-07-22.out,0.2560646900269542
OBSEA/2021-07-23.out,0.34905660377358494
OBSEA/2021-07-24.out,0.35983827493261455
OBSEA/2021-07-25.out,0.33557951482479786
OBSEA/2021-07-26.out,0.036045927722551975
OBSEA/2021-07-27.out,0.22911051212938005
OBSEA/2021-07-28.out,0.2964959568733153
OBSEA/2021-07-29.out,0.15538345688904484
OBSEA/2021-07-30.out,0.27628032345013476
OBSEA/2021-07-31.out,0.28840970350404316
OBSEA/2021-08-01.out,0.41913746630727766
OBSEA/2021-08-02.out,0.2560646900269542
OBSEA/2021-08-03.out,0.3153638814016172
OBSEA/2021-08-04.out,0.2991913746630728
OBSEA/2021-08-05.out,0.3153638814016172
OBSEA/2021-08-06.out,0.39487870619946097
OBSEA/2021-08-07.out,0.28975741239892183
OBSEA/2021-08-08.out,0.23315363881401618
OBSEA/2021-08-09.out,0.04959732978398368
OBSEA/2021-08-10.out,0.01185517435810465
OBSEA/2021-08-11.out,0.2628032345013477
OBSEA/2021-08-12.out,0.1892920100775928
OBSEA/2021-08-13.out,0.40835579514824794
OBSEA/2021-08-14.out,0.2681940700808625
OBSEA/2021-08-15.out,0.3328840970350404
OBSEA/2021-08-16.out,0.2991913746630728
OBSEA/2021-08-17.out,0.3045822102425876
OBSEA/2021-08-18.out,0.32884097035040427
