,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63
2020-02-29.out.0,2.0,-1.7453149,-1.6919855,-1.711378,-1.6968336,-1.6774411,-1.7016818,-1.7162261,-1.6968336,-1.6968336,-1.711378,-1.7016818,-1.6919855,-1.6677448,-1.6822892,-1.672593,-1.7259224,-1.6968336,-1.6822892,-1.6968336,-1.6871374,-1.6919855,-1.6968336,-1.6968336,-1.6871374,-1.7065299,-1.6968336,-1.6822892,-1.672593,-1.672593,-1.7259224,-1.7356187,-1.7162261,-1.7356187,-1.7162261,-1.7016818,-1.7356187,-1.6871374,-1.6968336,-1.7162261,-1.6871374,-1.7065299,-1.6968336,-1.6919855,-1.711378,-1.7210743,-1.7259224,-1.7259224,-1.7259224,-1.7404668,-1.7162261,-1.711378,-1.7210743,-1.7210743,-1.7307705,-1.7016818,-1.7065299,-1.7065299,-1.7210743,-1.7210743,-1.7404668,-1.7065299,-1.711378,-1.7162261,-1.7210743
2020-02-29.out.1,2.0,-1.7307705,-1.7162261,-1.7210743,-1.7016818,-1.7210743,-1.7162261,-1.7259224,-1.711378,-1.7016818,-1.7016818,-1.6968336,-1.6871374,-1.6822892,-1.6677448,-1.6871374,-1.6871374,-1.7016818,-1.6968336,-1.711378,-1.7016818,-1.7162261,-1.7162261,-1.711378,-1.7259224,-1.7259224,-1.7162261,-1.7065299,-1.7065299,-1.7210743,-1.7647074,-1.7162261,-1.7404668,-1.7356187,-1.7162261,-1.7210743,-1.7356187,-1.7210743,-1.7259224,-1.7259224,-1.7162261,-1.7016818,-1.7162261,-1.7065299,-1.6919855,-1.6580486,-1.6483523,-1.6677448,-1.6774411,-1.6822892,-1.711378,-1.7065299,-1.6871374,-1.7065299,-1.6774411,-1.6677448,-1.711378,-1.7307705,-1.7162261,-1.7356187,-1.750163,-1.7356187,-1.7259224,-1.7356187,-1.7356187
2020-02-29.out.2,2.0,-1.7356187,-1.7162261,-1.7210743,-1.7162261,-1.6919855,-1.7259224,-1.7453149,-1.7307705,-1.7307705,-1.750163,-1.7404668,-1.7356187,-1.7356187,-1.7307705,-1.7259224,-1.7404668,-1.7065299,-1.7404668,-1.7162261,-1.6968336,-1.750163,-1.7453149,-1.7404668,-1.7016818,-1.7259224,-1.750163,-1.7307705,-1.7210743,-1.7307705,-1.7065299,-1.7162261,-1.7162261,-1.7016818,-1.7210743,-1.711378,-1.7162261,-1.7259224,-1.7210743,-1.7210743,-1.7453149,-1.7598593,-1.7356187,-1.7307705,-1.7210743,-1.7307705,-1.7259224,-1.7307705,-1.7356187,-1.7307705,-1.7210743,-1.7259224,-1.7065299,-1.7065299,-1.7210743,-1.7016818,-1.7210743,-1.7210743,-1.7356187,-1.7356187,-1.7404668,-1.7356187,-1.7404668,-1.7210743,-1.7404668
2020-02-29.out.3,2.0,-1.7210743,-1.7259224,-1.6968336,-1.6822892,-1.7162261,-1.7259224,-1.7162261,-1.7065299,-1.7065299,-1.750163,-1.7307705,-1.711378,-1.7259224,-1.7356187,-1.7162261,-1.7016818,-1.7259224,-1.7162261,-1.7210743,-1.7162261,-1.711378,-1.6968336,-1.7210743,-1.7016818,-1.6871374,-1.6822892,-1.7259224,-1.750163,-1.7550112,-1.7210743,-1.750163,-1.7259224,-1.750163,-1.7356187,-1.711378,-1.7065299,-1.7065299,-1.7016818,-1.6968336,-1.711378,-1.7065299,-1.7259224,-1.7210743,-1.7210743,-1.7162261,-1.7162261,-1.7065299,-1.7210743,-1.7259224,-1.7016818,-1.711378,-1.7259224,-1.7259224,-1.7162261,-1.7065299,-1.7016818,-1.7307705,-1.7259224,-1.711378,-1.7259224,-1.7259224,-1.7259224,-1.7210743,-1.7162261
2020-02-29.out.4,2.0,-1.7162261,-1.7259224,-1.7210743,-1.7210743,-1.7259224,-1.7162261,-1.7065299,-1.7162261,-1.7259224,-1.7162261,-1.7065299,-1.7016818,-1.7065299,-1.7065299,-1.7016818,-1.6968336,-1.7065299,-1.7210743,-1.7065299,-1.7259224,-1.711378,-1.7259224,-1.7162261,-1.7065299,-1.7210743,-1.7210743,-1.711378,-1.7162261,-1.7065299,-1.711378,-1.7065299,-1.7016818,-1.7162261,-1.7016818,-1.7162261,-1.711378,-1.6968336,-1.711378,-1.6968336,-1.6871374,-1.7016818,-1.7065299,-1.711378,-1.711378,-1.7065299,-1.7065299,-1.711378,-1.7162261,-1.7016818,-1.6968336,-1.6871374,-1.7065299,-1.7065299,-1.7210743,-1.7210743,-1.711378,-1.7065299,-1.6774411,-1.711378,-1.7065299,-1.6968336,-1.7259224,-1.6968336,-1.6968336
2020-02-29.out.5,2.0,-1.711378,-1.6919855,-1.7453149,-1.7162261,-1.6919855,-1.6968336,-1.7065299,-1.7065299,-1.7016818,-1.711378,-1.7307705,-1.7259224,-1.750163,-1.7307705,-1.7259224,-1.7307705,-1.7162261,-1.7210743,-1.750163,-1.7259224,-1.7259224,-1.7016818,-1.711378,-1.711378,-1.7162261,-1.7307705,-1.711378,-1.7210743,-1.7162261,-1.7065299,-1.711378,-1.7259224,-1.7065299,-1.7210743,-1.750163,-1.7307705,-1.7404668,-1.7259224,-1.6968336,-1.7065299,-1.6968336,-1.6677448,-1.7065299,-1.7065299,-1.7016818,-1.7162261,-1.7065299,-1.7210743,-1.7210743,-1.7210743,-1.7162261,-1.7210743,-1.711378,-1.7210743,-1.7210743,-1.7016818,-1.7259224,-1.711378,-1.7065299,-1.7065299,-1.7016818,-1.7065299,-1.6968336,-1.6919855
2020-02-29.out.6,2.0,-1.7065299,-1.6919855,-1.7016818,-1.6968336,-1.711378,-1.7210743,-1.711378,-1.7210743,-1.7016818,-1.7065299,-1.6968336,-1.6822892,-1.7016818,-1.7210743,-1.7016818,-1.7259224,-1.6968336,-1.6968336,-1.6968336,-1.6871374,-1.7210743,-1.7016818,-1.7259224,-1.7162261,-1.7065299,-1.6871374,-1.7307705,-1.7356187,-1.711378,-1.711378,-1.6919855,-1.6968336,-1.6871374,-1.711378,-1.711378,-1.6919855,-1.7162261,-1.711378,-1.7162261,-1.711378,-1.7307705,-1.7356187,-1.7210743,-1.7016818,-1.6871374,-1.7162261,-1.7210743,-1.7210743,-1.6871374,-1.7453149,-1.7065299,-1.7356187,-1.7162261,-1.7210743,-1.6968336,-1.6822892,-1.6871374,-1.6919855,-1.7016818,-1.7016818,-1.6968336,-1.7016818,-1.711378,-1.7065299
2020-02-29.out.7,2.0,-1.7210743,-1.7453149,-1.7065299,-1.711378,-1.7016818,-1.7162261,-1.711378,-1.711378,-1.7016818,-1.711378,-1.711378,-1.6871374,-1.6968336,-1.711378,-1.7259224,-1.6968336,-1.711378,-1.7259224,-1.711378,-1.6919855,-1.7162261,-1.7162261,-1.6968336,-1.7210743,-1.7210743,-1.7065299,-1.711378,-1.6919855,-1.7210743,-1.7162261,-1.7065299,-1.7259224,-1.7162261,-1.7065299,-1.7065299,-1.711378,-1.7016818,-1.7016818,-1.6968336,-1.711378,-1.6871374,-1.6968336,-1.7162261,-1.7162261,-1.6968336,-1.7162261,-1.6919855,-1.6968336,-1.6871374,-1.7210743,-1.7162261,-1.7016818,-1.7065299,-1.6968336,-1.7259224,-1.7065299,-1.7210743,-1.7210743,-1.711378,-1.7065299,-1.7016818,-1.7016818,-1.711378,-1.711378
2020-02-29.out.8,2.0,-1.711378,-1.711378,-1.7016818,-1.7210743,-1.6919855,-1.7162261,-1.711378,-1.7065299,-1.711378,-1.6968336,-1.6822892,-1.7065299,-1.7162261,-1.7065299,-1.711378,-1.7065299,-1.7016818,-1.7016818,-1.7016818,-1.711378,-1.7065299,-1.7065299,-1.6968336,-1.6968336,-1.7210743,-1.711378,-1.7016818,-1.7162261,-1.7210743,-1.6774411,-1.6919855,-1.6919855,-1.6774411,-1.6968336,-1.6919855,-1.711378,-1.7065299,-1.7016818,-1.6968336,-1.6871374,-1.7016818,-1.6871374,-1.7016818,-1.6919855,-1.6968336,-1.7016818,-1.6871374,-1.711378,-1.7162261,-1.6968336,-1.7016818,-1.6968336,-1.7016818,-1.7016818,-1.6774411,-1.7016818,-1.7016818,-1.711378,-1.7065299,-1.6968336,-1.6871374,-1.7016818,-1.6822892,-1.6968336
2020-02-29.out.9,2.0,-1.6774411,-1.672593,-1.6919855,-1.7016818,-1.6968336,-1.6968336,-1.7210743,-1.6919855,-1.7016818,-1.6774411,-1.7065299,-1.6871374,-1.6919855,-1.6919855,-1.711378,-1.7162261,-1.6822892,-1.6532005,-1.6871374,-1.6822892,-1.6871374,-1.6628967,-1.6968336,-1.6822892,-1.6774411,-1.711378,-1.6968336,-1.6968336,-1.6822892,-1.6919855,-1.6774411,-1.6774411,-1.6774411,-1.6822892,-1.6774411,-1.6871374,-1.6774411,-1.6677448,-1.672593,-1.6483523,-1.672593,-1.6628967,-1.6628967,-1.6871374,-1.6580486,-1.6774411,-1.6774411,-1.6628967,-1.6435042,-1.6483523,-1.6774411,-1.6580486,-1.6822892,-1.6628967,-1.672593,-1.6871374,-1.6677448,-1.6677448,-1.6677448,-1.6822892,-1.672593,-1.6628967,-1.6628967,-1.6822892
