,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63
2020-10-24.out.0,0.0,1.2508659,1.2498172,1.2487578,1.2450571,1.2445438,1.2466382,1.2498088,1.24453,1.2498004,1.2498004,1.2466466,1.2492566,1.2492734,1.2513648,1.2508408,1.2508431,1.2497669,1.2492536,1.2466352,1.2476641,1.250821,1.251348,1.250824,1.2492315,1.2502826,1.2486847,1.2481714,1.2465902,1.2471203,1.2465933,1.2481995,1.2481995,1.2487128,1.2492399,1.2492399,1.2852236,1.2959688,1.3051741,1.2508378,1.2503077,1.251348,1.2497723,1.2529208,1.2492452,1.2465963,1.245051,1.2381911,1.2476725,1.2408347,1.2429627,1.2440167,1.2434981,1.2403526,1.2424608,1.2392955,1.2403526,1.240888,1.2424554,1.2393206,1.2361614,1.2382558,1.2361584,1.2382726,1.2356458
2020-10-24.out.1,0.0,1.2346222,1.236198,1.2298956,1.2335711,1.2330662,1.2320152,1.2320373,1.2315079,1.2288978,1.2236412,1.228923,1.2242017,1.22684,1.2278941,1.2231758,1.2210982,1.2268849,1.2195452,1.2095452,1.2027158,1.1753844,1.1848658,1.1812214,1.1659899,1.1697241,1.1865847,1.1819,1.1656174,1.1646052,1.159887,1.1630607,1.1599571,1.1667979,1.1636578,1.1637111,1.1684575,1.1579891,1.1543333,1.1606501,1.1638405,1.1517796,1.1544597,1.1570812,1.1671124,1.1560941,1.1492845,1.142433,1.1261641,1.1314406,1.1277985,1.1341542,1.1257437,1.1252364,1.108979,1.1090209,1.0943278,1.0880368,1.0922927,1.0870582,1.0992227,1.1071457,1.1003331,1.1093354,1.106215
2020-10-24.out.2,0.0,1.1051861,1.0994473,1.1026072,1.0999972,1.0789987,1.0832294,1.0759065,1.0754214,1.068601,1.0528646,1.0550039,1.0571372,1.0577176,1.045668,1.0451722,1.0504791,1.0489429,1.0505606,1.0558622,1.0548584,1.051211,1.0528035,1.0554669,1.0455004,1.0918173,1.0508104,1.0434707,1.0418896,1.0429551,1.0445362,1.0445644,1.0456436,1.0461988,1.046751,1.0541356,1.0504463,1.0447015,1.0457197,1.0462688,1.046821,1.0515423,1.0641889,1.0710267,1.0620838,1.0573511,1.0510236,1.0552262,1.0541637,1.0599696,1.0557532,1.055243,1.0504966,1.0526078,1.05577,1.0526245,1.0526108,1.0531485,1.0568241,1.0547159,1.0541919,1.0563001,1.0536618,1.0536702,1.056297
2020-10-24.out.3,0.0,1.0584166,1.0568492,1.0384082,0.985814,0.9511095,0.9500973,0.9501422,0.9565284,0.9634286,0.9498345,0.9530752,0.9852428,0.9900341,0.9758764,0.9690949,0.9764879,0.9775976,0.9760279,0.929759,0.9424224,0.9256127,0.9109364,0.9188953,0.9147323,0.8948023,0.8706697,0.8365371,0.833972,0.8388052,0.8336331,0.8458227,0.8464564,0.8565577,0.8303504,0.8309506,0.8389209,0.8321562,0.8348561,0.8191287,0.7834006,0.792428,0.7830144,0.7483936,0.7505832,0.6949053,0.7276281,0.7245725,0.7294087,0.7363867,0.7359525,0.6644939,0.6340703,0.635231,0.6158784,0.614432,0.5908966,0.6072919,0.6200733,0.5634006,0.5309192,0.5531622,0.5301515,0.5266023,0.5262352
2020-10-24.out.4,0.0,0.5353441,0.5391598,0.5361712,0.539945,0.5326898,0.5359838,0.5334468,0.5277194,0.5335846,0.5095023,0.5079943,0.5065084,0.5107673,0.5076691,0.510369,0.5156706,0.5073332,0.5079105,0.5079806,0.5091161,0.5075799,0.5076363,0.508177,0.508225,0.5072158,0.5082981,0.50834,0.5094192,0.5094306,0.5068206,0.5063354,0.5184497,0.5068906,0.5046507,0.5041488,0.4999995,0.4937367,0.4958312,0.4864054,0.4885585,0.4848944,0.4791419,0.4807595,0.4818388,0.4902888,0.4950604,0.4898319,0.4877207,0.4861815,0.4845973,0.4845836,0.489857,0.4898822,0.5004374,0.4914945,0.4872889,0.4851837,0.4757245,0.4809925,0.4794282,0.4799834,0.4758059,0.4631845,0.4595066
2020-10-24.out.5,0.0,0.4600504,0.4621783,0.460614,0.4553741,0.4564396,0.4575218,0.4543763,0.453863,0.4454723,0.4391699,0.4444685,0.4381752,0.4471714,0.4419429,0.4388058,0.4404288,0.4457137,0.44785,0.4426101,0.4352651,0.4310792,0.4358256,0.4300563,0.4321729,0.4369162,0.4385255,0.4332803,0.4348644,0.4343541,0.432773,0.4327951,0.429134,0.4317722,0.4281051,0.4270678,0.4255118,0.4244745,0.4207852,0.4213374,0.4203031,0.4187471,0.4124447,0.4187753,0.4182734,0.4188004,0.4225011,0.4183099,0.4120159,0.412546,0.4157334,0.4167767,0.4136503,0.4173259,0.4010349,0.4057866,0.398974,0.3963418,0.3921644,0.3927112,0.3943068,0.4037965,0.3917356,0.3922656,0.3896777
2020-10-24.out.6,0.0,0.3907318,0.3912481,0.3865436,0.3833951,0.380261,0.3860615,0.3866167,0.3860981,0.3855908,0.3877241,0.3856327,0.3909115,0.3898604,0.3898688,0.3851308,0.3872336,0.3851452,0.3819937,0.3725237,0.365686,0.3609815,0.3694118,0.3699556,0.3773486,0.3800089,0.3779175,0.37898,0.3668748,0.362689,0.3590081,0.3590279,0.3606311,0.3616745,0.365916,0.3612115,0.3538466,0.3301992,0.3428458,0.354433,0.3544414,0.346056,0.3371352,0.3408359,0.3413881,0.3482457,0.338257,0.32935,0.3293614,0.3220301,0.3383553,0.3378504,0.3373485,0.3426249,0.3452601,0.3473659,0.3458153,0.3437155,0.3384505,0.3389889,0.3432053,0.3369059,0.3411192,0.3427003,0.3369029
2020-10-24.out.7,0.0,0.3237604,0.3232334,0.3185259,0.3232585,0.3275,0.3243629,0.3222745,0.3165159,0.3201915,0.3238922,0.3286607,0.332883,0.3223667,0.3170963,0.322883,0.3187025,0.3181785,0.3313271,0.3402844,0.3250445,0.3261016,0.3260986,0.322426,0.3171556,0.3145342,0.3140293,0.31034,0.3071975,0.3045761,0.3156553,0.3009371,0.3041107,0.2988403,0.3014923,0.3004633,0.2952234,0.2926027,0.2968411,0.2952798,0.2952912,0.2842538,0.2721959,0.2790505,0.2743292,0.2743574,0.2796559,0.2807352,0.2817923,0.2791822,0.2734099,0.2728996,0.2692355,0.266093,0.2745508,0.2656163,0.2435416,0.2293474,0.2451593,0.2352011,0.2341973,0.231077,0.2331996,0.2358767,0.2327426
2020-10-24.out.8,0.0,0.2338111,0.2359863,0.2260114,0.2355096,0.22969,0.2171104,0.2224174,0.2124371,0.2093252,0.208313,0.2014866,0.2025856,0.2020868,0.1979123,0.1984592,0.192709,0.1827371,0.1880608,0.1833456,0.1975985,0.1886807,0.1860874,0.1903319,0.1929785,0.187223,0.1861971,0.183584,0.1804553,0.1836152,0.2094409,0.2047226,0.2089252,0.191044,0.1842093,0.1852664,0.2026312,0.1973746,0.192648,0.2400159,0.2605293,0.2294637,0.2063068,0.1936541,0.1973129,0.2151994,0.2357181,0.2178095,0.2178148,0.3635409,0.298786,0.2403297,0.2286839,0.2828112,0.3311997,0.2838317,0.2990405,0.2784517,0.4541192,0.3898769,0.4334406,0.398618,0.4016287,0.4330728,0.3940171
2020-10-24.out.9,0.0,0.4275694,0.4279868,0.4368261,0.4488139,0.4281939,0.4249083,0.4742862,0.4573502,0.4541065,0.4608597,0.4312968,0.4364804,0.4332565,0.4405871,0.434223,0.4294431,0.4378064,0.4419976,0.4367097,0.4303601,0.4124149,0.3750493,0.3708078,0.3755596,0.3829496,0.3808833,0.3777408,0.366737,0.394632,0.3615199,0.3578725,0.3652625,0.3626608,0.3605641,0.3579708,0.3579989,0.35697,0.3543797,0.3533645,0.3512678,0.3397118,0.3302586,0.3018785,0.2882478,0.3061733,0.3067482,0.264707,0.2721252,0.2706225,0.2759462,0.2760163,0.2718563,0.2719263,0.2561792,0.2378273,0.237889,0.2437374,0.2553886,0.251237,0.2560085,0.2513238,0.2550527,0.2571974,0.2288203
