,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63
2020-09-19.out.10,10.0,-0.7125775,-0.7120544,-0.712655,-0.7124908,-0.7124062,-0.7110416,-0.711109,-0.7034753,-0.7071408,-0.7012123,-0.6955276,-0.6963037,-0.6899643,-0.6896338,-0.6933319,-0.6863194,-0.6848375,-0.683116,-0.6843306,-0.6866172,-0.6863357,-0.6802522,-0.6822012,-0.6858503,-0.6810824,-0.6813241,-0.6845346,-0.6811385,-0.6712703,-0.6727308,-0.6704749,-0.6669921,-0.6650217,-0.6663139,-0.6645414,-0.6694286,-0.6662323,-0.6623742,-0.6596277,-0.656612,-0.6589781,-0.6662926,-0.66031,-0.655685,-0.6517381,-0.6532975,-0.6577768,-0.6565764,-0.6548854,-0.6565081,-0.6579359,-0.6606426,-0.6603234,-0.6601102,-0.6604692,-0.6621245,-0.6639683,-0.6618083,-0.6605794,-0.6590057,-0.6594422,-0.6601571,-0.6608211,-0.6597186
2020-09-19.out.11,10.0,-0.6550119,-0.6494466,-0.6508234,-0.654085,-0.6530253,-0.650185,-0.6384005,-0.6385433,-0.6326495,-0.6346383,-0.62764,-0.6279378,-0.6252923,-0.6251353,-0.6205102,-0.6194015,-0.6183716,-0.616854,-0.6184767,-0.620395,-0.6215281,-0.6174681,-0.6153998,-0.6167786,-0.6180474,-0.6149776,-0.6170601,-0.6293586,-0.6194221,-0.6201115,-0.6213802,-0.6230569,-0.6284815,-0.6367791,-0.6339132,-0.6320489,-0.6371921,-0.6377927,-0.6382823,-0.6399243,-0.6402506,-0.6406422,-0.6393102,-0.6357897,-0.6399783,-0.632774,-0.6353206,-0.6259633,-0.6267089,-0.6297318,-0.631437,-0.6361579,-0.6377315,-0.6348402,-0.6337918,-0.6328841,-0.6383862,-0.6426238,-0.6411959,-0.6419109,-0.6415876,-0.6409237,-0.6424106,-0.6404148
2020-09-19.out.12,10.0,-0.6410012,-0.6361629,-0.6344435,-0.6333063,-0.6362404,-0.6364679,-0.6362119,-0.6381915,-0.6350391,-0.635086,-0.6382333,-0.6377785,-0.6380691,-0.6382333,-0.6386698,-0.6387188,-0.6351635,-0.6358316,-0.6345139,-0.6305528,-0.6337327,-0.633388,-0.6327689,-0.6358387,-0.6356603,-0.6342651,-0.6327547,-0.6316032,-0.6306935,-0.630304,-0.6280643,-0.62548,-0.6265162,-0.6247926,-0.6240115,-0.6240584,-0.6252261,-0.623165,-0.6218514,-0.622499,-0.6201819,-0.6218208,-0.6227264,-0.6230171,-0.6219616,-0.6193936,-0.6206929,-0.6192294,-0.6203666,-0.6165043,-0.6156456,-0.6171489,-0.6152938,-0.6149206,-0.6124372,-0.612015,-0.6088819,-0.6091257,-0.6107136,-0.6121067,-0.6110726,-0.6117406,-0.6137691,-0.6119986
2020-09-19.out.13,10.0,-0.6124229,-0.6128736,-0.6087177,-0.6081007,-0.6090084,-0.6073858,-0.6115743,-0.6106361,-0.6091257,-0.6081171,-0.6072828,-0.608373,-0.6073644,-0.6019938,-0.5993605,-0.6034808,-0.6036613,-0.5987385,-0.598919,-0.5982061,-0.599278,-0.6039499,-0.6070197,-0.60493,-0.6051574,-0.6042314,-0.6096836,-0.608678,-0.6075734,-0.6032747,-0.6079508,-0.6068463,-0.6058234,-0.6056898,-0.6070687,-0.6101854,-0.6087106,-0.6104505,-0.6107065,-0.6081171,-0.609297,-0.6090227,-0.6145575,-0.6130868,-0.6125289,-0.6129909,-0.6138986,-0.6106034,-0.6069799,-0.6061355,-0.6071227,-0.605289,-0.6075449,-0.6086005,-0.6073012,-0.6081782,-0.6060814,-0.6024018,-0.6047026,-0.6038255,-0.6047985,-0.6018439,-0.600305,-0.6061916
2020-09-19.out.14,10.0,-0.6028311,-0.601079,-0.5990342,-0.6001877,-0.5993881,-0.5980746,-0.5982367,-0.5992403,-0.6014635,-0.5998899,-0.5988843,-0.597587,-0.5957717,-0.5974065,-0.596351,-0.5920992,-0.5937055,-0.5923409,-0.5913322,-0.5912853,-0.5935698,-0.5913955,-0.5918361,-0.5905184,-0.5896576,-0.5893129,-0.5858209,-0.5852814,-0.5861606,-0.5837078,-0.5838343,-0.5816579,-0.5814611,-0.5798732,-0.5835222,-0.5799854,-0.5775183,-0.5772419,-0.5761721,-0.5759447,-0.5761864,-0.5760406,-0.5749646,-0.5717184,-0.5707404,-0.5656676,-0.5609957,-0.5540586,-0.5495885,-0.551514,-0.5501841,-0.5504585,-0.5508665,-0.551563,-0.5527145,-0.5536385,-0.5511081,-0.5536385,-0.5509276,-0.5500853,-0.5519781,-0.5527073,-0.5539903,-0.5478549
2020-09-19.out.15,10.0,-0.5466821,-0.5437765,-0.5421345,-0.5414359,-0.544161,-0.5463985,-0.5471298,-0.5477447,-0.5450054,-0.5450197,-0.545655,-0.5467922,-0.545446,-0.5450197,-0.5468065,-0.5458967,-0.5452961,-0.5439968,-0.5431687,-0.5408424,-0.5386354,-0.5358257,-0.5343153,-0.5361143,-0.5378501,-0.5356268,-0.5351882,-0.5293954,-0.5291345,-0.5322797,-0.5283776,-0.5284756,-0.5289611,-0.5278423,-0.5287663,-0.5261187,-0.5263931,-0.5261656,-0.5245777,-0.5226451,-0.523614,-0.5229786,-0.521665,-0.5206237,-0.5215192,-0.5209002,-0.5206564,-0.5245849,-0.5229949,-0.5223779,-0.5241953,-0.5243758,-0.5240688,-0.5252203,-0.5230623,-0.5165994,-0.5145495,-0.5138315,-0.5125159,-0.5139773,-0.5133134,-0.5133767,-0.5078704,-0.5059235
2020-09-19.out.16,10.0,-0.5023683,-0.5007406,-0.5015821,-0.5036789,-0.5062611,-0.5115685,-0.5102855,-0.5032382,-0.5028956,-0.5027008,-0.5048609,-0.5023276,-0.4904778,-0.492797,-0.4981675,-0.5007356,-0.497422,-0.4914813,-0.5010384,-0.5053229,-0.5040165,-0.5052973,-0.5067089,-0.5059022,-0.5026518,-0.5045346,-0.5036533,-0.5022154,-0.5059797,-0.5007192,-0.5061715,-0.5076635,-0.5044877,-0.505379,-0.5072199,-0.5073656,-0.5089535,-0.5101937,-0.512368,-0.5049974,-0.5026987,-0.5068475,-0.5083386,-0.4962471,-0.4999594,-0.4991313,-0.496289,-0.496289,-0.4976821,-0.4889674,-0.4908786,-0.4919128,-0.4824638,-0.4601115,-0.4538374,-0.4626367,-0.4683123,-0.4668416,-0.4515957,-0.4624726,-0.4608959,-0.4618577,-0.4571154,-0.4556896
2020-09-19.out.17,10.0,-0.4533071,-0.4345335,-0.4393035,-0.4322583,-0.4237547,-0.4105322,-0.4177926,-0.418991,-0.4202811,-0.4159844,-0.3994769,-0.3924358,-0.38351,-0.3744711,-0.3453266,-0.3529062,-0.3494448,-0.3804088,-0.3830991,-0.3826648,-0.3728824,-0.3484902,-0.3532999,-0.3421018,-0.3724581,-0.3858795,-0.331888,-0.316015,-0.335672,-0.3101162,-0.3020042,-0.3081325,-0.2906725,-0.3282586,-0.3271357,-0.3337536,-0.3424847,-0.3350223,-0.3245534,-0.3289154,-0.3372825,-0.325861,-0.3223548,-0.3184109,-0.2739052,-0.3134055,-0.3030765,-0.2774454,-0.2841316,-0.2954378,-0.3049664,-0.289493,-0.2911085,-0.2969666,-0.2819083,-0.2757657,-0.2628155,-0.2746755,-0.2653203,-0.2584129,-0.2081429,-0.1892479,-0.2089916,-0.1811849
2020-09-19.out.18,10.0,-0.198131,-0.2030438,-0.2110477,-0.201156,-0.2107172,-0.2568833,-0.2499135,-0.262674,-0.264888,-0.2560326,-0.2719282,-0.2605403,-0.2339617,-0.2547781,-0.249787,-0.2489803,-0.2456269,-0.2147831,-0.2412322,-0.2378127,-0.2074037,-0.2176062,-0.2486021,-0.2305606,-0.2417546,-0.2287922,-0.2426032,-0.2477137,-0.2524999,-0.2417005,-0.2317874,-0.2392355,-0.2327596,-0.2200092,-0.2041676,-0.2102368,-0.214662,-0.214097,-0.2275377,-0.2460085,-0.2418781,-0.2219837,-0.2126243,-0.2289748,-0.2267679,-0.221076,-0.2257358,-0.2180083,-0.2201072,-0.2117678,-0.2191149,-0.2096618,-0.1943404,-0.1613847,-0.17372,-0.141068,-0.1615246,-0.1170993,-0.1082652,-0.1279272,-0.1444113,-0.1330859,-0.1057894,-0.1027543
2020-09-19.out.19,10.0,-0.1110733,-0.1315817,-0.1367392,-0.1161758,-0.0978223,-0.0962457,-0.1329129,-0.1479231,-0.1475863,-0.1496383,-0.1497974,-0.1429918,-0.113217,-0.1398253,-0.1335705,-0.1396305,-0.1388749,-0.1282632,-0.1295788,-0.1368585,-0.1396753,-0.1433927,-0.1557729,-0.150597,-0.1498607,-0.1568539,-0.1560401,-0.1455192,-0.1399518,-0.1338469,-0.128765,-0.134616,-0.1416448,-0.1442781,-0.1554139,-0.1499516,-0.1438354,-0.1560146,-0.1530528,-0.1759538,-0.1671616,-0.1619012,-0.159633,-0.1702356,-0.1687721,-0.1576087,-0.1552233,-0.1529326,-0.1587132,-0.1610375,-0.1437885,-0.134977,-0.1288609,-0.1124023,-0.125479,-0.1321397,-0.1394429,-0.1502167,-0.1504136,-0.1480169,-0.1347148,-0.1342662,-0.1350311,-0.1308354
2020-09-19.out.20,10.0,-0.1282112,-0.1226886,-0.1165184,-0.1330545,-0.1336991,-0.1302766,-0.1239075,-0.1205043,-0.1302695,-0.1316157,-0.1256658,-0.1166973,-0.1009487,-0.0837579,-0.0781762,-0.0714289,-0.0422446,-0.0777,-0.0757377,-0.0498699,-0.0377783,-0.0329279,-0.0453173,-0.0139964,-0.0239074,-0.0463649,-0.0468646,-0.0470594,-0.0568602,-0.0591019,-0.0672026,-0.0886799,-0.0773339,-0.0817294,-0.0853948,-0.0868441,-0.0902096,-0.1031108,-0.1014178,-0.1112115,-0.1159212,-0.1108789,-0.1124454,-0.1116764,-0.1203279,-0.1217119,-0.1200087,-0.1177314,-0.1158671,-0.119148,-0.121205,-0.1184892,-0.1031158,-0.1037022,-0.1071004,-0.1069036,-0.111139,-0.1149523,-0.1155927,-0.1170072,-0.1203351,-0.1167044,-0.1103466,-0.1069525
2020-09-19.out.21,10.0,-0.1099009,-0.0969946,-0.0894711,-0.0928815,-0.0977381,-0.1006111,-0.0984296,-0.0982981,-0.0941167,-0.090845,-0.0868696,-0.0886737,-0.0939035,-0.0900525,-0.0890581,-0.0803903,-0.0741376,-0.0761335,-0.0770901,-0.0631221,-0.0620758,-0.0630212,-0.0566562,-0.0570428,-0.0586847,-0.0579249,-0.0637973,-0.0680277,-0.0631028,-0.0569959,-0.0478334,-0.0435368,-0.039749,-0.0442568,-0.0450329,-0.0302041,-0.0347089,-0.0411606,-0.0453563,-0.0468524,-0.0470116,-0.0326214,-0.0250103,-0.0197222,-0.0159203,-0.0109392,-0.0064407,0.0073774,0.0153537,0.0219909,0.0196177,0.0169487,0.0141135,0.0191201,0.0130295,0.0141206,0.0158789,0.012957,0.0159472,0.0195423,0.0143451,0.0205019,0.0438842,0.042749
2020-09-19.out.22,10.0,0.0343321,0.0544653,0.0475261,0.0477892,0.0419872,0.0354458,0.033966,0.0309992,0.0386074,0.0256521,0.0261895,0.027596,0.0287781,0.0275328,0.0142898,0.0068714,-0.0017005,0.0012734,0.0006686,0.0069468,0.0164846,0.0193085,0.0353541,0.0274532,0.0272166,0.0275613,0.0192637,0.0120125,0.0167191,0.0187293,0.0190107,0.0190882,0.0207863,0.0262435,0.02971,0.0291257,0.0298181,0.030479,0.0303362,0.0285209,0.0314876,0.0328828,0.0329868,0.0367225,0.0376302,0.0368184,0.0375527,0.0427285,0.0435004,0.055138,0.057089,0.0579406,0.055138,0.0575745,0.0618518,0.060429,0.0540875,0.0578375,0.0616252,0.0647725,0.0679525,0.0671927,0.0691253,0.0753893
