,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95,val_96,val_97,val_98,val_99,val_100,val_101,val_102,val_103,val_104,val_105,val_106,val_107,val_108,val_109,val_110,val_111,val_112,val_113,val_114,val_115,val_116,val_117,val_118,val_119,val_120,val_121,val_122,val_123,val_124,val_125,val_126,val_127,val_128,val_129,val_130,val_131,val_132,val_133,val_134,val_135,val_136,val_137,val_138,val_139,val_140,val_141,val_142,val_143,val_144,val_145,val_146,val_147,val_148,val_149,val_150,val_151,val_152,val_153,val_154,val_155,val_156,val_157,val_158,val_159,val_160,val_161,val_162,val_163,val_164,val_165,val_166,val_167,val_168,val_169,val_170,val_171,val_172,val_173,val_174,val_175,val_176,val_177,val_178,val_179,val_180,val_181,val_182,val_183,val_184,val_185,val_186,val_187,val_188,val_189,val_190,val_191
2020-10-21.out.0,2.0,1.2665129,-1.1720759,-0.0598762,1.266498,-1.1720759,-0.0598612,1.2665055,-1.1720759,-0.0598687,1.2664755,-1.1720774,-0.0598462,1.2664232,-1.1720781,-0.0598014,1.2664082,-1.1720774,-0.0597714,1.2664007,-1.1720774,-0.059764,1.2664531,-1.1720781,-0.0598388,1.2664681,-1.1720774,-0.0598388,1.2665129,-1.1720781,-0.0599061,1.2664905,-1.1720774,-0.0598612,1.2664905,-1.1720774,-0.0598687,1.2664381,-1.1720781,-0.0598238,1.2664007,-1.1720774,-0.059764,1.2664007,-1.1720774,-0.059764,1.2664606,-1.1720774,-0.0598313,1.2664531,-1.1720774,-0.0598313,1.2666251,-1.1720774,-0.0600183,1.2667448,-1.1720759,-0.060138,1.2668196,-1.1720774,-0.0602277,1.2668795,-1.1720781,-0.06031,1.2668795,-1.1720811,-0.0603325,1.2668645,-1.1720819,-0.0603325,1.2668421,-1.1720834,-0.0603175,1.2668421,-1.1720871,-0.0603549,1.2668645,-1.1720901,-0.0603998,1.2667972,-1.1720938,-0.0603624,1.2667747,-1.1720946,-0.0603474,1.2667149,-1.1720976,-0.0603025,1.26667,-1.1720998,-0.0602801,1.26667,-1.1721013,-0.0602876,1.2666925,-1.1721051,-0.0603474,1.2667299,-1.1721058,-0.0603998,1.2667074,-1.1721088,-0.0603998,1.2667224,-1.1721088,-0.0604147,1.2668196,-1.1721103,-0.0605344,1.2667822,-1.172114,-0.0605269,1.2667673,-1.1721155,-0.0605269,1.2668047,-1.1721178,-0.0605868,1.2668196,-1.1721185,-0.0606167,1.2668271,-1.1721215,-0.0606466,1.2667897,-1.1721223,-0.0606167,1.2667224,-1.1721268,-0.0605793,1.2667523,-1.172129,-0.0606317,1.2667972,-1.1721305,-0.0606915,1.2667747,-1.172135,-0.0607214,1.2668047,-1.172135,-0.0607513,1.2667747,-1.172138,-0.0607439,1.2667822,-1.172138,-0.0607513,1.2667897,-1.1721402,-0.0607813,1.2668121,-1.1721425,-0.0608261,1.2667673,-1.172147,-0.0608187,1.2667373,-1.1721492,-0.0608037,1.2667299,-1.1721507,-0.0608112,1.26667,-1.1721544,-0.0607738,1.2666625,-1.1721552,-0.0607813,1.2666775,-1.1721589,-0.0608261,1.2665952,-1.1721604,-0.0607513,1.2665354,-1.1721619,-0.060699,1.2664905,-1.1721642,-0.0606765,1.266483,-1.1721657,-0.0606765,1.2665055,-1.1721642,-0.060684,1.266483,-1.1721672,-0.060684,1.2665055,-1.1721672,-0.0607065
2020-10-21.out.1,2.0,1.2664606,-1.1721679,-0.0606765,1.2664755,-1.1721679,-0.060684,1.2664531,-1.1721709,-0.0606915,1.2664531,-1.1721709,-0.0606915,1.2664531,-1.1721694,-0.0606765,1.2665354,-1.1721709,-0.0607738,1.2665429,-1.1721709,-0.0607813,1.2665503,-1.1721709,-0.0607887,1.266498,-1.1721709,-0.0607364,1.2665204,-1.1721694,-0.0607513,1.2664456,-1.1721709,-0.0606765,1.2664456,-1.1721716,-0.0606915,1.2663933,-1.1721731,-0.0606466,1.2664232,-1.1721731,-0.0606765,1.2664082,-1.1721746,-0.0606691,1.2664157,-1.1721754,-0.0606915,1.2664381,-1.1721746,-0.060699,1.2664456,-1.1721746,-0.0607139,1.2664456,-1.1721746,-0.0607139,1.2664531,-1.1721746,-0.0607214,1.266498,-1.1721754,-0.0607813,1.2664905,-1.1721754,-0.0607813,1.266498,-1.1721754,-0.0607813,1.2665129,-1.1721746,-0.0607887,1.2665204,-1.1721716,-0.0607738,1.2664681,-1.1721731,-0.0607289,1.2664232,-1.1721769,-0.0607065,1.2663933,-1.1721769,-0.0606765,1.2663409,-1.1721784,-0.0606317,1.2663633,-1.1721784,-0.0606541,1.2663484,-1.1721784,-0.0606466,1.2663633,-1.1721784,-0.0606541,1.2663783,-1.1721769,-0.0606616,1.2663633,-1.1721769,-0.0606466,1.2663409,-1.1721769,-0.0606242,1.2663484,-1.1721769,-0.0606242,1.2663559,-1.1721769,-0.0606317,1.2664232,-1.1721754,-0.060699,1.2664232,-1.1721746,-0.060684,1.2664681,-1.1721754,-0.0607513,1.2664681,-1.1721746,-0.0607364,1.2664905,-1.1721731,-0.0607513,1.2665503,-1.1721716,-0.0608037,1.266498,-1.1721746,-0.0607738,1.2665503,-1.1721731,-0.0608187,1.2665578,-1.1721746,-0.0608411,1.2600576,-1.1729563,-0.0608261,1.2663035,-1.1722031,-0.0608187,1.2604765,-1.1729069,-0.0608336,1.2665503,-1.1721769,-0.0608561,1.2665204,-1.1721784,-0.0608261,1.266483,-1.1721784,-0.0607962,1.2665055,-1.1721784,-0.0608187,1.2664755,-1.1721791,-0.0607962,1.2665129,-1.1721806,-0.0608411,1.266498,-1.1721821,-0.0608411,1.2665129,-1.1721806,-0.0608486,1.2665055,-1.1721836,-0.0608635,1.2665877,-1.1721821,-0.0609383,1.2666027,-1.1721821,-0.0609533,1.2665503,-1.1721836,-0.0609084,1.2665279,-1.1721836,-0.060886,1.2665429,-1.1721859,-0.0609234,1.2665952,-1.1721859,-0.0609832
2020-10-21.out.2,2.0,1.2665877,-1.1721859,-0.0609757,1.2666027,-1.1721866,-0.0610057,1.2666326,-1.1721866,-0.0610431,1.2665653,-1.1721896,-0.0609907,1.2665578,-1.1721896,-0.0609757,1.2665803,-1.1721896,-0.0610057,1.2665803,-1.1721918,-0.0610206,1.2665952,-1.1721918,-0.0610431,1.2665728,-1.1721933,-0.0610281,1.2665279,-1.1721918,-0.0609683,1.2665653,-1.1721948,-0.0610356,1.2665803,-1.1721956,-0.061058,1.2665653,-1.1721956,-0.0610505,1.2665877,-1.1721971,-0.0610805,1.2665653,-1.1721993,-0.0610805,1.2665503,-1.1721986,-0.0610505,1.2665578,-1.1721993,-0.061073,1.2665578,-1.1721993,-0.061073,1.2665204,-1.1722008,-0.0610431,1.266498,-1.1722023,-0.0610281,1.2665055,-1.1722046,-0.061058,1.2665129,-1.1722031,-0.0610505,1.2664905,-1.172206,-0.061058,1.266483,-1.172206,-0.0610431,1.266483,-1.1722068,-0.061058,1.266483,-1.1722068,-0.061058,1.2664755,-1.1722083,-0.061058,1.2664681,-1.1722083,-0.0610505,1.2664681,-1.1722083,-0.0610505,1.2664456,-1.1722083,-0.0610281,1.2664456,-1.1722083,-0.0610281,1.2664531,-1.1722068,-0.0610206,1.2664531,-1.1722083,-0.0610356,1.2664606,-1.1722083,-0.0610431,1.2665129,-1.1722083,-0.0611029,1.2664755,-1.1722083,-0.061058,1.2664681,-1.1722083,-0.0610505,1.2664606,-1.1722083,-0.0610431,1.2664681,-1.1722083,-0.0610505,1.2664082,-1.1722135,-0.0610281,1.2664232,-1.1722113,-0.0610281,1.2663933,-1.1722098,-0.0609757,1.2664232,-1.1722098,-0.0610131,1.2664007,-1.1722113,-0.0610057,1.2663633,-1.172212,-0.0609683,1.2663484,-1.1722113,-0.0609458,1.2663858,-1.1722113,-0.0609832,1.2664157,-1.1722113,-0.0610131,1.2663933,-1.1722113,-0.0609907,1.2663708,-1.1722098,-0.0609608,1.2663559,-1.1722113,-0.0609533,1.2663783,-1.1722098,-0.0609608,1.2663633,-1.1722113,-0.0609533,1.2663633,-1.1722113,-0.0609608,1.2663858,-1.1722098,-0.0609683,1.2663633,-1.1722098,-0.0609458,1.2664082,-1.1722098,-0.0609907,1.2664082,-1.1722098,-0.0609982,1.2663933,-1.1722098,-0.0609757,1.2664232,-1.1722098,-0.0610131,1.2664381,-1.1722083,-0.0610206,1.2664232,-1.1722083,-0.0610057,1.2663858,-1.1722083,-0.0609683,1.2663858,-1.1722083,-0.0609608
2020-10-21.out.3,2.0,1.2664456,-1.1722083,-0.0610281,1.2664606,-1.1722083,-0.0610431,1.266498,-1.1722083,-0.0610879,1.2665055,-1.1722083,-0.0610954,1.266498,-1.1722083,-0.0610879,1.2664905,-1.1722083,-0.0610805,1.2664755,-1.1722083,-0.0610655,1.2665279,-1.1722083,-0.0611179,1.2664755,-1.1722098,-0.061073,1.2665354,-1.1722098,-0.0611328,1.2665279,-1.1722113,-0.0611403,1.2665503,-1.1722113,-0.0611702,1.2665653,-1.172212,-0.0611927,1.2665429,-1.1722135,-0.0611852,1.2665503,-1.172215,-0.0612076,1.2665354,-1.172215,-0.0611852,1.2665803,-1.172215,-0.0612375,1.2665354,-1.1722173,-0.0612151,1.2666326,-1.1722188,-0.0613273,1.2666177,-1.1722195,-0.0613198,1.2666027,-1.172221,-0.0613198,1.2666326,-1.172221,-0.0613498,1.2665803,-1.1722225,-0.0613049,1.2665877,-1.1722233,-0.0613198,1.2665503,-1.1722247,-0.0612974,1.2665503,-1.1722262,-0.0613049,1.2665429,-1.172227,-0.0613124,1.2665503,-1.17223,-0.0613423,1.2665429,-1.1722322,-0.0613572,1.2666177,-1.1722322,-0.0614395,1.2665952,-1.1722315,-0.0614021,1.2665728,-1.1722322,-0.0613946,1.2667224,-1.1722322,-0.0615592,1.2666476,-1.1722352,-0.0614994,1.2666625,-1.172236,-0.0615293,1.2666102,-1.1722375,-0.0614769,1.2666027,-1.172239,-0.0614844,1.2665429,-1.1722412,-0.0614395,1.266483,-1.1722427,-0.0613797,1.266498,-1.1722427,-0.0614021,1.266498,-1.1722449,-0.0614246,1.2665055,-1.1722449,-0.061432,1.2665055,-1.1722464,-0.0614395,1.2665129,-1.1722472,-0.061462,1.2665503,-1.1722487,-0.0615218,1.2665578,-1.1722472,-0.0615143,1.2665728,-1.1722502,-0.0615517,1.2665429,-1.1722509,-0.0615293,1.2665204,-1.1722517,-0.0615068,1.2665129,-1.1722524,-0.0615068,1.2664531,-1.1722539,-0.0614545,1.2664755,-1.1722524,-0.0614694,1.2664905,-1.1722539,-0.0614919,1.2664531,-1.1722554,-0.061462,1.2664307,-1.1722554,-0.061447,1.2664905,-1.1722554,-0.0615143,1.2664307,-1.1722562,-0.0614545,1.2664157,-1.1722562,-0.0614395,1.2664082,-1.1722577,-0.0614395,1.2663933,-1.1722562,-0.0614096,1.2664007,-1.1722577,-0.061432,1.2664456,-1.1722562,-0.0614694,1.2664606,-1.1722562,-0.0614844,1.2665055,-1.1722562,-0.0615368
2020-10-21.out.4,2.0,1.2664681,-1.1722577,-0.0615143,1.2664531,-1.1722577,-0.0614919,1.2664606,-1.1722592,-0.0615068,1.2664755,-1.1722599,-0.0615368,1.2664456,-1.1722599,-0.0615068,1.2664307,-1.1722599,-0.0614844,1.2664606,-1.1722599,-0.0615218,1.2664232,-1.1722599,-0.0614844,1.2664232,-1.1722614,-0.0614919,1.2664007,-1.1722614,-0.061462,1.2664232,-1.1722599,-0.0614769,1.2664082,-1.1722614,-0.0614769,1.2664381,-1.1722629,-0.0615218,1.266483,-1.1722629,-0.0615667,1.2665204,-1.1722629,-0.0616116,1.2664531,-1.1722636,-0.0615442,1.2664681,-1.1722629,-0.0615592,1.266483,-1.1722636,-0.0615816,1.2664531,-1.1722636,-0.0615517,1.2664381,-1.1722651,-0.0615368,1.2664007,-1.1722666,-0.0615143,1.2663858,-1.1722651,-0.0614844,1.2664232,-1.1722666,-0.0615368,1.2664531,-1.1722674,-0.0615816,1.2664905,-1.1722666,-0.0616116,1.2664531,-1.1722674,-0.0615891,1.2664381,-1.1722689,-0.0615742,1.2664531,-1.1722674,-0.0615816,1.2664232,-1.1722689,-0.0615667,1.2664531,-1.1722674,-0.0615816,1.2664307,-1.1722674,-0.0615592,1.2664232,-1.1722689,-0.0615667,1.2664157,-1.1722689,-0.0615592,1.2663858,-1.1722689,-0.0615218,1.2663858,-1.1722689,-0.0615218,1.2663633,-1.1722696,-0.0614994,1.2663858,-1.1722689,-0.0615218,1.2663708,-1.1722689,-0.0615068,1.2663933,-1.1722704,-0.0615368,1.2663708,-1.1722689,-0.0615068,1.2663633,-1.1722689,-0.0614919,1.2663559,-1.1722704,-0.0614994,1.2663708,-1.1722704,-0.0615143,1.2663334,-1.1722689,-0.061462,1.2663409,-1.1722689,-0.0614694,1.2663484,-1.1722689,-0.0614769,1.2663259,-1.1722674,-0.0614395,1.2663559,-1.1722666,-0.061462,1.2663484,-1.1722674,-0.0614694,1.2663484,-1.1722666,-0.0614545,1.266296,-1.1722666,-0.0613946,1.2663259,-1.1722674,-0.061447,1.2663259,-1.1722666,-0.061432,1.2663633,-1.1722651,-0.061462,1.2663484,-1.1722651,-0.061447,1.2663035,-1.1722666,-0.0614021,1.2663259,-1.1722636,-0.0614096,1.266296,-1.1722651,-0.0613872,1.2663334,-1.1722636,-0.0614096,1.2663484,-1.1722629,-0.0614171,1.2663259,-1.1722629,-0.0613946,1.2663259,-1.1722629,-0.0614021,1.2663409,-1.1722614,-0.0614021,1.266311,-1.1722629,-0.0613797
2020-10-21.out.5,2.0,1.2663259,-1.1722599,-0.0613722,1.2663185,-1.1722599,-0.0613572,1.2663409,-1.1722599,-0.0613946,1.2663334,-1.1722599,-0.0613797,1.2663559,-1.1722592,-0.0613946,1.2663259,-1.1722592,-0.0613572,1.2663334,-1.1722577,-0.0613572,1.2663259,-1.1722577,-0.0613498,1.2663484,-1.1722577,-0.0613722,1.2663559,-1.1722577,-0.0613797,1.2663484,-1.1722562,-0.0613647,1.2663783,-1.1722562,-0.0614021,1.2663484,-1.1722562,-0.0613572,1.2663858,-1.1722554,-0.0613872,1.2663858,-1.1722554,-0.0613872,1.2663633,-1.1722554,-0.0613722,1.2663559,-1.1722562,-0.0613722,1.2663708,-1.1722562,-0.0613797,1.2663559,-1.1722562,-0.0613647,1.2663559,-1.1722554,-0.0613572,1.2663185,-1.1722554,-0.0613198,1.2662811,-1.1722577,-0.0612974,1.2662811,-1.1722539,-0.0612675,1.2663259,-1.1722524,-0.0613049,1.2663484,-1.1722517,-0.0613198,1.2663633,-1.1722517,-0.0613273,1.2663334,-1.1722502,-0.0612899,1.2663409,-1.1722517,-0.0613049,1.2663259,-1.1722524,-0.0613049,1.2663409,-1.1722517,-0.0613049,1.266311,-1.1722502,-0.0612675,1.266311,-1.1722502,-0.06126,1.2663633,-1.1722479,-0.0613049,1.2663409,-1.1722487,-0.0612899,1.2663559,-1.1722487,-0.0612974,1.266296,-1.1722502,-0.061245,1.2663185,-1.1722487,-0.06126,1.266311,-1.1722487,-0.061245,1.266311,-1.1722487,-0.0612525,1.2663559,-1.1722472,-0.0612899,1.2663035,-1.1722487,-0.0612375,1.2663185,-1.1722464,-0.0612301,1.266296,-1.1722464,-0.0612151,1.2663035,-1.1722464,-0.0612226,1.266296,-1.1722464,-0.0612151,1.2662885,-1.1722464,-0.0612076,1.2663185,-1.1722449,-0.0612226,1.2662885,-1.1722464,-0.0612001,1.266296,-1.1722449,-0.0612001,1.2663185,-1.1722434,-0.0612151,1.2663035,-1.1722427,-0.0611852,1.2663259,-1.1722427,-0.0612076,1.2663185,-1.1722427,-0.0612001,1.2663259,-1.1722427,-0.0612151,1.2663484,-1.1722412,-0.0612226,1.2663259,-1.1722397,-0.0611852,1.2663334,-1.1722397,-0.0612001,1.2663259,-1.1722397,-0.0611852,1.266311,-1.1722397,-0.0611702,1.266296,-1.172239,-0.0611403,1.2663334,-1.172239,-0.0611852,1.2662811,-1.1722397,-0.0611328,1.2663334,-1.172239,-0.0611852,1.2663259,-1.172239,-0.0611702
2020-10-21.out.6,2.0,1.2663185,-1.1722375,-0.0611553,1.2663185,-1.172239,-0.0611702,1.2663334,-1.1722375,-0.0611702,1.2663185,-1.172239,-0.0611627,1.266296,-1.172236,-0.0611179,1.2663259,-1.1722345,-0.0611403,1.2663783,-1.1722352,-0.0612001,1.2663484,-1.1722337,-0.0611553,1.2663259,-1.1722345,-0.0611403,1.266311,-1.1722337,-0.0611104,1.2662811,-1.1722337,-0.0610805,1.2662661,-1.1722337,-0.061058,1.2663035,-1.1722337,-0.0611029,1.2663633,-1.1722337,-0.0611702,1.2664531,-1.1722337,-0.0612749,1.2664681,-1.1722337,-0.0612899,1.2665653,-1.1722337,-0.0613872,1.2665429,-1.1722322,-0.0613572,1.2665204,-1.1722352,-0.0613498,1.2665429,-1.1722352,-0.0613797,1.2665279,-1.1722352,-0.0613572,1.2665055,-1.1722352,-0.0613423,1.2664755,-1.1722375,-0.0613273,1.2664606,-1.1722375,-0.0613124,1.2664381,-1.1722397,-0.0613124,1.2664531,-1.1722397,-0.0613273,1.2664381,-1.1722412,-0.0613198,1.2664456,-1.172242,-0.0613348,1.2664381,-1.1722412,-0.0613198,1.2664456,-1.1722412,-0.0613273,1.2664681,-1.1722412,-0.0613572,1.2664157,-1.1722427,-0.0613049,1.2664232,-1.1722427,-0.0613124,1.2664082,-1.1722427,-0.0612974,1.2663933,-1.1722427,-0.0612899,1.2666102,-1.1722412,-0.0615143,1.2666027,-1.1722427,-0.0615143,1.2665728,-1.1722427,-0.0614844,1.2665728,-1.1722427,-0.0614844,1.2666551,-1.1722412,-0.0615667,1.2666251,-1.1722427,-0.0615442,1.2666251,-1.1722427,-0.0615442,1.2666551,-1.1722427,-0.0615742,1.2666476,-1.1722434,-0.0615742,1.2666401,-1.1722449,-0.0615891,1.2666177,-1.1722464,-0.0615667,1.2666401,-1.1722487,-0.061619,1.2665803,-1.1722487,-0.0615442,1.2665653,-1.1722517,-0.0615592,1.2665429,-1.1722524,-0.0615442,1.2665279,-1.1722539,-0.0615368,1.2664681,-1.1722554,-0.0614844,1.2664456,-1.1722577,-0.0614844,1.2664606,-1.1722577,-0.0614994,1.2664755,-1.1722599,-0.0615442,1.266483,-1.1722592,-0.0615368,1.2665204,-1.1722599,-0.0615816,1.266498,-1.1722599,-0.0615667,1.2665354,-1.1722614,-0.061619,1.2665578,-1.1722614,-0.0616415,1.2665728,-1.1722614,-0.0616639,1.2666102,-1.1722629,-0.0617088,1.2665578,-1.1722629,-0.0616564,1.2665803,-1.1722636,-0.0616864
2020-10-21.out.7,2.0,1.2665877,-1.1722636,-0.0617013,1.2665728,-1.1722651,-0.0616938,1.2665279,-1.1722674,-0.0616714,1.2665204,-1.1722674,-0.0616564,1.2664755,-1.1722704,-0.0616265,1.2664381,-1.1722704,-0.0615891,1.2663933,-1.1722726,-0.0615592,1.2663484,-1.1722741,-0.0615293,1.2663783,-1.1722726,-0.0615442,1.2664082,-1.1722726,-0.0615816,1.2663783,-1.1722741,-0.0615667,1.2663783,-1.1722741,-0.0615667,1.2664531,-1.1722726,-0.061634,1.2664606,-1.1722741,-0.061649,1.2663708,-1.1722741,-0.0615517,1.2664082,-1.1722756,-0.0615966,1.2664007,-1.1722756,-0.0615966,1.2664307,-1.1722756,-0.0616265,1.2664755,-1.1722756,-0.0616789,1.2664381,-1.1722756,-0.061634,1.2664606,-1.1722756,-0.0616564,1.2664681,-1.1722756,-0.0616714,1.266498,-1.1722764,-0.0617163,1.2664905,-1.1722764,-0.0617088,1.2664456,-1.1722779,-0.0616714,1.2664531,-1.1722764,-0.0616639,1.2663783,-1.1722794,-0.0616041,1.2663633,-1.1722801,-0.0615966,1.2663708,-1.1722794,-0.0615966,1.2663633,-1.1722794,-0.0615891,1.2663409,-1.1722794,-0.0615667,1.2663484,-1.1722794,-0.0615742,1.266296,-1.1722808,-0.0615368,1.2662811,-1.1722794,-0.0614994,1.2662885,-1.1722794,-0.0615068,1.2662811,-1.1722771,-0.0614844,1.2662661,-1.1722779,-0.0614694,1.2662586,-1.1722779,-0.061462,1.266311,-1.1722764,-0.0615068,1.2663259,-1.1722764,-0.0615218,1.2663259,-1.1722756,-0.0615143,1.266296,-1.1722741,-0.061462,1.2663484,-1.1722726,-0.0615068,1.266311,-1.1722726,-0.0614694,1.2663035,-1.1722726,-0.061462,1.2662736,-1.1722726,-0.0614246,1.2662811,-1.1722726,-0.061432,1.2663035,-1.1722704,-0.0614395,1.2667523,-1.1722719,-0.0619556,1.2669917,-1.1722689,-0.062195,1.267605,-1.1722704,-0.0628907,1.2685774,-1.1722704,-0.0639678,1.2689066,-1.1722786,-0.0644091,1.2696695,-1.1722831,-0.0652993,1.270238,-1.1722928,-0.0660099,1.2701109,-1.1723048,-0.0659874,1.2700061,-1.1723212,-0.0660248,1.27044,-1.1723399,-0.0666756,1.2710384,-1.1723631,-0.0675508,1.2712703,-1.1723901,-0.0680594,1.2711431,-1.1724312,-0.0682988,1.2719061,-1.1724619,-0.0694208,1.2720931,-1.1724858,-0.0698546,1.2722427,-1.1725195,-0.0703334
2020-10-21.out.8,2.0,1.2718313,-1.1725576,-0.0702212,1.2714498,-1.1725995,-0.0701912,1.2713975,-1.1726406,-0.0705129,1.2713526,-1.1726818,-0.070842,1.2718837,-1.1727177,-0.0717546,1.271577,-1.1727581,-0.0717845,1.2710459,-1.1727917,-0.0715077,1.2707242,-1.1728306,-0.0715077,1.2706345,-1.1728643,-0.0717322,1.2702156,-1.1728972,-0.0715676,1.269692,-1.1729301,-0.0712908,1.2693105,-1.1729615,-0.0711562,1.26949,-1.1729915,-0.0716349,1.2693479,-1.1730169,-0.0717097,1.269116,-1.1730438,-0.0717022,1.2692507,-1.1730655,-0.0720463,1.2691684,-1.1730894,-0.072181,1.2690711,-1.1731096,-0.0722558,1.2688542,-1.1731276,-0.072181,1.2687046,-1.1731478,-0.0721959,1.2685924,-1.1731643,-0.0722333,1.2684952,-1.173183,-0.0722932,1.2682857,-1.1732002,-0.0722258,1.2681885,-1.1732181,-0.0722782,1.2683231,-1.1732353,-0.0725924,1.2688168,-1.173248,-0.0732506,1.2687719,-1.173263,-0.0733404,1.2685176,-1.1732772,-0.0731908,1.2685774,-1.1732922,-0.0734002,1.268742,-1.1733064,-0.0737069,1.2688467,-1.1733191,-0.0739388,1.2688692,-1.1733333,-0.0741033,1.268727,-1.1733505,-0.0740959,1.268555,-1.1733662,-0.074051,1.2684952,-1.1733827,-0.0741407,1.2684652,-1.1733961,-0.0742305,1.268383,-1.1734089,-0.0742604,1.268353,-1.1734253,-0.0743801,1.268196,-1.173441,-0.0743427,1.2680688,-1.1734552,-0.0743427,1.2677696,-1.1734679,-0.0741258,1.2677846,-1.1734822,-0.0742679,1.267792,-1.1734949,-0.0743951,1.2678519,-1.1735068,-0.0745671,1.2676724,-1.1735181,-0.0744699,1.2678594,-1.1735285,-0.0747766,1.2678145,-1.173536,-0.074799,1.2678594,-1.1735442,-0.0749262,1.2677771,-1.1735562,-0.0749411,1.2677621,-1.1735674,-0.0750309,1.2677172,-1.1735764,-0.0750608,1.2676873,-1.1735824,-0.0750907,1.2677247,-1.1735914,-0.0752104,1.2676873,-1.1736011,-0.0752628,1.2676275,-1.1736086,-0.0752628,1.26762,-1.173619,-0.0753525,1.2675901,-1.1736273,-0.0753974,1.2675676,-1.1736385,-0.0754797,1.2675302,-1.1736475,-0.0755171,1.2675751,-1.1736535,-0.0756218,1.2675153,-1.1736624,-0.0756368,1.2675302,-1.1736677,-0.0757041,1.26762,-1.1736729,-0.0758462,1.2675003,-1.1736841,-0.0758163
2020-10-21.out.9,2.0,1.2675452,-1.1736931,-0.0759435,1.2674405,-1.1736976,-0.0758761,1.2673208,-1.1737066,-0.0758313,1.2674779,-1.173714,-0.0760706,1.267418,-1.1737215,-0.0760781,1.2673881,-1.173729,-0.076108,1.2673806,-1.1737357,-0.0761604,1.2673058,-1.1737395,-0.0761155,1.2672759,-1.173747,-0.0761529,1.2671787,-1.1737529,-0.0761005,1.2671936,-1.1737604,-0.0761828,1.2671338,-1.1737657,-0.0761679,1.2672161,-1.1737724,-0.0763175,1.2672161,-1.1737784,-0.0763773,1.267246,-1.1737746,-0.0763773,1.2672759,-1.1737836,-0.0764895,1.2672759,-1.1737866,-0.0765194,1.2673432,-1.1737858,-0.0765867,1.2672235,-1.1738023,-0.0766092,1.2672086,-1.1738083,-0.0766466,1.2672759,-1.1738113,-0.0767513,1.2674629,-1.1738068,-0.0769159,1.2675751,-1.1737963,-0.0769383,1.2675901,-1.1738068,-0.0770505,1.2676948,-1.1738053,-0.0771552,1.2679716,-1.1737986,-0.0773946,1.2681735,-1.1737873,-0.0775218,1.2682334,-1.1737866,-0.0775741,1.2686298,-1.1737911,-0.0780528,1.2686074,-1.1737858,-0.0779855,1.2685849,-1.1737866,-0.0779631,1.2688467,-1.1737731,-0.0781351,1.2689889,-1.1737776,-0.0783371,1.2689515,-1.1737851,-0.0783595,1.2688019,-1.1737948,-0.0782847,1.2688019,-1.1738075,-0.0783969,1.2687345,-1.1738195,-0.0784418,1.2686672,-1.1738337,-0.0784942,1.2686971,-1.1738434,-0.0786213,1.2686373,-1.1738547,-0.0786587,1.2684802,-1.1738674,-0.0785989,1.2683456,-1.1738764,-0.0785316,1.2683456,-1.1738853,-0.0786064,1.2683306,-1.1738951,-0.0786887,1.2682708,-1.173901,-0.0786812,1.2683007,-1.1739153,-0.0788383,1.2683605,-1.1739265,-0.0790178,1.2684652,-1.1739355,-0.0792123,1.2683979,-1.1739429,-0.0792048,1.2683381,-1.1739519,-0.0792272,1.2682708,-1.1739594,-0.0792123,1.2681212,-1.1739676,-0.0791225,1.268181,-1.1739676,-0.0791898,1.2682109,-1.1739729,-0.0792721,1.2681212,-1.1739818,-0.0792497,1.2680015,-1.1739916,-0.0792123,1.2678594,-1.1740005,-0.0791375,1.267807,-1.1740065,-0.0791375,1.2678444,-1.174014,-0.0792497,1.2679042,-1.1740192,-0.0793619,1.267807,-1.1740245,-0.079302,1.2677621,-1.1740282,-0.0792871,1.2678893,-1.174023,-0.0793768,1.2679042,-1.1740252,-0.0794142
