,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63
2020-12-04.out.0,0.0,0.6202583,0.6082889,0.7065273,0.4916537,1.9609609,1.9783421,1.7039482,0.1447715,0.0061139,0.098,0.0799728,0.0723248,0.0640875,0.0603094,0.0650967,0.059066,0.0568802,0.0610134,0.0607981,0.0646032,0.0555947,0.0558767,0.0546793,0.0591259,0.0583466,0.0592576,0.063069,0.0834803,0.1058056,0.09299,0.0978755,0.0956355,0.1082484,0.1154638,0.111293,0.0942731,0.1136122,0.1162659,0.1158271,0.1221795,0.1233058,0.1306863,0.1341968,0.1364306,0.1368505,0.1136098,0.1320777,0.1426804,0.1372514,0.1388563,0.432976,4.6990551,2.70525,2.8811379,2.84028,0.0379976,0.0371011,0.0314488,0.0334256,0.0422396,0.0459528,0.048546,0.0499733,0.0499733
2020-12-04.out.1,0.0,0.0411863,0.0310912,0.0278773,0.0291018,0.0324221,0.0358596,0.0445357,0.0497221,0.0537886,0.0460026,0.0465,0.0557131,1.1899778,5.0433189,5.0015707,5.0236139,5.0681914,4.998127,1.2445706,3.2287888,1.0108445,0.8391211,0.4616682,2.824683,2.5399226,2.5106619,0.4856045,0.492101,4.8240485,2.7920913,3.1335718,0.0526327,0.0505765,0.0461569,0.042989,0.0394596,0.0405796,0.045229,0.0473834,0.0559676,0.0539636,0.0498387,0.0479978,0.0489799,0.0488023,0.0530463,0.0573029,0.051966,0.0516965,0.0591752,0.0623974,0.0597644,0.0629407,0.0633398,0.0626524,0.0632019,0.0638309,0.065442,0.0649509,0.065697,0.0692848,0.0714329,0.0697174,0.0694876
2020-12-04.out.2,0.0,0.0765986,0.0801342,0.0820985,0.0836239,0.0819606,0.0856739,0.0836239,0.0836636,0.0837096,0.0853207,0.0843448,0.0822364,0.0823805,0.0813921,0.0809533,0.0638415,0.071805,0.0773509,0.0799504,0.0769518,0.0774428,0.0768598,0.0773572,0.0761849,0.0767617,0.068654,0.0707165,0.0710696,0.0737548,0.0766093,0.0802765,0.0813568,0.0843952,0.0824769,0.0850304,0.084088,0.0844933,0.0803287,0.0859665,0.0839501,0.0860522,0.0849322,0.0864054,0.0890111,0.0880165,0.0891365,0.0855737,0.0844933,0.0810037,0.0795827,0.0798377,0.0839501,0.0825291,0.0803287,0.0827319,0.081219,0.0818479,0.0847943,0.0839041,0.0838122,0.0804269,0.0777293,0.0771985,0.0792944
2020-12-04.out.3,0.0,0.080289,0.0796538,0.0792025,0.0833211,0.0844933,0.0867711,0.1098972,0.1027088,0.1012878,0.0933325,0.0938236,0.0935938,0.0916233,0.0878181,0.085624,0.0872351,0.0825795,0.0783626,0.0814594,0.086508,0.0855781,0.0897302,0.0912159,0.0926891,0.0926368,0.0904887,0.0908879,0.0887857,0.0882027,0.0885956,0.083639,0.0851122,0.0840381,0.0778173,0.074497,0.0792049,0.0814324,0.0837247,0.0725473,0.0711722,0.0743547,0.0746097,0.0733141,0.0765488,0.077721,0.0695235,0.0776166,0.0803539,0.0817352,0.0821803,0.0800844,0.0791942,0.0793321,0.0746242,0.0698369,0.0766867,0.0740934,0.0777085,0.080891,0.0812839,0.0861548,0.087628,0.0830957,0.0870513
2020-12-04.out.4,0.0,0.0913015,0.0904113,0.093947,0.0905095,0.106675,0.1150753,0.1090384,0.1121164,4.8871219,2.8939143,0.5260745,3.064131,5.0259904,5.1639793,0.1874233,0.1866565,0.0932053,0.0940496,0.1024959,0.1024959,0.1019066,0.1051602,0.1074317,0.1044456,0.1053755,0.1069407,0.1049764,0.1043871,0.1264371,0.1219591,0.1067882,0.1042807,0.0981121,0.0981121,0.0964426,0.0875889,0.0862535,0.0896513,0.0888468,0.0897892,0.0866589,0.0836603,0.0831233,0.0804779,0.0819573,0.0761357,0.0789524,0.0804256,0.0777927,0.0741714,0.0702681,0.0723702,0.0746625,0.0741714,0.0588961,0.0640826,0.0601937,0.0563112,0.0589566,0.0585178,0.0582503,0.0607453,0.05829,0.0620554
2020-12-04.out.5,0.0,0.063142,0.0634575,0.0637647,0.0634575,0.0675824,0.0692332,0.0664246,0.0640612,0.0625358,0.0630791,0.0711722,0.0754685,0.0706957,0.0785735,0.0706183,0.0728186,0.0768913,0.0775202,0.076047,0.0786403,0.0722419,0.0659229,0.0681232,0.0734016,0.0724717,0.0750649,0.0727475,0.0729773,0.0714059,0.0715041,0.071059,0.0747263,0.0715041,0.0758922,3.5268641,3.5021692,3.1039832,3.4550967,3.4485542,0.2300965,0.0788449,0.0778565,0.0796577,0.0806795,0.0794946,0.0815508,0.0832141,0.0873265,0.0872868,0.0880077,0.6838511,0.6273941,0.6330716,0.5324365,0.5284475,0.5325347,0.5267987,0.5220511,0.5224503,0.5404125,0.5409433,0.572442,0.0940069,0.0855461
2020-12-04.out.6,0.0,0.0795803,0.0841837,0.082978,0.0766716,0.0823888,0.0852495,0.0856946,0.0898133,0.0914703,0.0876129,0.2066115,1.1799602,3.4428559,1.7849184,4.9370416,3.1942726,0.9188162,0.8923326,0.8692613,0.5788611,0.5588489,0.5674936,0.5653852,1.3750784,4.9049869,4.9792179,4.1196376,2.1181824,2.056767,0.3604978,0.3401179,0.3515252,0.3695082,0.3803407,0.3900719,0.3985328,0.4049834,0.4103996,0.4171637,0.4189127,0.4151012,0.1831701,0.1812183,0.1835106,0.1846244,0.1945584,0.2035563,0.2092463,0.2104185,0.210452,0.212646,0.2137263,0.2132875,0.2153374,0.2184739,0.2184739,0.2220493,0.2241117,0.2160563,0.0778773,0.10476,0.0787026,0.0804516,0.0850488
2020-12-04.out.7,0.0,0.0789784,0.0777602,0.0829069,0.0972353,0.2911253,2.2311005,4.2201058,2.9701191,3.095025,0.5193055,1.1861306,4.8887049,4.3649925,0.0934177,0.0937311,0.0973065,0.0978498,0.0973065,0.0969073,0.0970055,0.096456,0.0985309,0.0979354,0.0954341,0.0948052,0.0938753,0.0964163,0.0942284,0.0951646,0.0947133,0.099814,0.0975615,0.0938482,0.0920073,0.0936184,0.0933427,0.0897151,0.091556,0.0899449,0.0899052,0.0883401,0.0897673,5.2047468,5.052605,5.1616885,0.0912927,0.0796577,0.6386365,0.6396041,0.634006,0.639414,0.6412925,0.627894,0.8590458,0.8569834,0.8213389,0.0939111,0.0914036,0.0899826,0.0863947,0.0850657,0.0810912,0.0760364,0.0806398
2020-12-04.out.8,0.0,0.0756832,0.0756435,0.0787675,0.0803389,0.0834691,0.0845891,0.0896439,0.0920533,0.1003158,0.1038911,0.1074205,0.104913,0.1068375,0.1030469,0.1030009,0.1087974,0.1088433,0.1062961,0.1037426,0.1037823,0.1062836,0.1031136,0.1034605,0.1100345,0.0928643,0.0819001,0.0579134,0.0698514,0.073525,0.0721437,0.0765111,0.0789664,0.0818731,0.0812566,0.0845185,0.0837517,0.0882822,0.0990207,0.1043827,0.106347,0.1106035,0.1825485,0.1787371,0.1734587,0.1653134,0.1625823,0.1480134,0.1511436,0.1550324,0.1639446,0.1626093,0.1581375,0.1566121,0.1912241,0.1900121,0.1836075,0.1808639,0.1725932,0.1743024,0.1755603,0.1782058,0.1808387,0.1839814,0.2481343
2020-12-04.out.9,0.0,0.2482722,0.2454888,0.2682906,0.3033124,0.2991478,0.2974738,0.2851349,0.2928037,0.3485333,1.0940612,3.1951696,3.9505646,4.9461299,1.8325221,0.6867646,0.7740807,0.8054038,4.9488088,4.949352,4.9964768,4.9586924,5.0454234,4.9753445,3.3542051,0.3231615,0.1375361,0.1343996,0.0630249,0.054403,0.0605173,0.0635034,0.0612382,0.0610626,0.0624125,0.0558365,0.0619131,0.0650496,0.0567809,0.061213,0.0624125,0.0659481,0.0674735,0.0724824,0.0725221,0.0648658,0.0707731,0.0747476,0.0707334,0.0671707,0.0735816,0.0736798,0.0705955,0.0688485,0.0683637,0.0721292,0.0772697,0.0804124,0.08059,0.0846961,0.0827444,0.0775914,0.0826922,0.0811667,0.0816703
2020-12-04.out.10,0.0,0.0872037,0.0852394,0.0841654,0.0803539,0.07947,0.0813568,0.0765236,0.0810811,0.0809891,0.0804981,0.0637457,0.0781391,0.0806674,0.2377092,0.243301,0.2564804,0.2566435,0.2633031,0.24015,0.2399599,0.2426053,0.2431883,0.2422459,0.2187817,0.2269605,0.2279489,0.230634,0.2266136,0.2276876,0.2214793,2.3070224,3.0218894,1.8212402,0.5379118,0.5969096,4.9898317,5.0355354,2.0684965,0.0574727,4.9305204,4.975242,0.5502237,0.5494714,4.9576329,5.0393091,3.0256089,0.0775914,0.0766615,0.0807676,0.080289,0.0833211,0.0736629,0.0737026,0.0784627,0.075464,0.0801594,0.078588,0.0802513,0.0842781,0.0839249,0.0815615,0.0851828,0.0868461,0.0859434
2020-12-04.out.11,0.0,0.0871616,0.0897213,0.0902584,0.0919676,0.0936499,0.0971333,0.094632,0.0936561,0.0956601,0.0976244,0.0966485,0.0907494,0.0964729,0.0996094,0.1025558,0.1032767,0.1023468,0.1044949,0.1069899,0.1010574,0.097574,0.0936184,0.1024784,0.1046725,0.106434,0.1053996,0.1092822,0.1102643,0.1134927,0.1134927,0.1139378,0.1118357,0.1099885,0.1094055,0.1092279,0.1099885,0.1150433,4.9408806,0.6430667,0.4957645,4.4981297,0.1189259,0.1203531,0.1215191,0.125945,0.1196574,0.1225641,0.1158837,0.1096107,0.1134681,0.1095793,0.1076088,0.1143646,0.2223677,1.8419695,3.6273726,3.6477587,3.6568485,3.619127,3.6513341,3.6470378,3.6455646,3.550352,3.5245496
2020-12-04.out.12,0.0,3.5260688,3.5315832,3.5263445,3.526704,3.5167889,3.5187928,3.5184981,3.5206462,3.5158067,2.8406984,1.1352623,1.0720791,1.1215023,0.8941871,0.9200815,0.8990601,0.9290856,0.941757,0.1841721,1.9809197,2.0066824,2.0555102,2.0899175,2.1000417,2.1091774,2.1210045,2.1226741,2.1617184,2.1692493,2.3384694,2.6439711,3.3761317,3.4661914,4.3985754,2.3692177,2.4907698,2.5240049,1.0308075,0.1130588,0.1168098,0.1152384,0.1157754,0.1136733,0.1142041,0.1142041,0.1132219,0.1070534,0.1059333,0.1015994,0.1010624,0.1014615,0.0988808,0.0997125,0.1033861,0.1029869,0.1040547,0.102103,0.1063867,0.1032167,0.099491,0.0967202,0.0858292,0.1244931,0.403269
