,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-09-07.out.0,9.0,0.3191014,-2.1579725,-2.772849,-2.3687873,-3.5841665,-2.9980375,-2.5811991,-3.2439881,-3.4404291,-2.4278793,-2.2713653,-2.363996,-2.3336515,-2.4582238,-2.2905303,-1.9519489,-1.2188884,1.2134672,-0.1887706,-0.8898895,-1.7427312,-2.5604371,-1.4632419,-2.1228367,-1.1166751,-1.8673036,-2.1451958,-2.7472956,-2.2537974,-1.9216044,-3.3493955,-2.7137569
2020-09-07.out.1,9.0,-3.2008669,-3.0587266,-3.8636558,-3.2663472,-2.4773888,-3.1178186,-3.3238422,-3.261556,-3.3893225,-2.7329219,-3.1673282,-3.0778916,-2.8878388,-2.8111789,-2.3080982,-1.7810612,-2.3592048,-2.7041744,-2.5173159,-3.3621721,-2.9357513,-2.4454472,-2.851106,-2.9149892,-2.6802182,-2.4981509,-1.9695168,-2.4246851,-3.3334247,-3.2296143,-3.5665986,-2.0861038
2020-09-07.out.2,9.0,-2.1180454,-1.6788479,-1.2172913,-1.3131162,-1.7012071,-1.231665,-1.4440769,-1.2125001,-0.8499625,-0.664701,-1.1023014,-1.1438255,-0.2798043,-0.2223093,-0.2175181,-0.762123,-0.3388963,-0.0274654,-0.351673,-1.4983777,-1.1629905,-1.4712273,-0.6982397,-0.4171533,-0.6375506,-1.2348592,-0.6535214,-0.4123621,-0.1855765,-0.4842308,-0.6375506,-0.3149401
2020-09-07.out.3,9.0,-0.683866,-0.3995854,-0.8978749,-1.308325,-2.4789859,-2.5636312,-1.8880656,-2.8606884,-3.5953461,-4.0840531,-2.1260308,-1.2524271,-0.7908705,-0.4842308,-0.7126135,-2.3895493,-1.4696302,0.1482136,-0.2782072,-0.7828851,-1.4153294,-0.6678952,-0.9825203,-1.2556213,-2.4071172,-1.3067279,-1.5510814,-1.1438255,-0.5353374,-1.0096707,-1.0320298,-1.0096707
2020-09-07.out.4,9.0,-0.9825203,-0.2702218,-1.0687627,-0.781288,-0.7669142,-0.6854631,-1.0000882,-1.2476359,-2.6323058,-1.9024394,-1.7523137,-1.3690141,-1.231665,-0.4746483,-0.1153049,-0.4538862,-0.9729378,-1.4376886,-1.5399018,-1.0783452,-0.9362049,-1.3322812,-1.3626257,-0.7413609,-0.3420905,-0.175994,-1.7235662,-1.3801936,-1.0016853,-0.7126135,-1.6644742,-0.9521757
2020-09-07.out.5,9.0,-0.42993,-0.9122487,-1.8609153,-1.7746728,-2.4294764,-2.3480252,-1.4871981,-0.9505786,-1.2492329,-1.113481,-1.5399018,-1.5942026,-1.0815393,-2.0892979,-1.5670522,-1.3514462,-0.6966426,-0.9809232,-0.4970074,-1.6117705,-0.1440523,-0.7269872,-0.6902543,-0.645536,-0.2047414,-0.5545024,-0.0514216,-1.8050174,-1.2140971,-1.6245472,-0.7349726,-0.2462656
2020-09-07.out.6,9.0,0.0316267,0.0603741,-0.1296786,-0.7094193,-1.2412475,-0.1121107,0.4804066,-0.6104002,-0.0881545,-0.0178829,-0.8898895,-0.6375506,-0.4123621,-0.1919648,0.038015,-1.758702,-1.1294518,-0.4586775,-1.6548917,-2.598767,-2.3320544,-0.8850983,-1.4025528,-1.1885438,-1.8193911,-1.4871981,-0.3053576,-0.0897516,-0.528949,-0.723793,-0.2957751,0.0444033
2020-09-07.out.7,9.0,-0.6678952,-0.4906191,-0.8355888,-1.0511948,-0.8611421,-1.464839,-0.1456494,-0.9122487,-0.6215798,-1.9631285,-2.1020746,-0.9793261,-1.739537,-1.9806964,-1.6421151,-1.3163104,-1.6564888,-1.25083,-1.5111543,-1.388179,-1.6053822,-1.4632419,-0.7190018,-1.0048794,-0.1440523,-0.5976236,-0.8659333,-0.7126135,-1.5095573,-2.0286088,-1.4616448,-0.9936998
2020-09-07.out.8,9.0,-0.2861926,-0.5784586,-0.4235417,-1.0927189,-0.8196179,-1.1070927,-1.348252,-1.1166751,-1.0096707,-2.7456986,-2.2969186,-1.016059,-1.407344,-0.9154428,-1.2284709,-1.5255281,-0.7892734,-1.1597964,-0.6966426,-0.8244092,-0.6551185,-1.2077088,-0.5257549,-0.7269872,-0.2223093,-0.3979883,-0.5161724,-0.0114946,0.0076704,-0.528949,-0.2686247,-0.645536
2020-09-07.out.9,9.0,-0.9984911,1.1384043,-1.1597964,-0.6104002,-1.9806964,-1.0639714,-1.3833878,-1.640518,-1.1805584,-1.094316,-1.2380534,-1.1070927,-0.7445551,-1.5574697,-2.8431206,-3.2966918,-2.2793507,-2.0765213,-1.5351106,-1.0400152,-1.3211016,-0.9346078,-1.6628771,-1.2268738,-1.0192532,-0.4618716,-0.7796909,-1.9631285,-1.7107896,-1.5287222,-1.2636067,-2.0206234
