,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95
2020-05-18.out.0,0.0,1.3120084,-1.1107866,-0.2224279,1.3120157,-1.1107807,-0.2223764,1.3120746,-1.1107792,-0.2224206,1.3121482,-1.1107792,-0.2225015,1.312104,-1.1107814,-0.2224794,1.3121114,-1.1107807,-0.2224721,1.3121334,-1.1107778,-0.2224721,1.3120893,-1.1107755,-0.2224059,1.3120452,-1.1107733,-0.222347,1.3120525,-1.1107697,-0.2223102,1.3120819,-1.1107697,-0.222347,1.312104,-1.1107711,-0.2223838,1.3120967,-1.1107726,-0.2223838,1.3120525,-1.110777,-0.2223764,1.3120672,-1.1107755,-0.2223838,1.3121334,-1.1107748,-0.2224427,1.3122217,-1.1107711,-0.2225089,1.3121776,-1.1107748,-0.2224868,1.3121261,-1.1107755,-0.22245,1.3121261,-1.110777,-0.2224574,1.3121702,-1.110777,-0.2225015,1.3121187,-1.1107829,-0.2225015,1.3120672,-1.1107755,-0.2223838,1.312001,-1.1107741,-0.2223029,1.3120304,-1.1107733,-0.2223249,1.3120746,-1.1107733,-0.2223764,1.3120672,-1.1107697,-0.2223323,1.3120452,-1.1107638,-0.2222514,1.3120525,-1.1107652,-0.2222661,1.3120378,-1.1107675,-0.2222734,1.3120452,-1.110763,-0.222244,1.3120452,-1.1107652,-0.2222661
2020-05-18.out.1,0.0,1.3120672,-1.1107652,-0.2222808,1.3120672,-1.1107697,-0.2223323,1.3120967,-1.1107689,-0.2223544,1.3121187,-1.1107652,-0.222347,1.3120525,-1.1107638,-0.2222587,1.3120672,-1.1107652,-0.2222882,1.3120819,-1.1107652,-0.2223029,1.3120378,-1.1107689,-0.2222882,1.312104,-1.1107675,-0.222347,1.3120378,-1.1107682,-0.2222808,1.3119716,-1.1107623,-0.2221557,1.3119716,-1.1107608,-0.222141,1.3120378,-1.1107594,-0.2221999,1.3120819,-1.1107608,-0.2222587,1.3120746,-1.1107623,-0.2222734,1.3120746,-1.110763,-0.2222734,1.3120819,-1.1107652,-0.2223029,1.3120452,-1.1107652,-0.2222661,1.3115155,-1.1107505,-0.2215598,1.312001,-1.1107513,-0.2220822,1.3120231,-1.110752,-0.2221116,1.3121555,-1.1107476,-0.2222146,1.312207,-1.1107542,-0.2223323,1.3121629,-1.1107557,-0.2223029,1.3122217,-1.1107513,-0.2223176,1.3121187,-1.1107608,-0.2222955,1.3121187,-1.1107608,-0.2222955,1.3120599,-1.1107616,-0.222244,1.3120378,-1.1107557,-0.2221631,1.3120819,-1.1107535,-0.2221925,1.3120746,-1.1107616,-0.2222587,1.3120672,-1.1107594,-0.2222367
2020-05-18.out.2,0.0,1.3120378,-1.1107557,-0.2221631,1.3119863,-1.1107542,-0.2220969,1.3119422,-1.1107491,-0.2220012,1.3120378,-1.1107439,-0.2220527,1.3121849,-1.1107432,-0.2221999,1.3118465,-1.1107461,-0.2218762,1.3119201,-1.1107424,-0.2219203,1.3120157,-1.1107417,-0.2220086,1.3120672,-1.1107402,-0.2220527,1.3120967,-1.1107402,-0.2220748,1.3120893,-1.110738,-0.2220601,1.3120967,-1.1107366,-0.2220454,1.3120672,-1.1107366,-0.222016,1.3120967,-1.1107344,-0.2220233,1.3120893,-1.1107395,-0.2220675,1.3121482,-1.1107395,-0.2221337,1.3121776,-1.1107329,-0.2220969,1.3120599,-1.1107424,-0.2220675,1.3120893,-1.1107432,-0.2221042,1.3121261,-1.110738,-0.2220895,1.3121629,-1.110741,-0.2221557,1.3121114,-1.1107454,-0.2221484,1.3121408,-1.1107417,-0.2221484,1.3120672,-1.1107439,-0.2220822,1.3120599,-1.1107417,-0.2220601,1.3120599,-1.1107395,-0.222038,1.3120746,-1.1107417,-0.2220748,1.3120157,-1.110741,-0.2219939,1.3119937,-1.1107366,-0.221935,1.3118244,-1.1107255,-0.2216555,1.3119274,-1.1107211,-0.2217143,1.3118907,-1.1107115,-0.2215892
2020-05-18.out.3,0.0,1.3119495,-1.1107064,-0.2216113,1.3119863,-1.1107101,-0.2216849,1.3119789,-1.1107057,-0.2216334,1.3120893,-1.1106998,-0.2216996,1.3121334,-1.1107079,-0.2218173,1.3120378,-1.1107101,-0.2217364,1.3120304,-1.1107093,-0.2217217,1.3120525,-1.1107101,-0.2217585,1.3120746,-1.1107079,-0.2217511,1.3121114,-1.110713,-0.2218467,1.3120893,-1.1107167,-0.2218541,1.3120746,-1.1107211,-0.2218835,1.3120893,-1.1107226,-0.2219056,1.3119937,-1.1107204,-0.2217805,1.3119863,-1.1107174,-0.2217511,1.3121187,-1.110716,-0.2218762,1.3120893,-1.1107233,-0.221913,1.3120378,-1.1107196,-0.2218247,1.3119789,-1.1107138,-0.221707,1.3119863,-1.1107218,-0.2217952,1.3120231,-1.1107145,-0.2217585,1.3118907,-1.1107138,-0.2216113,1.3119937,-1.110713,-0.2217143,1.3120304,-1.1107115,-0.2217437,1.3119863,-1.110713,-0.221707,1.3119569,-1.1107093,-0.2216407,1.3119937,-1.1107064,-0.2216555,1.3120304,-1.1107049,-0.2216775,1.3120231,-1.1107064,-0.2216849,1.3120378,-1.1107093,-0.221729,1.3120157,-1.1107101,-0.2217143,1.3119201,-1.1107064,-0.2215819
2020-05-18.out.4,0.0,1.3119495,-1.1106983,-0.2215304,1.3119274,-1.1106946,-0.2214789,1.3120304,-1.1106902,-0.2215451,1.3120378,-1.1106932,-0.2215745,1.3120378,-1.1106895,-0.2215377,1.3120304,-1.1106895,-0.2215377,1.3120452,-1.1106939,-0.2215966,1.3119569,-1.1106865,-0.2214347,1.3119863,-1.1106902,-0.2214936,1.3120452,-1.1106873,-0.221523,1.3120525,-1.110688,-0.2215451,1.3121702,-1.1106762,-0.2215598,1.3119201,-1.110674,-0.2212729,1.3119127,-1.110674,-0.2212655,1.3120231,-1.110674,-0.2213832,1.3119495,-1.1106858,-0.2214127,1.3119495,-1.110688,-0.2214347,1.3118907,-1.1106924,-0.2214127,1.3120452,-1.1106932,-0.2215819,1.3120746,-1.1106939,-0.221626,1.3119642,-1.1107042,-0.221604,1.3118759,-1.1107101,-0.2215598,1.3119127,-1.1107079,-0.2215819,1.3117877,-1.1106946,-0.2213244,1.3118759,-1.1106909,-0.2213759,1.3120231,-1.1106726,-0.2213685,1.3118539,-1.1106961,-0.2214127,1.3118907,-1.1106983,-0.2214715,1.312001,-1.1106932,-0.2215304,1.3119422,-1.1106946,-0.2214862,1.3119201,-1.1106932,-0.2214495,1.3118833,-1.1106946,-0.2214274
2020-05-18.out.5,0.0,1.3119201,-1.1106983,-0.221501,1.3119716,-1.1106983,-0.2215598,1.3118907,-1.1107057,-0.2215377,1.3118686,-1.1107035,-0.2214936,1.3117509,-1.1106961,-0.221295,1.3119569,-1.1106873,-0.2214347,1.312207,-1.1106696,-0.2215304,1.3117877,-1.1106858,-0.2212435,1.3115817,-1.1106696,-0.2208683,1.3119495,-1.1106659,-0.2212288,1.3119422,-1.1106681,-0.2212435,1.3119127,-1.1106527,-0.2210595,1.3117877,-1.1106417,-0.2208168,1.3119348,-1.110638,-0.2209492,1.3120599,-1.1106461,-0.2211625,1.3120599,-1.1106497,-0.221192,1.3120599,-1.1106505,-0.2211993,1.3120157,-1.1106483,-0.2211331,1.3120599,-1.1106505,-0.2211993,1.3120746,-1.1106542,-0.2212435,1.3119569,-1.1106461,-0.2210448,1.3119569,-1.1106417,-0.2210007,1.3119201,-1.1106343,-0.2208903,1.3119274,-1.1106321,-0.220883,1.3119716,-1.1106306,-0.2209198,1.3119789,-1.1106387,-0.2210007,1.3120157,-1.1106387,-0.2210448,1.312001,-1.1106328,-0.2209713,1.3121114,-1.1106343,-0.2210963,1.3120967,-1.1106424,-0.2211625,1.3120452,-1.1106417,-0.2210963,1.3120525,-1.1106424,-0.221111
2020-05-18.out.6,0.0,1.3118024,-1.1106365,-0.2207947,1.3116994,-1.1106174,-0.2205078,1.3117509,-1.1106122,-0.2205078,1.3119054,-1.1106085,-0.2206402,1.3119716,-1.1106071,-0.220699,1.311898,-1.1106071,-0.2206181,1.3119348,-1.1106152,-0.2207358,1.3120599,-1.1106137,-0.2208609,1.3120893,-1.1106181,-0.2209271,1.3120452,-1.1106181,-0.2208756,1.3120746,-1.1106144,-0.2208683,1.3120304,-1.1106203,-0.220883,1.3120746,-1.1106233,-0.2209639,1.3121114,-1.1106247,-0.221008,1.3120893,-1.1106291,-0.2210301,1.3120452,-1.1106255,-0.2209492,1.3119937,-1.1106255,-0.2208977,1.3120452,-1.1106262,-0.2209492,1.3118171,-1.1106203,-0.2206549,1.3119054,-1.11061,-0.2206549,1.3120525,-1.11061,-0.2208094,1.3119569,-1.1106108,-0.2207138,1.3115964,-1.1105747,-0.2199928,1.3121629,-1.1105732,-0.2205813,1.3119937,-1.1105843,-0.2205004,1.3120452,-1.1105857,-0.220574,1.312104,-1.1105902,-0.2206843,1.3121187,-1.1105916,-0.2207064,1.3121482,-1.1105931,-0.2207579,1.3120378,-1.1106012,-0.2207138,1.3119789,-1.1105982,-0.2206181,1.3118759,-1.1105975,-0.2205078
2020-05-18.out.7,0.0,1.3118759,-1.1105924,-0.2204636,1.3118318,-1.1105909,-0.2203901,1.3119201,-1.1105828,-0.2204121,1.3119054,-1.1105843,-0.2204048,1.3119422,-1.110574,-0.2203459,1.3121187,-1.1105747,-0.2205519,1.3121261,-1.1105806,-0.2206034,1.3121187,-1.1105784,-0.2205813,1.3120157,-1.1105843,-0.2205298,1.3120452,-1.1105725,-0.2204563,1.3120746,-1.1105747,-0.2205078,1.3119348,-1.1105747,-0.2203606,1.3116847,-1.1105534,-0.2198898,1.3117288,-1.1105357,-0.2197647,1.311589,-1.1105195,-0.2194704,1.3119716,-1.1104952,-0.219647,1.3119569,-1.1104923,-0.2196029,1.3121261,-1.1104967,-0.2198309,1.3122364,-1.110496,-0.2199339,1.3122217,-1.1105063,-0.2200148,1.3119789,-1.1105055,-0.21975,1.3119422,-1.1105004,-0.2196691,1.3119569,-1.1104975,-0.219647,1.3120746,-1.1105092,-0.2198824,1.3121997,-1.11051,-0.2200296,1.3122217,-1.1105136,-0.2200811,1.3122659,-1.1105158,-0.2201546,1.3120599,-1.1105114,-0.2198898,1.3120452,-1.1105114,-0.2198751,1.3121702,-1.1105122,-0.2200148,1.3121849,-1.1105232,-0.2201326,1.3122364,-1.1105291,-0.2202429
2020-05-18.out.8,0.0,1.3120157,-1.1105232,-0.219956,1.3119937,-1.1105181,-0.2198824,1.3120157,-1.1105122,-0.2198603,1.3120452,-1.1105151,-0.2199045,1.3120525,-1.1105136,-0.2199045,1.3120157,-1.1105173,-0.2198971,1.3119348,-1.1105158,-0.2198015,1.3117288,-1.1105055,-0.2194778,1.3118759,-1.1105004,-0.2195955,1.3119495,-1.1104938,-0.2196029,1.3119495,-1.1104982,-0.2196544,1.3119937,-1.1104901,-0.2196249,1.3120304,-1.1104901,-0.2196617,1.3119863,-1.1104901,-0.2196176,1.3120452,-1.1104864,-0.2196396,1.3120452,-1.1104886,-0.2196617,1.3120967,-1.1104879,-0.2197059,1.3121334,-1.1104872,-0.2197353,1.3121187,-1.1104872,-0.2197279,1.3121334,-1.1104916,-0.2197794,1.3121702,-1.1104894,-0.2198015,1.3121187,-1.1104938,-0.2197868,1.3120893,-1.1104945,-0.2197647,1.3120525,-1.1104916,-0.2196911,1.3120084,-1.1104879,-0.2196176,1.3120746,-1.1104842,-0.219647,1.3119127,-1.1104695,-0.2193306,1.3120231,-1.1104577,-0.219338,1.312001,-1.1104393,-0.2191467,1.3120525,-1.1104408,-0.2192203,1.312104,-1.1104482,-0.2193454,1.3120893,-1.1104548,-0.2193895
2020-05-18.out.9,0.0,1.3121334,-1.1104658,-0.2195366,1.3121776,-1.1104702,-0.2196249,1.3120967,-1.1104813,-0.2196396,1.3120452,-1.110482,-0.2196029,1.3120304,-1.1104879,-0.2196396,1.311898,-1.1104732,-0.2193601,1.3118833,-1.1104636,-0.2192424,1.3118907,-1.1104636,-0.2192571,1.3117435,-1.110432,-0.2188009,1.3119716,-1.1104364,-0.2190879,1.3119937,-1.1104423,-0.2191688,1.3121334,-1.1104423,-0.2193233,1.3120819,-1.1104504,-0.219338,1.311898,-1.110446,-0.2191026,1.3118907,-1.1104239,-0.2188892,1.3119863,-1.110418,-0.2189334,1.3121187,-1.110432,-0.2191982,1.3120304,-1.1104349,-0.219132,1.3120231,-1.1104379,-0.2191614,1.3121114,-1.110432,-0.2192056,1.3117656,-1.1104114,-0.2186391,1.3118539,-1.1104084,-0.2187053,1.3118171,-1.1103952,-0.2185434,1.312001,-1.1103952,-0.2187347,1.3120599,-1.1103915,-0.2187642,1.3120231,-1.1103856,-0.2186685,1.3120231,-1.1103775,-0.2185876,1.3121923,-1.1103753,-0.2187494,1.3121114,-1.1103834,-0.2187421,1.3121261,-1.1103893,-0.218823,1.3121702,-1.1103945,-0.2189039,1.3121482,-1.110404,-0.2189775
