,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95
2020-12-27.out.0,12.0,1.3640926,-1.0057712,-0.3462237,1.3640643,-1.0057726,-0.3462237,1.3640502,-1.0057733,-0.3462095,1.3641421,-1.0057747,-0.3463155,1.3642198,-1.0057747,-0.3463933,1.3641633,-1.0057754,-0.3463438,1.3641633,-1.0057775,-0.346365,1.3641774,-1.0057782,-0.3463791,1.3641633,-1.0057804,-0.3463791,1.3641491,-1.0057832,-0.3464074,1.3641421,-1.0057818,-0.3463721,1.3640997,-1.0057846,-0.346365,1.3640007,-1.0057853,-0.3462731,1.3639159,-1.0057881,-0.3462095,1.3640926,-1.0057881,-0.3463933,1.3642198,-1.0057888,-0.3465275,1.3642127,-1.0057903,-0.3465275,1.3621208,-1.0059994,-0.3464286,1.3598664,-1.0062334,-0.3463862,1.3580289,-1.0064256,-0.3463791,1.3581208,-1.006427,-0.3464781,1.3581632,-1.0064277,-0.3465346,1.3581349,-1.006427,-0.3464922,1.3581491,-1.0064256,-0.3464993,1.3581067,-1.0064263,-0.3464569,1.3579795,-1.0064348,-0.3464074,1.3580925,-1.0064334,-0.3465063,1.3580784,-1.0064383,-0.3465417,1.3581349,-1.0064313,-0.3465346,1.3580007,-1.0064419,-0.3464993,1.3580289,-1.0064397,-0.3465063,1.3573152,-1.006521,-0.3465629
2020-12-27.out.1,12.0,1.3579583,-1.0064461,-0.3464993,1.3579795,-1.0064546,-0.3465982,1.3580007,-1.0064652,-0.3467325,1.3581208,-1.0064567,-0.3467608,1.3581632,-1.0064411,-0.3466618,1.3579936,-1.0064539,-0.3466124,1.3579795,-1.0064503,-0.3465629,1.3579936,-1.0064496,-0.3465699,1.3580219,-1.0064489,-0.3465982,1.3580713,-1.0064426,-0.3465841,1.3587851,-1.0063655,-0.3465629,1.3626862,-1.0059542,-0.3465629,1.3637887,-1.0058383,-0.3465629,1.364029,-1.0058185,-0.3466124,1.3640785,-1.0058171,-0.3466548,1.3640431,-1.0058214,-0.3466618,1.3640007,-1.0058221,-0.3466194,1.3640078,-1.0058228,-0.3466336,1.3640219,-1.0058214,-0.3466336,1.36393,-1.0058249,-0.346577,1.3639583,-1.0058235,-0.3465912,1.3639654,-1.0058256,-0.3466194,1.3639654,-1.0058249,-0.3466124,1.364029,-1.0058235,-0.3466689,1.3641421,-1.0058228,-0.3467678,1.364135,-1.0058221,-0.3467608,1.3640573,-1.0058235,-0.3466972,1.3640714,-1.0058235,-0.3467113,1.3640643,-1.0058235,-0.3467042,1.3640855,-1.0058249,-0.3467325,1.364029,-1.0058263,-0.3466901,1.3642198,-1.005827,-0.346888
2020-12-27.out.2,12.0,1.3642127,-1.0058277,-0.346888,1.3641845,-1.0058291,-0.3468738,1.3642339,-1.0058291,-0.3469233,1.3641774,-1.0058312,-0.346888,1.3641703,-1.0058327,-0.346895,1.3641633,-1.0058348,-0.3469021,1.3641067,-1.0058369,-0.3468668,1.3641138,-1.0058383,-0.346888,1.3640926,-1.005839,-0.3468668,1.3640714,-1.0058397,-0.3468668,1.3640219,-1.0058411,-0.3468244,1.36393,-1.0058426,-0.3467537,1.3639512,-1.005844,-0.346782,1.3639724,-1.0058418,-0.346782,1.3639724,-1.0058433,-0.3467961,1.3641562,-1.005844,-0.3469869,1.3641562,-1.005844,-0.3469869,1.3642339,-1.0058454,-0.3470717,1.3642834,-1.005844,-0.3471141,1.3642269,-1.0058461,-0.3470717,1.3641138,-1.0058482,-0.3469869,1.3640431,-1.0058496,-0.3469233,1.3641421,-1.0058496,-0.3470222,1.3642481,-1.0058503,-0.3471495,1.3644318,-1.0058517,-0.3473332,1.3643399,-1.0058539,-0.3472625,1.3642693,-1.0058567,-0.3472201,1.3642339,-1.0058567,-0.3471848,1.3641562,-1.0058602,-0.3471424,1.3641633,-1.0058609,-0.3471636,1.3641633,-1.0058638,-0.3471777,1.3640714,-1.0058652,-0.3471141
2020-12-27.out.3,12.0,1.3643046,-1.0058687,-0.3473756,1.3642481,-1.0058708,-0.3473403,1.3642269,-1.0058715,-0.3473261,1.3647145,-1.0058722,-0.3478208,1.3646368,-1.0058744,-0.3477572,1.3650537,-1.0058765,-0.3481954,1.3650467,-1.0058793,-0.3482166,1.3650255,-1.0058835,-0.3482449,1.3649548,-1.0058892,-0.3482237,1.3650184,-1.0058941,-0.3483367,1.3648276,-1.0059005,-0.3482025,1.3647781,-1.0059069,-0.3482095,1.3648982,-1.0059146,-0.3484074,1.3648417,-1.005921,-0.3484145,1.364764,-1.0059252,-0.3483721,1.3648346,-1.0059337,-0.3485205,1.3647498,-1.0059408,-0.3485134,1.364559,-1.0059606,-0.3485064,1.3637675,-1.0060397,-0.348471,1.3624671,-1.0061818,-0.3485134,1.361718,-1.0062581,-0.3484922,1.3633223,-1.0060906,-0.3484993,1.3631668,-1.006097,-0.3484074,1.3631597,-1.0061033,-0.348471,1.3631385,-1.0061069,-0.348471,1.3631314,-1.0061118,-0.3485205,1.3632092,-1.0061153,-0.3486265,1.3632021,-1.0061217,-0.348676,1.3631668,-1.006126,-0.348683,1.3631032,-1.0061274,-0.3486336,1.3632233,-1.0061267,-0.3487466,1.3631314,-1.0061337,-0.3487254
2020-12-27.out.4,12.0,1.3630396,-1.0061373,-0.3486689,1.3630042,-1.0061387,-0.3486406,1.3630254,-1.0061366,-0.3486477,1.3630396,-1.0061422,-0.3487042,1.3630254,-1.0061443,-0.3487113,1.3630466,-1.0061457,-0.3487537,1.3630042,-1.00615,-0.3487396,1.36287,-1.0061549,-0.3486618,1.3628912,-1.0061535,-0.348676,1.3628134,-1.0061549,-0.3486053,1.3638028,-1.0060468,-0.34857,1.3639088,-1.0060376,-0.3485841,1.36393,-1.0060355,-0.3485912,1.3620855,-1.0062327,-0.3486124,1.3624954,-1.0061931,-0.3486548,1.3613859,-1.0063118,-0.3486618,1.3580713,-1.0066567,-0.3486265,1.3579936,-1.0066623,-0.3486053,1.3579512,-1.0066722,-0.3486548,1.358142,-1.0066722,-0.3488456,1.3583258,-1.0066652,-0.3489657,1.3583046,-1.0066687,-0.3489728,1.3582339,-1.0066758,-0.3489728,1.3582763,-1.0066737,-0.3490011,1.3581632,-1.0066751,-0.3488951,1.3579088,-1.0066864,-0.3487466,1.3625307,-1.0061994,-0.3487466,1.3636968,-1.0060532,-0.3485205,1.3636332,-1.0060602,-0.3485276,1.3613647,-1.0063189,-0.3487042,1.3581773,-1.006651,-0.348676,1.3579936,-1.0066616,-0.3485982
2020-12-27.out.5,12.0,1.3578452,-1.0066772,-0.3485982,1.3577957,-1.0066772,-0.3485417,1.3579371,-1.0066581,-0.3485064,1.3632021,-1.0061047,-0.3485205,1.3637322,-1.0060482,-0.3485064,1.3637251,-1.0060468,-0.3484852,1.3637746,-1.0060447,-0.3485205,1.3637958,-1.0060447,-0.3485417,1.3637604,-1.0060411,-0.348464,1.3637534,-1.0060404,-0.3484569,1.3636968,-1.0060419,-0.3484145,1.3637251,-1.006039,-0.3484145,1.3637958,-1.0060376,-0.348471,1.363817,-1.0060341,-0.3484569,1.3638523,-1.0060355,-0.3485134,1.36393,-1.0060334,-0.34857,1.3638311,-1.0060334,-0.348464,1.3638099,-1.0060334,-0.3484498,1.3638523,-1.0060327,-0.3484852,1.3641986,-1.0060305,-0.3488102,1.3643611,-1.0060298,-0.3489657,1.3645802,-1.0060291,-0.3491777,1.3645449,-1.0060298,-0.3491565,1.3646226,-1.0060305,-0.3492343,1.3646368,-1.0060341,-0.3492908,1.3647145,-1.0060383,-0.3494039,1.3646933,-1.0060404,-0.3494039,1.3646085,-1.0060447,-0.3493544,1.3645025,-1.0060489,-0.3492908,1.3644035,-1.0060532,-0.3492343,1.3644247,-1.0060574,-0.3492908,1.3644106,-1.0060623,-0.3493262
2020-12-27.out.6,12.0,1.3644318,-1.0060687,-0.349411,1.3643965,-1.0060715,-0.3493968,1.3643541,-1.0060758,-0.3493968,1.3640785,-1.0061033,-0.3493827,1.3587215,-1.006692,-0.349623,1.3585872,-1.0067055,-0.3496088,1.3585024,-1.0067097,-0.3495664,1.3587357,-1.0066956,-0.3496654,1.3586721,-1.006704,-0.3496866,1.3585236,-1.0067139,-0.34963,1.3584035,-1.0067168,-0.3495452,1.3585307,-1.0067118,-0.3496088,1.3634777,-1.0061853,-0.3495664,1.3638947,-1.0061401,-0.3495452,1.3633081,-1.0062143,-0.3496724,1.362241,-1.0063252,-0.3496583,1.3622551,-1.0063231,-0.3496512,1.3621562,-1.0063401,-0.3497078,1.362142,-1.0063401,-0.3496936,1.3601138,-1.00655,-0.3496583,1.3581349,-1.006762,-0.3497007,1.3582127,-1.0067563,-0.3497219,1.3584176,-1.0067507,-0.3498774,1.3583752,-1.0067542,-0.3498633,1.3583752,-1.0067521,-0.3498421,1.3582056,-1.0067599,-0.3497502,1.3582127,-1.0067606,-0.3497643,1.3582551,-1.0067556,-0.3497573,1.358248,-1.0067535,-0.349729,1.3581915,-1.0067578,-0.3497148,1.3581986,-1.0067719,-0.3498491,1.36193,-1.0063924,-0.3499834
2020-12-27.out.7,12.0,1.3624318,-1.0063337,-0.3499269,1.3634919,-1.0062334,-0.3500399,1.3634848,-1.0062397,-0.3500965,1.3642481,-1.0061627,-0.3501247,1.3643894,-1.00615,-0.3501389,1.3643753,-1.0061535,-0.3501671,1.3643753,-1.0061535,-0.3501601,1.364347,-1.0061563,-0.3501601,1.3642763,-1.0061578,-0.3501106,1.3642551,-1.0061606,-0.3501106,1.3642834,-1.0061599,-0.3501318,1.3643611,-1.0061599,-0.3502025,1.3643541,-1.0061641,-0.3502378,1.3643187,-1.0061669,-0.3502378,1.3642975,-1.0061676,-0.3502237,1.3643329,-1.0061698,-0.3502732,1.3642905,-1.0061733,-0.350259,1.3641915,-1.0061768,-0.3502025,1.3641774,-1.006179,-0.3502096,1.3641845,-1.0061797,-0.3502166,1.3642127,-1.0061804,-0.350252,1.3642269,-1.0061825,-0.3502873,1.364241,-1.0061846,-0.3503226,1.3643187,-1.0061867,-0.3504216,1.3644177,-1.0061903,-0.3505488,1.3644318,-1.006191,-0.35057,1.3643965,-1.0061931,-0.35057,1.3643682,-1.0061952,-0.3505488,1.3643611,-1.0061973,-0.35057,1.3642834,-1.0062016,-0.3505276,1.364241,-1.0062044,-0.3505134,1.3642269,-1.0062037,-0.3504922
2020-12-27.out.8,12.0,1.3641703,-1.0062065,-0.350464,1.3641209,-1.00621,-0.3504428,1.3640997,-1.00621,-0.3504286,1.3641562,-1.0062136,-0.3505134,1.3642622,-1.0062143,-0.3506265,1.3642551,-1.0062143,-0.3506194,1.3641986,-1.0062164,-0.3505912,1.3641774,-1.0062185,-0.3505912,1.3641209,-1.0062207,-0.3505488,1.3641279,-1.0062221,-0.35057,1.3640573,-1.0062249,-0.3505276,1.3640502,-1.0062263,-0.3505346,1.3640148,-1.006227,-0.3505064,1.3639795,-1.0062284,-0.3504781,1.3639936,-1.0062298,-0.3504993,1.3640078,-1.0062305,-0.3505276,1.3639866,-1.0062298,-0.3504922,1.3639724,-1.0062313,-0.3505064,1.3639795,-1.0062313,-0.3505134,1.3639512,-1.0062313,-0.3504781,1.3640078,-1.0062327,-0.3505488,1.3640431,-1.0062313,-0.35057,1.3640431,-1.0062305,-0.3505629,1.364029,-1.0062305,-0.3505488,1.3640219,-1.0062298,-0.3505276,1.3640502,-1.0062313,-0.350577,1.3640926,-1.0062313,-0.3506194,1.3640855,-1.0062341,-0.3506336,1.3640573,-1.0062341,-0.3506124,1.3640573,-1.0062327,-0.3505982,1.3640502,-1.0062341,-0.3506053,1.364036,-1.0062355,-0.3505982
2020-12-27.out.9,12.0,1.3640148,-1.0062369,-0.3505912,1.3640431,-1.0062355,-0.3506124,1.364036,-1.0062369,-0.3506194,1.364036,-1.006239,-0.3506406,1.3640078,-1.006239,-0.3506124,1.3640007,-1.0062404,-0.3506194,1.3640007,-1.0062426,-0.3506406,1.3640148,-1.0062411,-0.3506336,1.3640431,-1.0062426,-0.350676,1.3640714,-1.0062433,-0.3507184,1.3641986,-1.0062411,-0.3508244,1.3641279,-1.0062433,-0.3507679,1.3640926,-1.0062447,-0.3507467,1.3640997,-1.0062433,-0.3507467,1.3640997,-1.0062454,-0.3507608,1.3641209,-1.0062454,-0.3507891,1.3641703,-1.0062468,-0.3508456,1.3641986,-1.0062475,-0.3508809,1.3641774,-1.0062468,-0.3508527,1.3641562,-1.0062503,-0.3508597,1.364135,-1.0062517,-0.3508597,1.364135,-1.0062532,-0.3508668,1.3641562,-1.0062532,-0.3508951,1.3641703,-1.006251,-0.350888,1.364135,-1.0062546,-0.3508809,1.3640855,-1.0062553,-0.3508456,1.3640714,-1.0062581,-0.3508597,1.3640573,-1.0062581,-0.3508456,1.3637392,-1.0062906,-0.3508315,1.363506,-1.0063118,-0.3507961,1.3635131,-1.0063146,-0.3508315,1.3631739,-1.0063542,-0.3508668
2020-12-27.out.10,12.0,1.3608629,-1.0065938,-0.3508385,1.3580784,-1.006885,-0.3508173,1.3581349,-1.0068878,-0.3508951,1.3581137,-1.0068998,-0.350994,1.3583187,-1.0068765,-0.3509799,1.3593646,-1.0067563,-0.3508809,1.3617604,-1.0065055,-0.3509021,1.3622551,-1.0064532,-0.3508951,1.3638664,-1.0062779,-0.3508456,1.3640078,-1.0062623,-0.3508385,1.3639371,-1.0062659,-0.3507891,1.363923,-1.0062659,-0.3507749,1.3638876,-1.0062645,-0.3507325,1.3638594,-1.0062659,-0.3507113,1.363923,-1.0062659,-0.350782,1.36393,-1.0062659,-0.350782,1.3639583,-1.0062645,-0.3508032,1.3639583,-1.0062638,-0.3507891,1.3640148,-1.0062638,-0.3508527,1.3641986,-1.0062638,-0.3510364,1.3642339,-1.0062645,-0.3510788,1.3641986,-1.0062645,-0.3510505,1.3642127,-1.0062666,-0.3510788,1.3642481,-1.0062659,-0.3511142,1.3642481,-1.006268,-0.3511212,1.3642127,-1.0062701,-0.3511142,1.3641986,-1.0062708,-0.3511071,1.3641491,-1.0062722,-0.3510717,1.3641491,-1.0062722,-0.3510717,1.364135,-1.0062744,-0.3510717,1.3641209,-1.0062758,-0.3510717,1.3641703,-1.0062765,-0.3511354
2020-12-27.out.11,12.0,1.3646014,-1.0062758,-0.3515594,1.3646085,-1.0062786,-0.3515877,1.3646014,-1.00628,-0.3515947,1.364559,-1.0062835,-0.3515806,1.3645096,-1.0062857,-0.3515594,1.364453,-1.0062885,-0.3515311,1.364347,-1.0062899,-0.3514392,1.3643611,-1.0062949,-0.3514887,1.3643399,-1.006297,-0.3514958,1.3643611,-1.0063012,-0.3515523,1.3645449,-1.0063033,-0.3517643,1.3645025,-1.0063055,-0.3517361,1.3646368,-1.0063083,-0.3518986,1.3646792,-1.0063104,-0.3519622,1.3646014,-1.0063139,-0.3519127,1.3646297,-1.0063182,-0.3519905,1.3646509,-1.0063224,-0.352047,1.3645237,-1.006326,-0.3519622,1.3647922,-1.0063288,-0.352252,1.3649124,-1.0063316,-0.3524004,1.3648841,-1.0063351,-0.3524074,1.3647993,-1.0063394,-0.352358,1.3647216,-1.0063443,-0.3523297,1.3646438,-1.00635,-0.3523085,1.364559,-1.0063542,-0.3522661,1.3645308,-1.0063578,-0.3522661,1.3643541,-1.006362,-0.3521248,1.3643046,-1.006362,-0.3520753,1.3642763,-1.0063691,-0.3521177,1.3643399,-1.0063726,-0.3522096,1.3646085,-1.0063754,-0.3525135,1.3646792,-1.0063782,-0.3526124
2020-12-27.out.12,12.0,1.3647922,-1.006379,-0.3527325,1.3646509,-1.0063853,-0.3526477,1.3648841,-1.0063874,-0.3529092,1.3649265,-1.0063903,-0.3529728,1.3648841,-1.0063959,-0.352987,1.3649336,-1.0064016,-0.353093,1.3648064,-1.0064065,-0.3530082,1.3648841,-1.0064115,-0.3531354,1.3649194,-1.0064171,-0.3532272,1.3649548,-1.0064235,-0.3533191,1.3648912,-1.0064284,-0.353305,1.3647993,-1.0064341,-0.3532696,1.3646014,-1.0064404,-0.3531354,1.3645449,-1.0064461,-0.3531212,1.3645166,-1.0064525,-0.3531566,1.3645096,-1.0064553,-0.3531778,1.364453,-1.0064595,-0.3531566,1.3644389,-1.0064631,-0.3531778,1.3643894,-1.0064673,-0.3531707,1.3643187,-1.0064701,-0.3531283,1.3642693,-1.0064758,-0.3531354,1.3643046,-1.0064758,-0.3531636,1.3642198,-1.0064836,-0.3531566,1.3641421,-1.0064864,-0.3531,1.3641138,-1.0064857,-0.3530647,1.3641421,-1.0064878,-0.3531142,1.3641986,-1.0064899,-0.353199,1.3645802,-1.006492,-0.3535947,1.364658,-1.0064956,-0.3537078,1.3646792,-1.0064963,-0.3537361,1.3647145,-1.0064963,-0.3537714,1.3645237,-1.0065012,-0.3536301
