,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-11-29.out.0,0.0,-0.7617345,-0.7614029,-0.7573807,-0.7568327,-0.7546266,-0.7521068,-0.7528844,-0.7523668,-0.7531959,-0.7561258,-0.759048,-0.7574243,-0.7634018,-0.7616831,-0.7615283,-0.7639336,-0.7618506,-0.7634261,-0.7608861,-0.7655068,-0.7637545,-0.7661287,-0.7631155,-0.772844,-0.7708342,-0.7662945,-0.7642106,-0.7597893,-0.7552807,-0.756214,-0.7545568,-0.7549531
2020-11-29.out.1,0.0,-0.7528591,-0.7514408,-0.7537286,-0.7534305,-0.7523851,-0.7569731,-0.7553587,-0.7604667,-0.7649417,-0.7669204,-0.771281,-0.7729179,-0.7742108,-0.7744708,-0.7739532,-0.7769368,-0.7868408,-0.7960511,-0.7977596,-0.8008574,-0.8001335,-0.801926,-0.8040602,-0.8038205,-0.8050448,-0.8039458,-0.7969742,-0.7981114,-0.7983511,-0.7975735,-0.7987847,-0.8000393
2020-11-29.out.2,0.0,-0.8012403,-0.80865,-0.8091241,-0.8097055,-0.8109165,-0.8120155,-0.8109165,-0.8084508,-0.805975,-0.8089482,-0.8122117,-0.8116941,-0.8135784,-0.813703,-0.8132874,-0.813629,-0.8118568,-0.8148199,-0.8169773,-0.8184895,-0.8184794,-0.8178366,-0.8179081,-0.8177221,-0.8165313,-0.8153405,-0.8139839,-0.8140018,-0.8152152,-0.8141902,-0.815929,-0.8167065
2020-11-29.out.3,0.0,-0.81714,-0.8178436,-0.819552,-0.8187029,-0.8189426,-0.8115455,-0.8126445,-0.8128204,-0.8123028,-0.8136594,-0.8158854,-0.816301,-0.8167345,-0.8173362,-0.8190344,-0.8206743,-0.8202688,-0.8213576,-0.8212121,-0.820363,-0.8210362,-0.8200314,-0.8192742,-0.8192002,-0.8198657,-0.8190344,-0.8194602,-0.8202992,-0.8202992,-0.8205592,-0.8203934,-0.8189629
2020-11-29.out.4,0.0,-0.8179378,-0.8169229,-0.8170046,-0.8159158,-0.8152122,-0.8138556,-0.8146845,-0.8131317,-0.8102504,-0.8078687,-0.8073713,-0.8055049,-0.8050916,-0.8069355,-0.8056504,-0.8074328,-0.8079403,-0.8071012,-0.8065938,-0.8060661,-0.8046254,-0.804026,-0.8032687,-0.8022538,-0.8015805,-0.8014248,-0.8006986,-0.8001094,-0.798327,-0.7965142,-0.7947318,-0.794826
2020-11-29.out.5,0.0,-0.7938422,-0.7974171,-0.7978203,-0.8035294,-0.8038408,-0.8043584,-0.8040602,-0.8034383,-0.8038539,-0.8014699,-0.8016458,-0.8011687,-0.8011586,-0.8014902,-0.7996875,-0.7989738,-0.7985814,-0.7973268,-0.7944477,-0.7947792,-0.7979487,-0.7955848,-0.7926217,-0.791265,-0.7922395,-0.7948508,-0.7963655,-0.7909777,-0.7954424,-0.7888738,-0.7865637,-0.7846894
2020-11-29.out.6,0.0,-0.7839523,-0.7876495,-0.7904571,-0.7898554,-0.7900951,-0.7927368,-0.7944679,-0.7948197,-0.7937308,-0.7924458,-0.7915763,-0.7904057,-0.7899083,-0.7896686,-0.7898141,-0.7899799,-0.7898141,-0.789049,-0.7888427,-0.7885929,-0.7907808,-0.7936903,-0.7940219,-0.789432,-0.7920737,-0.7940725,-0.7945901,-0.7944142,-0.7922699,-0.7927672,-0.7913366,-0.7921041
2020-11-29.out.7,0.0,-0.793741,-0.7932233,-0.7937308,-0.7936468,-0.793379,-0.7926217,-0.7958752,-0.7954292,-0.7924761,-0.7927361,-0.7912954,-0.7909334,-0.7937612,-0.7945489,-0.793098,-0.7911296,-0.7918231,-0.7925065,-0.7929937,-0.7912954,-0.7885797,-0.7876285,-0.7877001,-0.7882917,-0.7891712,-0.7879803,-0.788322,-0.7866112,-0.785846,-0.7841274,-0.7835358,-0.7834113
2020-11-29.out.8,0.0,-0.781435,-0.7799102,-0.776771,-0.7729179,-0.7733951,-0.7727016,-0.7728674,-0.7731351,-0.7721302,-0.7717986,-0.7682336,-0.7696845,-0.7697584,-0.7697787,-0.7693428,-0.7686897,-0.7697047,-0.7692073,-0.7704823,-0.7716834,-0.7632097,-0.7665452,-0.7611057,-0.7628781,-0.7685239,-0.7718188,-0.7713954,-0.7710412,-0.7683075,-0.771207,-0.7703477,-0.7682336
2020-11-29.out.9,0.0,-0.7668768,-0.7660478,-0.7654695,-0.7645463,-0.7668667,-0.7717348,-0.7737033,-0.7718492,-0.770824,-0.76526,-0.7677361,-0.7726782,-0.7748328,-0.7746569,-0.7731444,-0.7724711,-0.7723769,-0.7778264,-0.7799709,-0.7781884,-0.7777548,-0.7787496,-0.7774645,-0.7738715,-0.7782016,-0.778418,-0.7796805,-0.7793925,-0.7803873,-0.7820779,-0.7844598,-0.7855689
