,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95
2020-03-08.out.0,0.0,1.3623137,-1.0082325,-0.3601801,1.3622786,-1.0082339,-0.3601521,1.3622996,-1.0082325,-0.3601591,1.3616959,-1.008295,-0.3601521,1.3622716,-1.0082346,-0.3601521,1.3622505,-1.0082346,-0.360124,1.3622435,-1.0082353,-0.360131,1.3622505,-1.0082367,-0.3601521,1.3622645,-1.008236,-0.3601591,1.3622786,-1.0082332,-0.360145,1.3622435,-1.0082346,-0.360124,1.3622716,-1.0082332,-0.360145,1.3622365,-1.0082353,-0.360131,1.3623067,-1.0082311,-0.3601591,1.3622645,-1.0082353,-0.3601521,1.3622505,-1.0082346,-0.360131,1.3622645,-1.0082325,-0.360124,1.3623137,-1.008229,-0.360138,1.3622224,-1.0082346,-0.3600959,1.3622505,-1.0082283,-0.3600678,1.3622996,-1.0082248,-0.3600889,1.3623418,-1.0082241,-0.360124,1.3622716,-1.0082311,-0.360124,1.3622786,-1.0082304,-0.360124,1.3622224,-1.0082332,-0.3600959,1.3621873,-1.0082374,-0.3601029,1.3622014,-1.0082332,-0.3600748,1.3622575,-1.0082332,-0.360131,1.3622435,-1.0082332,-0.360117,1.3622294,-1.0082332,-0.3600959,1.3622575,-1.0082346,-0.360131,1.3622505,-1.0082332,-0.360124
2020-03-08.out.1,0.0,1.3622224,-1.0082346,-0.3601029,1.3622365,-1.0082346,-0.360117,1.3622014,-1.0082367,-0.3601029,1.3622084,-1.0082367,-0.3601029,1.3622154,-1.0082346,-0.3600889,1.3622365,-1.0082325,-0.3600959,1.3622084,-1.0082353,-0.3600959,1.3622365,-1.0082325,-0.3600959,1.3621943,-1.0082346,-0.3600819,1.3622365,-1.0082325,-0.3600959,1.3622224,-1.0082311,-0.3600678,1.3622154,-1.0082325,-0.3600748,1.3622084,-1.0082325,-0.3600678,1.3621943,-1.0082346,-0.3600748,1.3622224,-1.0082332,-0.3600889,1.3622294,-1.0082283,-0.3600468,1.3621943,-1.0082311,-0.3600468,1.3621873,-1.0082311,-0.3600327,1.3621943,-1.0082325,-0.3600538,1.3621803,-1.0082332,-0.3600468,1.3621452,-1.0082346,-0.3600187,1.3622014,-1.0082325,-0.3600608,1.3621522,-1.0082332,-0.3600187,1.3621803,-1.0082325,-0.3600397,1.3621662,-1.0082346,-0.3600468,1.3621662,-1.0082332,-0.3600397,1.3621592,-1.0082304,-0.3599976,1.3621873,-1.0082304,-0.3600257,1.3621241,-1.0082311,-0.3599695,1.3622014,-1.0082283,-0.3600187,1.3621943,-1.0082269,-0.3600117,1.3621662,-1.0082269,-0.3599836
2020-03-08.out.2,0.0,1.3622224,-1.0082227,-0.3599906,1.3622294,-1.0082227,-0.3599976,1.3622294,-1.0082241,-0.3600117,1.3621803,-1.0082297,-0.3600117,1.3621803,-1.0082297,-0.3600117,1.3622154,-1.0082248,-0.3600046,1.3621662,-1.0082297,-0.3599976,1.3621733,-1.0082304,-0.3600117,1.3621382,-1.0082325,-0.3599976,1.3621382,-1.0082332,-0.3600117,1.3621031,-1.0082332,-0.3599695,1.3621382,-1.0082325,-0.3599976,1.3621031,-1.0082332,-0.3599695,1.3621592,-1.0082283,-0.3599836,1.3621733,-1.0082255,-0.3599695,1.3621522,-1.008229,-0.3599836,1.3621101,-1.0082325,-0.3599695,1.3621241,-1.0082304,-0.3599695,1.3621382,-1.0082304,-0.3599765,1.3621522,-1.008229,-0.3599765,1.3621733,-1.008229,-0.3599976,1.3622084,-1.0082269,-0.3600187,1.3621803,-1.0082311,-0.3600327,1.3621382,-1.0082311,-0.3599906,1.3621803,-1.008229,-0.3600117,1.3621101,-1.0082346,-0.3599906,1.3621101,-1.0082346,-0.3599906,1.3621311,-1.0082325,-0.3599906,1.3621592,-1.008229,-0.3599836,1.3621101,-1.0082325,-0.3599695,1.3621452,-1.0082297,-0.3599836,1.3621873,-1.0082297,-0.3600187
2020-03-08.out.3,0.0,1.3621382,-1.0082311,-0.3599906,1.3621241,-1.0082311,-0.3599765,1.3621171,-1.0082311,-0.3599695,1.362096,-1.0082283,-0.3599204,1.3621803,-1.0082269,-0.3599906,1.3621382,-1.0082283,-0.3599555,1.3621452,-1.0082304,-0.3599836,1.3621382,-1.0082304,-0.3599765,1.3621873,-1.0082283,-0.3600046,1.3621662,-1.0082283,-0.3599906,1.3622084,-1.0082255,-0.3600046,1.3621592,-1.008229,-0.3599906,1.3621241,-1.0082304,-0.3599625,1.3621522,-1.0082269,-0.3599625,1.3621452,-1.0082283,-0.3599625,1.3621452,-1.0082255,-0.3599414,1.3621592,-1.0082269,-0.3599695,1.3621382,-1.0082269,-0.3599485,1.3621592,-1.0082304,-0.3599976,1.3621311,-1.0082283,-0.3599555,1.3621101,-1.0082332,-0.3599836,1.3621311,-1.008229,-0.3599625,1.3621311,-1.008229,-0.3599625,1.3621311,-1.0082283,-0.3599555,1.3621031,-1.0082332,-0.3599695,1.3621101,-1.008229,-0.3599414,1.362096,-1.008229,-0.3599274,1.3621101,-1.0082283,-0.3599274,1.3621382,-1.0082248,-0.3599274,1.3621382,-1.0082255,-0.3599344,1.3621662,-1.0082234,-0.3599485,1.3621662,-1.0082248,-0.3599555
2020-03-08.out.4,0.0,1.3621241,-1.0082283,-0.3599414,1.3621733,-1.0082269,-0.3599836,1.3621171,-1.0082283,-0.3599344,1.3621733,-1.0082206,-0.3599274,1.3621452,-1.0082269,-0.3599485,1.3621452,-1.0082269,-0.3599555,1.3621031,-1.008229,-0.3599344,1.362068,-1.008229,-0.3598993,1.3621311,-1.0082255,-0.3599274,1.3621171,-1.0082269,-0.3599274,1.3621452,-1.0082227,-0.3599134,1.3621031,-1.0082283,-0.3599204,1.362089,-1.008229,-0.3599204,1.362096,-1.008229,-0.3599204,1.362068,-1.0082311,-0.3599204,1.362075,-1.0082325,-0.3599344,1.3620609,-1.0082311,-0.3599134,1.3620188,-1.0082325,-0.3598783,1.3620539,-1.0082297,-0.3598853,1.3620469,-1.0082311,-0.3598993,1.362096,-1.0082297,-0.3599274,1.3620258,-1.0082325,-0.3598923,1.3620188,-1.0082311,-0.3598712,1.362075,-1.0082304,-0.3599134,1.362089,-1.0082269,-0.3598993,1.3620469,-1.0082283,-0.3598642,1.3620399,-1.0082311,-0.3598923,1.3620399,-1.0082311,-0.3598923,1.362089,-1.0082283,-0.3599063,1.362068,-1.0082304,-0.3599134,1.3620469,-1.0082325,-0.3599063,1.3620118,-1.0082311,-0.3598642
2020-03-08.out.5,0.0,1.3620258,-1.0082311,-0.3598783,1.3620539,-1.008229,-0.3598853,1.3620609,-1.0082283,-0.3598783,1.3620609,-1.0082311,-0.3599134,1.3620258,-1.0082304,-0.3598642,1.3620609,-1.0082304,-0.3598993,1.3620469,-1.0082304,-0.3598923,1.3620188,-1.0082304,-0.3598642,1.3620399,-1.008229,-0.3598712,1.3620609,-1.0082269,-0.3598712,1.3620469,-1.008229,-0.3598783,1.362075,-1.0082255,-0.3598783,1.3619907,-1.0082255,-0.359787,1.3620048,-1.0082262,-0.3598081,1.362075,-1.0082248,-0.3598642,1.362096,-1.0082213,-0.3598502,1.3621101,-1.0082227,-0.3598853,1.3620539,-1.0082241,-0.3598361,1.3620469,-1.0082255,-0.3598432,1.3619978,-1.0082269,-0.359801,1.3619556,-1.0082283,-0.35978,1.3619907,-1.0082297,-0.3598221,1.3620399,-1.0082283,-0.3598572,1.3619907,-1.0082311,-0.3598432,1.3619767,-1.0082325,-0.3598361,1.3620258,-1.0082304,-0.3598642,1.3620258,-1.0082262,-0.3598291,1.3620188,-1.0082262,-0.3598221,1.3619907,-1.0082269,-0.359801,1.362068,-1.0082234,-0.3598432,1.3620258,-1.0082283,-0.3598502,1.3620399,-1.0082283,-0.3598572
2020-03-08.out.6,0.0,1.3620118,-1.0082311,-0.3598572,1.3620048,-1.0082304,-0.3598432,1.3619907,-1.008229,-0.3598151,1.3620118,-1.008229,-0.3598432,1.3620048,-1.008229,-0.3598361,1.3620609,-1.0082234,-0.3598361,1.3619697,-1.008229,-0.359801,1.362068,-1.008222,-0.3598291,1.3620469,-1.0082262,-0.3598432,1.3620329,-1.0082297,-0.3598642,1.3619767,-1.0082283,-0.359801,1.3620399,-1.0082262,-0.3598432,1.3620399,-1.0082234,-0.3598221,1.3620118,-1.0082255,-0.3598151,1.3620329,-1.0082283,-0.3598572,1.3620539,-1.0082248,-0.3598432,1.3620399,-1.0082234,-0.3598151,1.3619907,-1.0082248,-0.35978,1.3620118,-1.0082227,-0.35978,1.3620258,-1.0082248,-0.3598151,1.3620399,-1.0082248,-0.3598291,1.3620048,-1.0082269,-0.3598151,1.3619767,-1.0082262,-0.35978,1.3620258,-1.0082262,-0.3598291,1.3619978,-1.0082269,-0.3598081,1.3619486,-1.0082283,-0.359773,1.3620469,-1.0082227,-0.3598221,1.3620118,-1.0082248,-0.3598081,1.3620258,-1.0082234,-0.3598081,1.3620329,-1.0082234,-0.3598151,1.3620258,-1.0082227,-0.359794,1.3620048,-1.0082248,-0.359787
2020-03-08.out.7,0.0,1.3620048,-1.0082248,-0.359794,1.3620469,-1.0082206,-0.359794,1.3619978,-1.0082234,-0.35978,1.3620258,-1.0082213,-0.35978,1.3620609,-1.0082192,-0.359801,1.3619978,-1.0082248,-0.359787,1.3619697,-1.0082255,-0.3597659,1.3620188,-1.0082227,-0.359787,1.3620188,-1.0082234,-0.359801,1.3620048,-1.0082227,-0.359773,1.3620329,-1.0082234,-0.3598151,1.3620329,-1.0082213,-0.359794,1.3620188,-1.0082241,-0.359801,1.3620329,-1.0082213,-0.359787,1.3620469,-1.0082206,-0.359794,1.3620609,-1.0082213,-0.3598221,1.3620539,-1.0082213,-0.3598151,1.3620258,-1.0082234,-0.3598081,1.3620399,-1.0082248,-0.3598291,1.3619837,-1.0082255,-0.359787,1.362075,-1.0082248,-0.3598642,1.3620539,-1.0082227,-0.3598291,1.3620469,-1.0082262,-0.3598432,1.3620469,-1.0082234,-0.3598291,1.3620609,-1.0082227,-0.3598291,1.3620188,-1.0082227,-0.359787,1.3620329,-1.0082234,-0.3598151,1.3620118,-1.0082199,-0.3597519,1.362068,-1.0082227,-0.3598432,1.3620329,-1.0082269,-0.3598432,1.3620539,-1.0082248,-0.3598432,1.3620469,-1.0082248,-0.3598432
2020-03-08.out.8,0.0,1.362089,-1.0082213,-0.3598502,1.3620539,-1.0082227,-0.3598221,1.3620258,-1.0082227,-0.359794,1.3619697,-1.0082248,-0.3597589,1.3620188,-1.0082227,-0.359787,1.3620048,-1.0082227,-0.359773,1.3620399,-1.0082227,-0.3598151,1.3620048,-1.0082248,-0.359794,1.3619978,-1.0082234,-0.35978,1.3620118,-1.0082234,-0.359787,1.3619978,-1.0082227,-0.3597659,1.3620258,-1.0082227,-0.359794,1.3620329,-1.0082234,-0.3598151,1.3620258,-1.0082192,-0.3597659,1.3620539,-1.0082206,-0.359801,1.3620258,-1.0082213,-0.359787,1.3620048,-1.0082227,-0.359773,1.3620188,-1.0082213,-0.35978,1.3620399,-1.0082192,-0.359773,1.3619978,-1.0082227,-0.3597659,1.3619837,-1.0082213,-0.3597449,1.3619627,-1.0082241,-0.3597449,1.3619837,-1.0082234,-0.3597589,1.3619627,-1.0082269,-0.3597659,1.3619837,-1.0082227,-0.3597519,1.3619627,-1.0082241,-0.3597449,1.3619627,-1.0082241,-0.3597379,1.3619697,-1.0082206,-0.3597238,1.3619556,-1.0082227,-0.3597308,1.3619276,-1.0082227,-0.3596957,1.3619697,-1.0082206,-0.3597168,1.3619697,-1.008222,-0.3597308
2020-03-08.out.9,0.0,1.3619486,-1.008222,-0.3597098,1.3619767,-1.0082199,-0.3597168,1.3619486,-1.0082206,-0.3597028,1.3619416,-1.0082206,-0.3596887,1.3619627,-1.0082199,-0.3597028,1.3619486,-1.008222,-0.3597098,1.3619346,-1.0082206,-0.3596817,1.3620329,-1.0082143,-0.3597238,1.3619837,-1.0082185,-0.3597098,1.3619556,-1.0082206,-0.3597028,1.3619416,-1.008222,-0.3596957,1.3618714,-1.008222,-0.3596325,1.3619978,-1.0082171,-0.3597168,1.3619978,-1.0082164,-0.3597028,1.3619416,-1.0082206,-0.3596957,1.3619135,-1.0082206,-0.3596606,1.3618012,-1.0082206,-0.3595553,1.3619276,-1.0082199,-0.3596676,1.3619767,-1.0082178,-0.3596957,1.3619907,-1.008215,-0.3596887,1.3619907,-1.0082128,-0.3596676,1.3620048,-1.0082178,-0.3597238,1.3619978,-1.008215,-0.3596957,1.3619556,-1.0082185,-0.3596817,1.3620188,-1.0082171,-0.3597379,1.3619837,-1.0082206,-0.3597308,1.3619556,-1.0082206,-0.3597098,1.3619837,-1.0082192,-0.3597238,1.3619697,-1.0082185,-0.3596957,1.3619837,-1.0082128,-0.3596606,1.3620329,-1.0082128,-0.3597098,1.3620118,-1.0082128,-0.3596887
