,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95
2020-05-05.out.10,8.0,1.3606975,-1.013651,-0.3438202,1.360733,-1.0136474,-0.3438202,1.3606905,-1.0136467,-0.3437706,1.3607117,-1.0136467,-0.3437847,1.3606621,-1.013646,-0.3437352,1.3606763,-1.0136467,-0.3437564,1.3605913,-1.0136545,-0.3437423,1.3605276,-1.0136552,-0.3436856,1.3605842,-1.0136538,-0.3437352,1.3605488,-1.0136616,-0.3437706,1.3606197,-1.013651,-0.3437423,1.3606621,-1.0136531,-0.343806,1.3605913,-1.0136595,-0.3437918,1.3605559,-1.0136616,-0.3437777,1.3605488,-1.0136637,-0.3437918,1.3606267,-1.0136574,-0.343806,1.3606338,-1.0136574,-0.3438131,1.3605488,-1.0136659,-0.3438131,1.3605772,-1.0136659,-0.3438414,1.3606055,-1.0136609,-0.3438131,1.360563,-1.0136651,-0.3438131,1.3605205,-1.0136673,-0.3437918,1.3605772,-1.0136651,-0.3438272,1.3605064,-1.0136694,-0.3437989,1.3604993,-1.0136673,-0.3437706,1.3604426,-1.0136651,-0.3436927,1.3604497,-1.0136694,-0.3437423,1.3604497,-1.013668,-0.3437281,1.3604497,-1.0136694,-0.3437423,1.360471,-1.0136659,-0.3437352,1.3604568,-1.0136637,-0.3436998,1.3604285,-1.0136637,-0.3436714
2020-05-05.out.11,8.0,1.360478,-1.0136637,-0.343721,1.3605134,-1.013663,-0.3437423,1.3605347,-1.0136595,-0.3437352,1.3605205,-1.0136595,-0.343721,1.3605984,-1.0136503,-0.3437139,1.3606267,-1.013646,-0.3436998,1.3606621,-1.0136432,-0.3437069,1.3606197,-1.013646,-0.3436856,1.3605842,-1.0136474,-0.3436714,1.3606126,-1.0136467,-0.3436927,1.3605913,-1.0136474,-0.3436785,1.360563,-1.0136425,-0.3436006,1.3604922,-1.0136474,-0.3435794,1.3604355,-1.0136489,-0.3435369,1.3605418,-1.0136489,-0.3436431,1.3604639,-1.0136474,-0.3435511,1.3605276,-1.0136489,-0.343629,1.3605488,-1.0136489,-0.3436502,1.3604993,-1.0136503,-0.3436077,1.3604851,-1.013646,-0.3435511,1.3606055,-1.0136389,-0.3436077,1.360648,-1.0136368,-0.343636,1.3606338,-1.0136425,-0.3436714,1.3606126,-1.0136446,-0.3436714,1.3606126,-1.0136432,-0.3436573,1.3606267,-1.0136467,-0.3436998,1.3605418,-1.013651,-0.3436644,1.3605488,-1.0136503,-0.3436573,1.3605064,-1.0136574,-0.3436856,1.3604426,-1.0136609,-0.3436573,1.3604497,-1.0136595,-0.3436502,1.3604426,-1.0136595,-0.3436431
2020-05-05.out.12,8.0,1.3604851,-1.0136566,-0.3436502,1.3604285,-1.0136574,-0.3436077,1.3604214,-1.0136595,-0.3436219,1.3604426,-1.0136588,-0.343629,1.360471,-1.0136574,-0.3436502,1.3604639,-1.0136588,-0.3436502,1.3604426,-1.0136616,-0.3436644,1.3604568,-1.0136595,-0.3436502,1.3603931,-1.0136637,-0.343636,1.3604355,-1.0136616,-0.3436573,1.3604285,-1.0136595,-0.343629,1.3604072,-1.0136616,-0.343629,1.3604426,-1.0136609,-0.3436502,1.3604568,-1.0136574,-0.343636,1.3604851,-1.0136531,-0.3436219,1.360478,-1.0136552,-0.343636,1.3604851,-1.0136531,-0.3436219,1.3604639,-1.0136609,-0.3436714,1.3604851,-1.0136616,-0.3437069,1.3604426,-1.0136574,-0.3436148,1.360386,-1.0136659,-0.3436431,1.360471,-1.0136545,-0.3436148,1.3604993,-1.0136552,-0.3436573,1.3604993,-1.0136545,-0.3436502,1.3604639,-1.0136574,-0.3436431,1.3605488,-1.013651,-0.3436644,1.3605276,-1.0136566,-0.3436998,1.3604426,-1.0136609,-0.3436573,1.3604922,-1.0136524,-0.3436219,1.3605205,-1.0136503,-0.343629,1.3605347,-1.0136517,-0.3436573,1.3604851,-1.0136552,-0.3436431
2020-05-05.out.13,8.0,1.3605276,-1.0136538,-0.3436785,1.3605984,-1.0136545,-0.3437493,1.3604851,-1.0136616,-0.3437069,1.3604922,-1.013663,-0.343721,1.360471,-1.0136609,-0.3436856,1.360471,-1.0136616,-0.3436927,1.360478,-1.0136566,-0.3436502,1.3605418,-1.0136545,-0.3436856,1.3605701,-1.013651,-0.3436856,1.3605559,-1.013651,-0.3436785,1.360478,-1.0136574,-0.3436573,1.3605418,-1.0136489,-0.3436431,1.3604285,-1.013651,-0.343544,1.3605134,-1.0136545,-0.3436573,1.3605347,-1.0136503,-0.3436431,1.3605418,-1.0136524,-0.3436714,1.3604568,-1.0136552,-0.3436148,1.3606267,-1.0136517,-0.3437493,1.360648,-1.0136489,-0.3437423,1.3606055,-1.0136545,-0.3437493,1.3605205,-1.0136637,-0.3437635,1.3605134,-1.013663,-0.3437423,1.360471,-1.0136701,-0.3437706,1.3605559,-1.0136715,-0.3438697,1.3604568,-1.0136736,-0.3437918,1.3604568,-1.0136758,-0.3438131,1.3604355,-1.0136743,-0.3437777,1.3604355,-1.0136751,-0.3437777,1.3604993,-1.0136694,-0.3437918,1.3604568,-1.0136694,-0.3437493,1.3604993,-1.0136673,-0.3437706,1.3605559,-1.0136659,-0.3438202
2020-05-05.out.14,8.0,1.3605064,-1.0136694,-0.3437989,1.3605418,-1.0136722,-0.3438697,1.3605488,-1.0136765,-0.3439122,1.3604568,-1.0136786,-0.3438414,1.3604001,-1.0136758,-0.3437564,1.3604497,-1.0136743,-0.3437918,1.3604568,-1.0136736,-0.3437847,1.360478,-1.0136722,-0.343806,1.3605205,-1.0136779,-0.343898,1.3604639,-1.0136864,-0.3439193,1.360386,-1.0136885,-0.3438626,1.3604497,-1.0136857,-0.343898,1.3604355,-1.0136857,-0.3438839,1.3604285,-1.0136857,-0.3438768,1.3604426,-1.0136786,-0.3438202,1.3605347,-1.0136758,-0.343891,1.3604568,-1.0136765,-0.3438202,1.3604426,-1.0136765,-0.343806,1.3603577,-1.0136765,-0.343721,1.3603718,-1.0136659,-0.343636,1.3606267,-1.0136545,-0.3437777,1.3606763,-1.0136559,-0.3438485,1.3606126,-1.0136616,-0.3438343,1.3605205,-1.0136673,-0.3437918,1.3605134,-1.013668,-0.3437918,1.360648,-1.0136673,-0.3439193,1.3606267,-1.0136651,-0.3438839,1.3606621,-1.0136566,-0.3438343,1.3607046,-1.0136609,-0.3439193,1.360563,-1.013668,-0.3438414,1.3606197,-1.0136715,-0.3439334,1.3606197,-1.0136779,-0.3439972
2020-05-05.out.15,8.0,1.3606692,-1.0136779,-0.3440467,1.3604285,-1.0136984,-0.3440043,1.3604355,-1.0136991,-0.3440113,1.3605772,-1.0136942,-0.3441105,1.360478,-1.0136942,-0.3440043,1.3604568,-1.0136942,-0.343983,1.3604851,-1.0136878,-0.3439476,1.3604639,-1.0136864,-0.3439264,1.3604993,-1.0136836,-0.3439264,1.3605842,-1.0136765,-0.3439547,1.3606197,-1.013668,-0.3439051,1.3606409,-1.0136659,-0.3439051,1.3606409,-1.0136673,-0.3439122,1.3605488,-1.0136843,-0.343983,1.3604639,-1.0136836,-0.343891,1.3605772,-1.0136765,-0.3439405,1.3605488,-1.0136857,-0.3440043,1.3605772,-1.0136828,-0.3440043,1.3604993,-1.0136899,-0.3439901,1.3604355,-1.0136921,-0.3439405,1.3604497,-1.0136864,-0.3439051,1.3604851,-1.0136857,-0.3439334,1.3604072,-1.0136864,-0.3438626,1.3604497,-1.0136878,-0.3439122,1.3603577,-1.0136935,-0.3438768,1.3603364,-1.0136949,-0.3438768,1.3603931,-1.0136928,-0.3439122,1.360563,-1.0136864,-0.3440184,1.3605205,-1.0136949,-0.3440609,1.3605134,-1.0136921,-0.3440184,1.3606338,-1.0136906,-0.3441317,1.3605559,-1.0136949,-0.3440963
2020-05-05.out.16,8.0,1.3604355,-1.0137005,-0.3440255,1.3604568,-1.0136906,-0.3439618,1.3606692,-1.0136899,-0.34416,1.3605347,-1.0137098,-0.3442096,1.3605064,-1.0137168,-0.3442521,1.3604993,-1.0137112,-0.3441884,1.3603647,-1.0137126,-0.3440751,1.3604497,-1.0137055,-0.3440963,1.3604851,-1.0137005,-0.3440751,1.3604355,-1.0136984,-0.3440043,1.3605559,-1.0136991,-0.3441317,1.3604639,-1.0137027,-0.3440822,1.3604143,-1.0136984,-0.343983,1.3604993,-1.0136949,-0.3440397,1.3605488,-1.0136984,-0.3441176,1.3605559,-1.0136942,-0.3440822,1.3604922,-1.013697,-0.3440467,1.3605913,-1.013697,-0.344153,1.3606692,-1.0136942,-0.3441954,1.3605913,-1.0136991,-0.3441742,1.3602444,-1.0137069,-0.343898,1.3603789,-1.013709,-0.3440467,1.3603506,-1.0137034,-0.3439689,1.3605913,-1.0137041,-0.3442167,1.3605913,-1.0137055,-0.3442309,1.3605418,-1.0137126,-0.344245,1.3605488,-1.0137126,-0.3442592,1.3603222,-1.0137197,-0.3440963,1.3604497,-1.0137126,-0.344153,1.3605347,-1.013714,-0.3442521,1.3604143,-1.0137126,-0.3441176,1.3605205,-1.0137105,-0.3442025
2020-05-05.out.17,8.0,1.3605134,-1.0137105,-0.3442025,1.3603789,-1.0137154,-0.3441105,1.3604426,-1.0137147,-0.3441671,1.3603222,-1.0137168,-0.344068,1.3604214,-1.013714,-0.3441388,1.3604426,-1.0137147,-0.3441671,1.3604426,-1.0137112,-0.3441317,1.360386,-1.0137154,-0.3441176,1.3605205,-1.0137112,-0.3442167,1.3604568,-1.0137324,-0.3443583,1.3604851,-1.0137367,-0.344422,1.360563,-1.0137303,-0.3444362,1.3605418,-1.0137296,-0.344415,1.3605701,-1.0137296,-0.3444362,1.3605772,-1.0137232,-0.3443796,1.3604922,-1.0137303,-0.3443725,1.3604639,-1.0137317,-0.3443512,1.3604639,-1.013736,-0.3443937,1.3604568,-1.0137395,-0.344422,1.3604851,-1.0137402,-0.3444504,1.360478,-1.0137395,-0.3444433,1.3605913,-1.0137232,-0.3444008,1.3605842,-1.0137232,-0.3443937,1.3605488,-1.0137267,-0.3443937,1.3605418,-1.0137303,-0.344422,1.3605347,-1.0137324,-0.3444291,1.3605418,-1.0137282,-0.3444008,1.3606055,-1.0137282,-0.3444645,1.3605772,-1.0137367,-0.3445141,1.3606055,-1.0137338,-0.3445141,1.3605276,-1.0137374,-0.3444716,1.3605488,-1.0137416,-0.3445283
2020-05-05.out.18,8.0,1.3605205,-1.0137501,-0.3445778,1.3605276,-1.0137529,-0.3446203,1.3605276,-1.0137445,-0.3445424,1.3606551,-1.013748,-0.3446982,1.3606055,-1.0137551,-0.3447194,1.3606409,-1.0137529,-0.3447336,1.360478,-1.0137586,-0.3446203,1.3604285,-1.0137699,-0.344684,1.360386,-1.0137714,-0.3446486,1.3603931,-1.0137707,-0.3446486,1.3603222,-1.013765,-0.3445283,1.3604355,-1.0137572,-0.3445637,1.3604143,-1.0137614,-0.3445849,1.3604922,-1.0137614,-0.3446699,1.3604497,-1.0137558,-0.3445707,1.360563,-1.0137572,-0.3446982,1.3602727,-1.0137593,-0.344422,1.3604993,-1.0137607,-0.3446628,1.360563,-1.0137614,-0.3447336,1.360301,-1.0137728,-0.3445778,1.3602514,-1.0137629,-0.3444362,1.3605418,-1.0137537,-0.3446416,1.3605134,-1.0137636,-0.3447053,1.3605276,-1.0137593,-0.344684,1.3605064,-1.0137551,-0.3446203,1.3604497,-1.0137657,-0.3446628,1.3604143,-1.0137614,-0.3445849,1.3604001,-1.0137544,-0.344507,1.3604497,-1.0137522,-0.3445353,1.3604285,-1.0137459,-0.3444504,1.3604568,-1.0137466,-0.3444858,1.3604355,-1.0137579,-0.3445707
2020-05-05.out.19,8.0,1.3605772,-1.0137537,-0.344684,1.3605842,-1.0137551,-0.3446982,1.360471,-1.0137529,-0.3445637,1.3605701,-1.0137494,-0.3446274,1.3606197,-1.0137572,-0.3447549,1.3607117,-1.0137522,-0.3447973,1.3606409,-1.0137607,-0.3448044,1.3605842,-1.0137692,-0.3448327,1.360733,-1.0137572,-0.3448682,1.3607542,-1.0137643,-0.3449531,1.3607542,-1.0137735,-0.3450381,1.3607259,-1.0137692,-0.3449744,1.3605701,-1.0137657,-0.3447832,1.3605701,-1.013765,-0.3447761,1.3604993,-1.0137579,-0.3446416,1.3607684,-1.01376,-0.3449248,1.3606267,-1.0137692,-0.3448682,1.3606834,-1.0137707,-0.344939,1.3606338,-1.0137714,-0.3449036,1.3606621,-1.0137692,-0.3449106,1.3606905,-1.0137714,-0.3449531,1.3605488,-1.0137799,-0.3448965,1.3605205,-1.013782,-0.3448894,1.3605772,-1.013777,-0.3448965,1.3604922,-1.0137735,-0.3447761,1.3606905,-1.0137692,-0.344939,1.3606975,-1.0137728,-0.3449744,1.360648,-1.0137749,-0.344946,1.3606126,-1.0137777,-0.344946,1.3606621,-1.0137749,-0.3449602,1.3605134,-1.0137735,-0.3448044,1.3605842,-1.0137714,-0.3448469
