,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-08-10.out.0,0.0,-1.6789591,-1.6812766,-1.6786026,-1.6716806,-1.6666649,-1.6641818,-1.6588586,-1.6614645,-1.6566938,-1.6555134,-1.6537862,-1.6488385,-1.6477504,-1.6528585,-1.6511803,-1.654137,-1.6530432,-1.652274,-1.6511993,-1.6517462,-1.6521703,-1.6533074,-1.6548195,-1.6520289,-1.6542974,-1.6545425,-1.6546291,-1.656196,-1.6548742,-1.6492626,-1.6433606,-1.6362972
2020-08-10.out.1,0.0,-1.6336232,-1.6340721,-1.6344662,-1.6340421,-1.6349151,-1.6288717,-1.6332425,-1.6302915,-1.6276366,-1.6187969,-1.6160363,-1.6107321,-1.612299,-1.6147578,-1.6178069,-1.6260506,-1.6239973,-1.6186498,-1.6251911,-1.626807,-1.6321544,-1.6334762,-1.621993,-1.6164361,-1.6146108,-1.6166755,-1.6217779,-1.6174071,-1.6094894,-1.609446,-1.6125874,-1.6102756
2020-08-10.out.2,0.0,-1.6129682,-1.612329,-1.6079091,-1.6097231,-1.6064403,-1.6078054,-1.6041852,-1.6077321,-1.6046397,-1.6027768,-1.6008968,-1.5938334,-1.5938334,-1.5880804,-1.584939,-1.5895059,-1.5927453,-1.5915649,-1.5948101,-1.5999124,-1.6001461,-1.5932241,-1.5913498,-1.5849257,-1.5824178,-1.5774511,-1.5712173,-1.5699822,-1.5732217,-1.5686414,-1.5655924,-1.5717828
2020-08-10.out.3,0.0,-1.5733006,-1.5755634,-1.5823497,-1.5792574,-1.5709532,-1.5685981,-1.5736457,-1.5814087,-1.5826382,-1.5829756,-1.5859699,-1.5817405,-1.5846482,-1.589215,-1.5866091,-1.5967272,-1.5933274,-1.6009923,-1.6128377,-1.6121985,-1.6115593,-1.6053632,-1.6040847,-1.6074165,-1.6151361,-1.6169991,-1.6188244,-1.6221129,-1.6158187,-1.6278544,-1.628586,-1.6198444
2020-08-10.out.4,0.0,-1.6178777,-1.6172328,-1.6180134,-1.6175759,-1.6107896,-1.6090133,-1.6127506,-1.6116192,-1.6085211,-1.6004074,-1.5966758,-1.595403,-1.5981389,-1.5970622,-1.594315,-1.5900422,-1.5876757,-1.5858994,-1.5852168,-1.5839817,-1.5798993,-1.5805386,-1.578123,-1.5707522,-1.5657365,-1.5633814,-1.5606774,-1.565201,-1.5595461,-1.5629325,-1.561507,-1.5624347
2020-08-10.out.5,0.0,-1.5640206,-1.5676841,-1.5668112,-1.5694604,-1.5680349,-1.5669469,-1.5626251,-1.5684157,-1.5694904,-1.5661586,-1.5632942,-1.5639335,-1.5647084,-1.5561272,-1.5523956,-1.5453998,-1.5458486,-1.5500533,-1.5462727,-1.5446002,-1.5412137,-1.5330623,-1.5384664,-1.5393507,-1.5407215,-1.5396391,-1.5346724,-1.5262702,-1.5173439,-1.5195386,-1.5258328,-1.517768
2020-08-10.out.6,0.0,-1.5110364,-1.5183092,-1.5167914,-1.5124262,-1.5168951,-1.5137423,-1.5085662,-1.5037089,-1.4963267,-1.4977522,-1.4933266,-1.4907264,-1.4878811,-1.4882866,-1.4878378,-1.4860182,-1.4866141,-1.4869458,-1.4838535,-1.4809458,-1.483546,-1.4848244,-1.4813208,-1.4788677,-1.4818187,-1.4806816,-1.4774722,-1.4704031,-1.4700033,-1.4661303,-1.4658719,-1.464158
2020-08-10.out.7,0.0,-1.4644031,-1.4677158,-1.4665111,-1.4647348,-1.4601736,-1.4590989,-1.4597872,-1.4549675,-1.4510455,-1.4437314,-1.4388494,-1.4341411,-1.4320764,-1.4311844,-1.4361021,-1.4308826,-1.4274038,-1.4294138,-1.4279017,-1.4294138,-1.4338336,-1.4352101,-1.4346009,-1.4323324,-1.432044,-1.4328112,-1.4364504,-1.4342934,-1.433162,-1.4308935,-1.4257364,-1.4240772
2020-08-10.out.8,0.0,-1.4218088,-1.417389,-1.4151505,-1.4095693,-1.4083208,-1.405862,-1.4032917,-1.4041646,-1.3985644,-1.3973897,-1.3934806,-1.3931489,-1.3910656,-1.3904563,-1.3906276,-1.3927057,-1.3998894,-1.4048638,-1.4062702,-1.4017657,-1.3929699,-1.3881579,-1.3856258,-1.3863573,-1.3925044,-1.3993341,-1.3995435,-1.4133932,-1.4167364,-1.4216484,-1.4310349,-1.4283666
2020-08-10.out.9,0.0,-1.4326451,-1.4287174,-1.4258211,-1.4211995,-1.4192932,-1.4188444,-1.417517,-1.4194346,-1.4172776,-1.4139891,-1.4072575,-1.4074912,-1.40695,-1.4065012,-1.4054131,-1.4033051,-1.3964754,-1.3947048,-1.3945578,-1.3972127,-1.394207,-1.3936658,-1.3914463,-1.3894363,-1.3894363,-1.3932169,-1.3877091,-1.3858461,-1.3878071,-1.3892759,-1.3861835,-1.3850898
2020-08-10.out.10,0.0,-1.383768,-1.3789427,-1.3814015,-1.3835643,-1.384886,-1.3833058,-1.3840317,-1.3843201,-1.3869693,-1.3845538,-1.3808903,-1.3779826,-1.3768079,-1.3788556,-1.3736361,-1.3697198,-1.3671629,-1.3650905,-1.3618454,-1.3623242,-1.359626,-1.3605536,-1.3547383,-1.3526169,-1.3467282,-1.3457572,-1.3375568,-1.3429909,-1.3499134,-1.3539525,-1.3626451,-1.3717298
2020-08-10.out.11,0.0,-1.3765004,-1.3840617,-1.3918927,-1.3981621,-1.4037267,-1.4035663,-1.4012736,-1.3990732,-1.3972045,-1.395502,-1.3908918,-1.3890175,-1.3878861,-1.388857,-1.3909218,-1.3911988,-1.3942478,-1.3926376,-1.3891021,-1.3837846,-1.3858323,-1.3799493,-1.3708702,-1.375886,-1.3734214,-1.3815729,-1.3831454,-1.380975,-1.3852968,-1.3842768,-1.3876633,-1.3855552
