,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-06-12.out.0,0.0,-0.9556248,-0.9423109,-1.2618444,-0.9822526,-1.0221943,-0.9423109,-1.0088804,-1.0621359,-1.3284138,-1.2618444,-1.1952749,-1.0621359,-1.1686471,-1.0488221,-1.0088804,-1.3417277,-1.1952749,-1.181961,-1.0355082,-2.6331755,-3.8447398,-3.6450314,-3.2456146,-2.0207363,-1.4615528,-1.3816694,-1.301786,-1.3550416,-1.6346334,-2.7530005,-2.5799199,-1.6080056
2020-06-12.out.1,0.0,-0.9156831,-0.9689387,-0.8890553,-1.0488221,-1.0488221,-0.9423109,-1.0088804,-0.8624275,-0.9023692,-0.9689387,-0.8757414,-0.9423109,-0.9156831,-0.8357997,-1.0621359,-0.9822526,-0.7958581,-0.8890553,-0.9556248,-0.8890553,-0.7825442,-0.5295802,-0.8491136,-0.7026608,-0.6893469,-0.7426025,-0.9156831,-0.8757414,-0.6893469,-0.8357997,-0.9023692,-1.0355082
2020-06-12.out.2,0.0,-1.181961,-1.0621359,-1.0621359,-1.1553332,-1.2085888,-1.2352166,-1.1153915,-1.1153915,-0.9689387,-0.8491136,-0.9023692,-0.9423109,-0.8491136,-0.9156831,-0.8757414,-0.8491136,-0.8491136,-0.4896385,-0.8357997,-0.8890553,-0.8757414,-1.0088804,-1.0355082,-0.5295802,-0.1035356,-0.5295802,-0.7825442,-0.8357997,-0.5961496,-0.5162663,-0.5695219,-0.4630107
2020-06-12.out.3,0.0,-0.4763246,-0.7159747,-0.8890553,-0.7159747,-0.4763246,-0.303244,0.0162895,-0.2366745,-0.4496968,-0.6094635,-0.7559164,-0.8890553,-0.7559164,-0.7026608,-0.5961496,-0.7426025,-0.423069,-0.2633023,-0.2366745,-0.1567911,-0.1967328,-0.1168495,-0.3964412,-0.3964412,-0.4496968,-0.6094635,-0.5428941,-0.5029524,-0.2233606,-0.1168495,-0.4496968,-0.6094635
2020-06-12.out.4,0.0,-0.5295802,-0.303244,-0.3431857,-0.6627191,-0.3831273,-0.3298718,-0.5695219,-0.4896385,-0.4496968,-0.4763246,-0.3964412,-0.1567911,-0.1967328,-0.4496968,-0.3964412,-0.4630107,-0.1168495,-0.0902217,-0.676033,-0.8757414,-1.7677723,-2.193817,-2.3668976,-2.4467809,-2.5399782,-0.9423109,-0.8890553,-1.9674808,-1.6479473,-1.301786,-1.2485305,-0.9822526
2020-06-12.out.5,0.0,-0.9156831,-1.2219027,-0.9423109,-0.1567911,-0.3431857,-0.1834189,-0.0902217,-0.2366745,-0.6494052,-0.5961496,-0.4763246,-0.4763246,-0.170105,-0.3431857,-0.4097551,-0.3831273,-0.7958581,-0.7426025,-0.7958581,-0.5162663,-0.423069,-0.3431857,-0.3431857,-0.2100467,-0.3698134,-0.4896385,-0.4630107,-0.5029524,-0.5828358,-0.2899301,-0.3431857,-0.4097551
2020-06-12.out.6,0.0,-0.5695219,-0.1967328,-0.2633023,-0.3298718,-0.3698134,-0.3831273,-0.4896385,-0.423069,-0.3564996,-0.3964412,-0.4630107,-0.0103383,-0.1834189,-0.303244,-0.3698134,-0.2366745,-0.4896385,-0.5695219,-0.4896385,-0.5428941,-0.6360913,-0.3298718,-0.3431857,-0.2366745,-0.05028,-0.0635939,-0.2100467,-0.3165579,-0.303244,-0.4097551,-0.6360913,-3.4186952
2020-06-12.out.7,0.0,-2.5133504,-2.2870142,-2.0074224,-2.7130588,-1.5014945,-1.4748667,-1.3284138,-0.8890553,-0.2499884,-0.4496968,-0.1035356,-0.2233606,-0.2633023,-0.3165579,-0.3298718,-0.3698134,-0.2899301,-0.2633023,-0.2100467,-0.1834189,-0.3298718,-0.1035356,-0.1434772,-0.1834189,-0.2899301,-0.2633023,-0.2633023,-0.2100467,-0.0103383,0.2159979,0.3757646,0.1228006
2020-06-12.out.8,0.0,-0.0103383,0.3091952,0.3091952,-0.0635939,-0.2499884,-0.3831273,-0.3831273,-0.3431857,-0.3431857,-0.2899301,-0.2633023,-0.2233606,-0.2100467,-0.0902217,-0.1301633,-0.1301633,-0.1035356,-0.1168495,-0.2233606,-0.2366745,-0.0769078,0.0695451,-0.0769078,-0.0369661,0.0562312,-0.0902217,-0.2499884,-0.170105,-0.0236522,0.082859,0.1228006,0.0162895
2020-06-12.out.9,0.0,0.0562312,-0.1834189,-0.1834189,-0.1967328,-0.2366745,-0.1967328,-0.2366745,-0.1967328,0.0296034,0.0429173,-0.1967328,-0.1834189,-0.0236522,0.0961729,-0.05028,-0.2366745,-0.1567911,-0.1967328,-0.0236522,-0.1567911,-0.1834189,-0.2366745,-0.1967328,0.082859,0.1228006,0.0695451,0.0695451,-0.1301633,0.0162895,0.0961729,-0.0902217,-0.0635939
