,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-11-01.out.0,1.0,-0.7927391,-0.7877454,-0.7898793,-0.780714,-0.7666476,-0.7495269,-0.7339506,-0.7114008,-0.6959626,-0.6748833,-0.6732281,-0.6688691,-0.673506,-0.6754391,-0.6757451,-0.6723847,-0.6609857,-0.6588855,-0.6515197,-0.6481178,-0.6439453,-0.6622241,-0.6854486,-0.6800444,-0.6758026,-0.6714218,-0.6707238,-0.6705154,-0.6681372,-0.6638789,-0.6652561,-0.6547411
2020-11-01.out.1,1.0,-0.6520684,-0.6527445,-0.6572989,-0.66439,-0.6689607,-0.6755623,-0.6813517,-0.6913833,-0.6987804,-0.7037015,-0.7058049,-0.710331,-0.7122673,-0.7188242,-0.7297368,-0.7325827,-0.7380182,-0.7471365,-0.7529639,-0.7494896,-0.7501626,-0.7513087,-0.7533113,-0.7534502,-0.7561093,-0.7522314,-0.7560366,-0.7649842,-0.7733281,-0.7763788,-0.7610834,-0.7545269
2020-11-01.out.2,1.0,-0.7427053,-0.7369887,-0.7257953,-0.7445873,-0.7436332,-0.7443028,-0.7419216,-0.740617,-0.7286564,-0.7160107,-0.7095103,-0.7054737,-0.7083859,-0.6915793,-0.6903192,-0.6850255,-0.6862607,-0.6866807,-0.6909789,-0.690676,-0.6986321,-0.6915887,-0.6894914,-0.689564,-0.6870998,-0.6833222,-0.6896426,-0.6913674,-0.6941719,-0.6963447,-0.6955771,-0.6990102
2020-11-01.out.3,1.0,-0.695163,-0.6981095,-0.6877331,-0.6840528,-0.6985384,-0.702717,-0.6957765,-0.663536,-0.6697872,-0.6833384,1.444574,1.9598271,10.3226478,-0.762342,-0.7762145,-0.7793413,-0.7843849,-0.7923127,-0.7866716,-0.7847133,-0.770471,-0.757391,-0.7497021,-0.7510763,-0.7597752,-0.7723685,-0.7914623,-0.7933821,-0.7884138,-0.793947,-0.7932933,-0.7938109
2020-11-01.out.4,1.0,-0.7954379,-0.7947234,-0.8006235,-0.8000644,-0.8006959,-0.8019309,-0.8053358,-0.8132636,-0.8158564,-0.8041065,-0.8088159,-0.8031301,-0.8059315,-0.8203437,-0.8224884,-0.814772,-0.8108108,-0.8019479,-0.8091334,-0.8038676,-0.8051026,-0.804894,-0.8045463,-0.8076982,-0.8125467,-0.8185859,-0.8172841,-0.8188976,-0.8241662,-0.8336353,-0.8342668,-0.8416355
2020-11-01.out.5,1.0,-0.851174,-0.8487512,-0.8501253,-0.8552102,-0.8635579,-0.8635579,-0.8606176,-0.8627178,-0.8648595,-0.8633184,-0.8665367,-0.8766058,-0.8749508,-0.8722886,-0.8683944,-0.8669065,-0.8634042,-0.8574793,-0.8534431,-0.8492427,-0.849855,-0.8473762,-0.8422469,-0.8478909,-0.8521327,-0.8623851,-0.8637147,-0.8637398,-0.8647602,-0.8623346,-0.8607935,-0.8580174
2020-11-01.out.6,1.0,-0.860045,-0.8678715,-0.8927356,-0.8855317,-0.8805134,-0.8733225,-0.8731771,-0.9007677,-0.9077049,-0.9246226,-0.9790052,-0.9678767,-0.9481627,-0.9310657,-0.9090682,-0.8875596,-0.8787097,-0.861975,-0.8416845,-0.8089211,-0.787651,-0.768705,-0.7586712,-0.7477528,-0.7330544,-0.7237499,-0.7137605,-0.7116124,-0.7042407,-0.6809485,-0.6729036,-0.6646668
2020-11-01.out.7,1.0,-0.6602796,-0.6525603,-0.6558196,-0.6486592,-0.6489816,-0.6460662,-0.6491205,-0.6398599,-0.6478406,-0.6474618,-0.6502349,-0.6441992,-0.6486276,-0.6446638,-0.6358548,-0.6300719,-0.6185307,-0.6179022,-0.6200752,-0.6246959,-0.625091,-0.6319704,-0.6475448,-0.6526992,-0.6630775,-0.6631221,-0.6627998,-0.6623515,-0.6669718,-0.6662706,-0.6664789,-0.6623481
2020-11-01.out.8,1.0,-0.661814,-0.6486626,-0.6319953,-0.6292351,-0.6280032,-0.6258334,-0.6332272,-0.6356086,-0.6403149,-0.646913,-0.6533276,-0.6560313,-0.6524181,-0.6616057,-0.6686202,-0.6477531,-0.6460284,-0.6266041,-0.6176526,-0.606225,-0.6086478,-0.6076524,-0.5931733,-0.5955993,-0.5826167,-0.5894965,-0.5816437,-0.5835106,-0.5744948,-0.5765732,-0.5783987,-0.5808972
2020-11-01.out.9,1.0,-0.5858748,-0.591962,-0.6010874,-0.59741,-0.6060014,-0.6135159,-0.6217315,-0.6300166,-0.6366213,-0.6445394,-0.6577399,-0.6682806,-0.6783849,-0.6797901,-0.6789558,-0.6806671,-0.6777323,-0.6810707,-0.6876308,-0.6973564,-0.7044061,-0.6946639,-0.7128771,-0.7066347,-0.6948169,-0.7031269,-0.7155566,-0.7117813,-0.7143326,-0.7231764,-0.7165831,-0.7290408
