,COPOD
OBSEA/2020-01-01.out,0.0
OBSEA/2020-01-02.out,0.0
OBSEA/2020-01-03.out,0.0141843971631205
OBSEA/2020-01-04.out,0.0976447497546614
OBSEA/2020-01-05.out,0.0
OBSEA/2020-01-06.out,0.0219780219780219
OBSEA/2020-01-07.out,0.7476525821596244
OBSEA/2020-01-08.out,0.5315721649484536
OBSEA/2020-01-09.out,0.1555009219422249
OBSEA/2020-02-15.out,0.0
OBSEA/2020-02-16.out,0.0
OBSEA/2020-02-17.out,0.0
OBSEA/2020-02-18.out,0.0
OBSEA/2020-02-19.out,0.0
OBSEA/2020-02-20.out,0.0
OBSEA/2020-02-21.out,0.0
OBSEA/2020-02-22.out,0.0
OBSEA/2020-02-23.out,0.0
OBSEA/2020-02-24.out,0.0
OBSEA/2020-02-25.out,0.0
OBSEA/2020-02-26.out,0.0
OBSEA/2020-02-27.out,0.0
OBSEA/2020-02-28.out,0.0
OBSEA/2020-02-29.out,0.0
OBSEA/2020-03-01.out,0.0
OBSEA/2020-03-02.out,0.0
OBSEA/2020-03-03.out,0.0
OBSEA/2020-03-04.out,0.0
OBSEA/2020-03-05.out,0.0
OBSEA/2020-03-06.out,0.0
OBSEA/2020-03-07.out,0.0
OBSEA/2020-03-08.out,0.0
OBSEA/2020-03-09.out,0.0
OBSEA/2020-03-10.out,0.0
OBSEA/2020-03-11.out,0.0
OBSEA/2020-03-12.out,0.0
OBSEA/2020-03-13.out,0.0
OBSEA/2020-03-14.out,0.0
OBSEA/2020-03-15.out,0.03
OBSEA/2020-03-16.out,0.0
OBSEA/2020-03-17.out,0.0
OBSEA/2020-03-18.out,0.0
OBSEA/2020-03-19.out,0.0
OBSEA/2020-03-20.out,0.0
OBSEA/2020-03-21.out,0.0
OBSEA/2020-03-22.out,0.0
OBSEA/2020-03-23.out,0.0
OBSEA/2020-03-24.out,0.0
OBSEA/2020-03-25.out,0.0
OBSEA/2020-03-26.out,0.0
OBSEA/2020-03-27.out,0.0
OBSEA/2020-03-28.out,0.0
OBSEA/2020-03-29.out,0.1098901098901098
OBSEA/2020-03-30.out,0.0
OBSEA/2020-03-31.out,0.0
OBSEA/2020-04-01.out,0.2340425531914893
OBSEA/2020-04-02.out,0.0
OBSEA/2020-04-03.out,0.0
OBSEA/2020-04-04.out,0.0
OBSEA/2020-04-05.out,0.0
OBSEA/2020-04-06.out,0.0
OBSEA/2020-04-07.out,0.0
OBSEA/2020-04-08.out,0.0
OBSEA/2020-04-09.out,0.0
OBSEA/2020-04-10.out,0.1606118546845124
OBSEA/2020-04-11.out,0.8596491228070176
OBSEA/2020-04-12.out,0.0
OBSEA/2020-04-13.out,0.0
OBSEA/2020-04-14.out,0.0
OBSEA/2020-04-15.out,0.0
OBSEA/2020-04-16.out,0.0
OBSEA/2020-04-17.out,0.0
OBSEA/2020-04-18.out,0.0
OBSEA/2020-04-19.out,0.0
OBSEA/2020-04-20.out,0.0
OBSEA/2020-04-21.out,0.0
OBSEA/2020-04-22.out,0.0
OBSEA/2020-04-23.out,0.3813387423935091
OBSEA/2020-04-24.out,0.0
OBSEA/2020-05-01.out,0.8185654008438819
OBSEA/2020-05-02.out,0.0
OBSEA/2020-05-03.out,0.0
OBSEA/2020-05-04.out,0.6049723756906077
OBSEA/2020-05-05.out,0.3396226415094339
OBSEA/2020-05-06.out,0.8688524590163934
OBSEA/2020-05-07.out,0.0
OBSEA/2020-05-08.out,0.0
OBSEA/2020-05-09.out,0.0
OBSEA/2020-05-11.out,0.0
OBSEA/2020-05-12.out,0.0072689511941848
OBSEA/2020-05-14.out,0.0567235224117413
OBSEA/2020-05-15.out,0.2977667493796526
OBSEA/2020-05-16.out,0.0
OBSEA/2020-05-17.out,0.0
OBSEA/2020-05-18.out,0.0
OBSEA/2020-05-19.out,0.0
OBSEA/2020-05-20.out,0.0
OBSEA/2020-05-21.out,0.0
OBSEA/2020-05-22.out,0.0
OBSEA/2020-05-23.out,0.0222222222222222
OBSEA/2020-05-24.out,0.7286689419795221
OBSEA/2020-05-25.out,0.0
OBSEA/2020-05-26.out,0.375886524822695
OBSEA/2020-05-27.out,0.4677716390423573
OBSEA/2020-05-28.out,0.0963172804532577
OBSEA/2020-05-29.out,0.0503401360544217
OBSEA/2020-05-30.out,0.5062586926286509
OBSEA/2020-05-31.out,0.4878048780487805
OBSEA/2020-06-01.out,0.6674528301886793
OBSEA/2020-06-02.out,0.0
OBSEA/2020-06-03.out,0.0
OBSEA/2020-06-04.out,0.4362850971922246
OBSEA/2020-06-05.out,0.4700956937799043
OBSEA/2020-06-06.out,0.0
OBSEA/2020-06-07.out,0.2200488997555012
OBSEA/2020-06-08.out,0.071301247771836
OBSEA/2020-06-09.out,0.1984732824427481
OBSEA/2020-06-10.out,0.6612903225806451
OBSEA/2020-06-11.out,0.0
OBSEA/2020-06-12.out,0.0
OBSEA/2020-06-13.out,0.0015060240963855
OBSEA/2020-06-14.out,0.0338504936530324
OBSEA/2020-06-15.out,0.3266210229561015
OBSEA/2020-06-16.out,0.4426966292134831
OBSEA/2020-06-17.out,0.0
OBSEA/2020-06-18.out,0.0447330447330447
OBSEA/2020-06-19.out,0.0
OBSEA/2020-06-20.out,0.0
OBSEA/2020-06-21.out,0.0043830074173971
OBSEA/2020-06-22.out,0.6111111111111112
OBSEA/2020-06-23.out,0.4765625
OBSEA/2020-06-24.out,0.5073170731707317
OBSEA/2020-06-25.out,0.4538310412573674
OBSEA/2020-06-26.out,0.4568081991215227
OBSEA/2020-06-27.out,0.0237226277372262
