,training_stats
n_epochs,10.0
training_time,662.6562191490084
acc,0.18477004177751913
val_acc,0.16581487827576125
loss,2.3685936543249313
val_loss,2.5237672604047336
top_2_val_acc,0.27346243308140683
top_3_val_acc,0.37164484422940475
top_4_val_acc,0.45331679628445554
