,training_stats
n_epochs,10.0
training_time,2175.5419255789893
acc,0.23574954516267121
val_acc,0.21597576567104884
loss,2.407957062125206
val_loss,2.417931147984096
top_2_val_acc,0.30430484669549124
top_3_val_acc,0.3741230879511152
top_4_val_acc,0.4594706637518747
