,training_stats
n_epochs,10.0
training_time,841.3536684960127
acc,0.21577810873406236
val_acc,0.16579026442307693
loss,2.24752983860901
val_loss,2.489506564461268
top_2_val_acc,0.2920485276442308
top_3_val_acc,0.3689528245192308
top_4_val_acc,0.44876802884615385
