,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47
2020-06-22.out.0,2.0,1.2843469,-1.1522544,-0.1202955,1.2844884,-1.1522365,-0.1202732,1.2847267,-1.1521933,-0.1201391,1.2845554,-1.1521881,-0.1199008,1.284615,-1.1522008,-0.120087,1.2845703,-1.1522082,-0.1201019,1.2847863,-1.1521874,-0.1201391,1.2849353,-1.1521635,-0.120087,1.2848459,-1.1521978,-0.1203104,1.2848757,-1.1521822,-0.1201987,1.2849129,-1.1522045,-0.1204445,1.2848831,-1.1521971,-0.1203477,1.2847714,-1.1522067,-0.1203104,1.2848459,-1.1521941,-0.1202806,1.2844139,-1.1521956,-0.1198189,1.2838255,-1.1522134,-0.1193347
2020-06-22.out.1,2.0,1.2836617,-1.1522127,-0.1191485,1.2835574,-1.1522179,-0.1190815,1.2839,-1.1521963,-0.1192603,1.2836021,-1.1521963,-0.11894,1.2831329,-1.1522067,-0.1185155,1.2837362,-1.1521747,-0.1188804,1.2839373,-1.1521926,-0.1192677,1.2838702,-1.1521993,-0.1192528,1.2841681,-1.1521732,-0.1193347,1.283967,-1.1521807,-0.1191932,1.2836468,-1.1521844,-0.118873,1.2838106,-1.1521658,-0.1188804,1.2833489,-1.1521375,-0.1181133,1.2832893,-1.1521576,-0.1182325,1.2834755,-1.1521524,-0.1183889,1.2839075,-1.1521241,-0.1185974
2020-06-22.out.2,2.0,1.2837734,-1.1521397,-0.1186048,1.2840937,-1.1521129,-0.1186942,1.2840713,-1.1521338,-0.1188655,1.2845554,-1.1521047,-0.1191188,1.2843543,-1.15213,-0.1191485,1.2844065,-1.1521181,-0.119089,1.2843469,-1.152098,-0.1188357,1.2839894,-1.1521144,-0.1185974,1.2841011,-1.1520898,-0.1184931,1.2840117,-1.1521069,-0.1185527,1.284049,-1.1520943,-0.1184782,1.2841086,-1.1520652,-0.1182697,1.2838404,-1.1520652,-0.1179718,1.283684,-1.1520615,-0.1177707,1.2834755,-1.1520749,-0.1176664,1.2838851,-1.1520444,-0.1178303
2020-06-22.out.3,2.0,1.2838926,-1.1520451,-0.1178526,1.283766,-1.1520503,-0.1177558,1.2838851,-1.1520503,-0.1178899,1.2838106,-1.1520518,-0.1178228,1.2838777,-1.1520451,-0.1178303,1.2839298,-1.1520451,-0.1178899,1.2838702,-1.1520503,-0.1178675,1.2839447,-1.1520347,-0.1178005,1.2838255,-1.1520354,-0.1176888,1.2839894,-1.1520124,-0.1176441,1.284049,-1.1520086,-0.1176813,1.2841235,-1.1520019,-0.1176962,1.2841607,-1.1519803,-0.1175398,1.2838479,-1.1519818,-0.1172195,1.2841532,-1.1519677,-0.1174132,1.2840862,-1.1519781,-0.1174355
2020-06-22.out.4,2.0,1.2841532,-1.1519729,-0.1174653,1.2841383,-1.1519766,-0.1174802,1.2841458,-1.1519632,-0.1173611,1.2841383,-1.1519543,-0.1172717,1.2841607,-1.1519535,-0.1172866,1.2840862,-1.1519468,-0.1171451,1.2844363,-1.1519185,-0.1172642,1.2846969,-1.1518895,-0.1172791,1.2841756,-1.1519543,-0.1173164,1.2834159,-1.1520302,-0.1171972,1.2837138,-1.1520146,-0.1173685,1.2839596,-1.1519952,-0.1174579,1.2838181,-1.1520124,-0.1174579,1.2837957,-1.1519997,-0.1173164,1.2840937,-1.1519759,-0.1174281,1.2835574,-1.1520168,-0.1172195
2020-06-22.out.5,2.0,1.2836542,-1.1520131,-0.1172866,1.2835127,-1.1520317,-0.1173089,1.2832818,-1.1520541,-0.1172642,1.2832595,-1.1520585,-0.1172866,1.2829839,-1.1520831,-0.1172121,1.2828871,-1.1520786,-0.1170557,1.2837138,-1.1519699,-0.1169514,1.2838479,-1.1519662,-0.1170631,1.2839373,-1.1519431,-0.116944,1.2839819,-1.1519185,-0.1167727,1.2841607,-1.1519111,-0.1168993,1.2841458,-1.1519185,-0.1169514,1.2839819,-1.151958,-0.1171376,1.2837957,-1.1519729,-0.1170706,1.2835202,-1.1520057,-0.1170706,1.283468,-1.1520191,-0.1171451
2020-06-22.out.6,2.0,1.2837511,-1.1519982,-0.1172568,1.2842203,-1.1519461,-0.1172866,1.283766,-1.151993,-0.117227,1.283766,-1.1520086,-0.1173685,1.2846597,-1.1519252,-0.1175696,1.2845107,-1.1519409,-0.1175547,1.2845182,-1.1519364,-0.1175175,1.2845033,-1.1519364,-0.1175026,1.2844586,-1.1519461,-0.1175398,1.2845256,-1.1519327,-0.1174951,1.2845703,-1.1519334,-0.1175547,1.284831,-1.1519051,-0.1175845,1.2845927,-1.1519289,-0.1175324,1.2849353,-1.1519178,-0.1178079,1.2850395,-1.151914,-0.1178899,1.2849427,-1.1519297,-0.1179271
2020-06-22.out.7,2.0,1.2844809,-1.151958,-0.1176888,1.2845629,-1.151955,-0.1177409,1.2848608,-1.1519274,-0.1178154,1.2849651,-1.1519394,-0.1180388,1.2844809,-1.1519945,-0.1180165,1.2845182,-1.1519893,-0.1180165,1.2846671,-1.1519803,-0.1180984,1.2848608,-1.1519513,-0.1180314,1.2846597,-1.1519736,-0.1180239,1.2845256,-1.1519692,-0.1178377,1.2846448,-1.1519505,-0.117793,1.2846523,-1.1519595,-0.1178824,1.2846895,-1.1519632,-0.1179569,1.2848087,-1.1519453,-0.1179271,1.284682,-1.151952,-0.1178526,1.2846671,-1.1519535,-0.1178452
2020-06-22.out.8,2.0,1.2844958,-1.1519721,-0.1178303,1.2844437,-1.1519684,-0.1177409,1.2842501,-1.1519833,-0.1176664,1.2843245,-1.1519811,-0.117726,1.284332,-1.1519647,-0.1175845,1.2845554,-1.1519401,-0.1175994,1.2844065,-1.1519543,-0.1175696,1.2844884,-1.1519401,-0.1175175,1.284183,-1.1519639,-0.1174206,1.2844288,-1.1519468,-0.1175249,1.2843618,-1.1519543,-0.1175249,1.2843841,-1.1519468,-0.1174728,1.2843841,-1.1519423,-0.1174355,1.284265,-1.151952,-0.1173908,1.2843543,-1.1519505,-0.1174728,1.284265,-1.1519498,-0.1173685
2020-06-22.out.9,2.0,1.2845629,-1.1519103,-0.1173238,1.2845703,-1.1519118,-0.1173462,1.2846076,-1.1519178,-0.117443,1.2851289,-1.1518857,-0.1177186,1.284831,-1.1519126,-0.1176441,1.2849725,-1.1519163,-0.1178303,1.2849874,-1.1519051,-0.1177483,1.2848682,-1.1519155,-0.1177111,1.284831,-1.1519103,-0.1176217,1.2848831,-1.1518917,-0.11751,1.2845629,-1.151914,-0.1173685,1.2843767,-1.1519237,-0.1172493,1.2847193,-1.151882,-0.1172344,1.2847789,-1.1518731,-0.1172195,1.2845629,-1.151888,-0.1171227,1.2846001,-1.1518932,-0.1172046
