,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
2020-10-18.out.0,0.0,-0.4083001,-0.3858594,-0.375574,-0.4363511,-0.4859078,-0.3867944,-0.4054951,-0.3867944,-0.5868912,-0.4054951,-0.2072684,-0.1521015,-0.1521015,-0.1436862,-0.1511665,0.0779163
2020-10-18.out.1,0.0,-0.1259206,-0.2119435,-0.2222289,-0.1539716,-0.1857626,-0.3699639,-0.3007715,-0.2325142,-0.25589,-0.2839409,-0.3409779,-0.3297575,-0.3316276,-0.3306925,-0.3306925,-0.3176021
2020-10-18.out.2,0.0,-0.3073167,-0.3054467,-0.3073167,-0.2942263,-0.3026416,-0.3007715,-0.2830059,-0.2886161,-0.2904862,-0.2830059,-0.2717855,-0.2708505,-0.2699155,-0.2661753,-0.2643053,-0.25589
2020-10-18.out.3,0.0,-0.2586951,-0.2895511,-0.195113,-0.2802008,-1.1198592,-0.7346262,-0.7869879,-0.7084453,-0.7327561,-0.7523918,-0.7467816,-0.0744939,-0.077299,-0.1932429,-0.2053983,-0.2287741
2020-10-18.out.4,0.0,-0.254955,-0.1745423,-0.2231639,-0.1810875,-0.1595818,-0.167062,-0.167997,-0.1464913,-0.1708021,-0.167997,-0.1698671,-0.1717372,-0.1838926,-0.197918,-0.1857626,-0.2007231
2020-10-18.out.5,0.0,-0.3886645,-0.3699639,-3.7772189,-2.3522308,0.0545405,0.0498653,0.0442551,0.0741761,0.1078373,0.0423851,0.0180742,0.0133991,-0.0006264,0.0012437,0.1312131,0.1040972
2020-10-18.out.6,0.0,0.0143341,0.1190577,-0.0127818,0.0059188,0.1181226,0.0218144,0.0311647,0.1349532,0.0891366,0.0143341,0.0162042,0.0255545,0.1396284,0.0320997,-0.0763639,-0.0043665
2020-10-18.out.7,0.0,-0.0511181,-0.2680454,-0.2615002,-0.2717855,-0.2699155,-0.286746,-0.3110569,-0.3119919,-0.314797,-0.3129269,-0.2699155,-0.2680454,-0.3409779,-0.3297575,-0.3166671,-0.2951613
2020-10-18.out.8,0.0,-0.2643053,-0.2353193,-0.2811359,-0.2278391,-0.2381244,-0.2512148,-0.2521499,-0.2596301,-0.2605652,-0.2624352,-0.2577601,-0.2502798,-0.2502798,-0.2334492,-0.2437346,-0.2390594
2020-10-18.out.9,0.0,-0.2418645,-0.2456047,-0.2446696,-0.2381244,-0.2390594,-0.2343843,-0.225034,-0.2203588,-0.108155,-0.2184887,-0.2287741,0.0143341,-0.0857143,-0.10909,-0.1034799,-0.3895995
2020-10-18.out.10,0.0,-0.2082034,-0.2175537,-0.1539716,-0.1614518,-0.1100251,-0.1614518,-0.2680454,-0.2138136,-0.1352709,-0.0277423,-0.2353193,-0.2315792,-0.1390111,-0.1549066,-0.1464913,-0.0950646
2020-10-18.out.11,0.0,-0.1399461,-0.1324658,-0.1249856,-0.1240506,-0.1418162,-0.4428963,-0.2147486,-0.0997397,-0.0651436,-0.0847792,-0.0875843,-0.0950646,-0.0941295,-0.079169,-2.9085746,-0.1053499
2020-10-18.out.12,0.0,-0.1539716,-0.1558416,-0.1502314,-0.1231155,-0.1623868,-0.2082034,-0.1857626,-0.1913728,-0.1923079,-0.1913728,-0.1895028,-0.1923079,-0.1866977,-0.195113,-0.1923079,-0.1895028
2020-10-18.out.13,0.0,-0.167062,-0.1726722,-0.1595818,-0.1474263,-0.1829575,-0.1614518,-0.1483614,-0.167997,-0.1736072,-0.1764123,-0.1717372,-0.1717372,-0.1633219,-0.1717372,-0.1801524,-0.1745423
2020-10-18.out.14,0.0,-0.1708021,-0.1754773,-0.1773474,-0.1708021,-0.1745423,-0.1810875,-0.1801524,-0.1810875,-0.1736072,-0.167997,-0.1745423,-0.1876327,-0.2007231,-0.3643537,-0.2456047,-0.2437346
2020-10-18.out.15,0.0,-0.2446696,-0.2577601,-0.2465397,-0.25589,-0.2399945,-0.2418645,-0.1895028,-0.1203104,-0.1109601,-0.10909,-0.1025448,-0.1006748,-0.0913244,-0.1044149,-0.0744939,-0.0866493
2020-10-18.out.16,0.0,-0.079169,-0.0829092,-0.0819741,-0.0819741,-0.0847792,-0.077299,-0.0707538,-0.078234,-0.0744939,-0.0744939,-0.0698187,-0.0670136,-0.077299,0.0751112,-4.5766709,-4.6252925
2020-10-18.out.17,0.0,-4.7720925,-4.8431549,-4.8646606,-4.877751,-4.6729791,-4.6879396,-4.8010785,-4.8029485,-4.817909,-4.7533918,-4.7636772,-4.7094454,-4.6505384,-4.6888747,-4.6729791,-4.6944849
2020-10-18.out.18,0.0,-4.7178606,-4.7216008,-4.7178606,-4.670174,-4.6944849,-4.4869078,-2.2867786,-0.9786694,-3.1965643,-4.5645155,-4.6047218,-4.6037868,-4.6486683,-4.6505384,-4.6318377,-4.6346428
2020-10-18.out.19,0.0,-4.640253,-4.6262276,-4.6037868,-4.6458632,-4.6178123,-4.6767193,-4.6785893,-4.6935498,-4.7786377,-4.7664823,-4.7646122,-4.7113154,-4.7244059,-4.7318861,-4.7328212,-4.5467499
2020-10-18.out.20,0.0,-4.5906964,-4.6608237,-4.6813944,-4.6832645,-4.6776543,-4.7169256,-4.7131855,-4.6552135,-4.7618071,-4.6804594,-4.6626938,-4.5392696,-4.5710607,-4.6337078,-4.6832645,-4.6907447
2020-10-18.out.21,0.0,-4.6664339,-4.6963549,-4.7141205,-4.6916798,-4.5448798,-4.5869562,0.0508004,0.0386449,0.0330348,-0.2802008,-0.2035282,-0.197918,-0.0427028,-0.0296124,-0.0249372,-0.0221321
2020-10-18.out.22,0.0,-0.017457,-0.017457,-0.0127818,-0.0053015,-0.1025448,-0.0959996,-0.0829092,-0.0857143,0.0031137,0.0068539,0.011529,0.0124641,0.0152692,0.0180742,0.0199443,0.0171392
2020-10-18.out.23,0.0,0.0218144,0.0199443,0.0190093,0.0180742,-0.2764607,-0.2830059,-0.2643053,-0.1913728,-0.2025932,-0.2016582,-0.2082034,-0.1521015,0.0049838,-0.019327,0.0180742,0.0508004
2020-10-18.out.24,0.0,-0.0763639,-0.0716888,-0.0744939,-0.0838442,-0.078234,-0.0735588,-0.0726238,-0.0726238,-0.0679487,-0.0632735,-0.0604684,-0.0651436,-0.0614034,-2.8477975,-0.1165703,-0.0614034
2020-10-18.out.25,0.0,-0.0642085,-0.0585983,-0.0604684,-0.0389627,-0.0286773,0.0760462,0.0302297,0.0274246,0.0349048,0.0330348,0.0311647,0.0320997,0.0320997,0.040515,0.0377099,0.04145
2020-10-18.out.26,0.0,0.0349048,0.0349048,0.0274246,0.0349048,0.0208793,0.0171392,0.0208793,0.0180742,0.0171392,0.0171392,0.0208793,0.0208793,0.0199443,0.0171392,0.0208793,0.0264895
2020-10-18.out.27,0.0,0.0162042,0.0040488,0.011529,0.0180742,0.0180742,0.0143341,0.0162042,0.0003086,0.011529,0.0218144,0.0162042,0.0264895,0.0246195,0.0246195,0.0255545,0.0227494
2020-10-18.out.28,0.0,-4.4289359,-4.6122021,-1.8388984,-1.6004654,0.2303264,0.2714678,0.2742729,0.2752079,0.2705328,0.2705328,-3.8819424,-4.5719957,-4.4869078,-4.3934047,-0.196983,-0.0352226
2020-10-18.out.29,0.0,-0.1586467,-0.2717855,-0.254955,-0.2577601,-0.0922595,0.0246195,-0.0024964,-0.0127818,0.0676309,-0.0305474,-0.0268073,-0.0520531,-0.3634186,0.0657609,0.009659,0.0031137
2020-10-18.out.30,0.0,0.0021787,-0.0969346,-0.1801524,-0.1623868,-0.1642569,-0.1595818,0.0489303,-0.0922595,-0.0286773,-0.0155869,-0.017457,-0.0165219,0.0021787,-0.0015614,-0.0053015,0.0031137
2020-10-18.out.31,0.0,0.071371,-0.0632735,-0.0268073,-0.0305474,-0.0342875,-0.0277423,-3.4191018,-0.9412681,-0.313862,-0.3054467,-0.3035766,-0.2671104,-0.1100251,-0.0875843,-0.0857143,-0.1100251
2020-10-18.out.32,0.0,-0.10722,-0.0997397,-0.1016098,-0.0941295,-0.0903894,-0.0903894,-0.0754289,-0.0642085,-0.0670136,-0.0660786,-0.0632735,-0.0651436,-0.0632735,-0.0632735,-0.0651436,-0.0595334
2020-10-18.out.33,0.0,-0.0576633,-0.0614034,-0.0567283,-0.0567283,-0.0595334,-0.0679487,-0.0642085,-0.0651436,-0.0670136,-0.0623385,-0.0670136,-0.0735588,-0.0744939,-0.0716888,-0.0716888,-0.0735588
2020-10-18.out.34,0.0,-0.0688837,-0.0698187,-0.0707538,-0.0660786,-0.0623385,-0.0632735,-0.0698187,-0.0604684,-0.0595334,-0.0660786,-0.0941295,-0.1109601,-0.0997397,-0.1016098,-0.0988047,-0.0950646
