,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47
2020-02-28.out.0,0.0,1.3637057,-1.0117348,-0.3491789,1.3636845,-1.0117355,-0.3491789,1.3637057,-1.0117376,-0.3492141,1.3636916,-1.0117376,-0.3492,1.3637057,-1.0117369,-0.3492071,1.3637057,-1.0117369,-0.3492,1.3637268,-1.0117369,-0.3492282,1.3637198,-1.0117355,-0.3492071,1.3637268,-1.0117355,-0.3492141,1.3637057,-1.0117355,-0.3492,1.3636775,-1.0117369,-0.3491718,1.3637057,-1.0117348,-0.3491789,1.3637057,-1.0117348,-0.3491859,1.3636986,-1.0117348,-0.3491789,1.3636986,-1.0117348,-0.3491789,1.3637198,-1.0117348,-0.3492
2020-02-28.out.1,0.0,1.3637057,-1.0117348,-0.3491859,1.3637127,-1.0117355,-0.3492,1.3637198,-1.0117334,-0.349193,1.3637268,-1.0117334,-0.349193,1.3637339,-1.0117348,-0.3492141,1.3637409,-1.0117334,-0.3492141,1.3637268,-1.0117334,-0.3492,1.3637409,-1.0117334,-0.3492071,1.3637127,-1.0117334,-0.3491859,1.3637127,-1.0117348,-0.349193,1.3637339,-1.0117334,-0.3492,1.3637268,-1.0117327,-0.3491859,1.3637127,-1.0117348,-0.349193,1.3637198,-1.0117334,-0.3491859,1.3637479,-1.0117327,-0.3492,1.3637479,-1.0117327,-0.3492
2020-02-28.out.2,0.0,1.363762,-1.0117327,-0.3492212,1.3637479,-1.0117327,-0.3492071,1.3637479,-1.0117313,-0.3492,1.3637409,-1.0117313,-0.3491859,1.3637268,-1.0117313,-0.3491789,1.3637409,-1.0117313,-0.3491859,1.3637479,-1.0117313,-0.349193,1.3637409,-1.0117313,-0.349193,1.3637479,-1.0117306,-0.349193,1.363755,-1.0117306,-0.349193,1.363762,-1.0117306,-0.3492,1.3637832,-1.0117306,-0.3492212,1.3637761,-1.0117306,-0.3492141,1.363762,-1.0117313,-0.3492071,1.3637691,-1.0117306,-0.3492071,1.363762,-1.0117313,-0.3492071
2020-02-28.out.3,0.0,1.3637761,-1.0117306,-0.3492141,1.363762,-1.0117306,-0.3492,1.3638043,-1.0117285,-0.3492212,1.363755,-1.0117306,-0.349193,1.3637902,-1.0117292,-0.3492212,1.3637832,-1.0117292,-0.3492071,1.3637761,-1.0117292,-0.3492,1.3638043,-1.0117292,-0.3492282,1.3638114,-1.0117285,-0.3492282,1.3637761,-1.0117285,-0.349193,1.3637832,-1.0117306,-0.3492212,1.3638043,-1.0117292,-0.3492282,1.3638255,-1.0117285,-0.3492423,1.3638114,-1.0117271,-0.3492212,1.3638537,-1.0117285,-0.3492705,1.3638396,-1.0117285,-0.3492564
2020-02-28.out.4,0.0,1.3638325,-1.0117285,-0.3492564,1.3638043,-1.0117292,-0.3492353,1.3638325,-1.0117306,-0.3492705,1.3638325,-1.0117285,-0.3492494,1.3638537,-1.0117271,-0.3492635,1.3638607,-1.0117285,-0.3492776,1.3638607,-1.0117264,-0.3492635,1.3638748,-1.0117285,-0.3492917,1.3638889,-1.0117264,-0.3492846,1.3638748,-1.0117271,-0.3492846,1.3638537,-1.0117271,-0.3492635,1.3638748,-1.0117264,-0.3492705,1.3638889,-1.0117264,-0.3492846,1.3638537,-1.0117271,-0.3492635,1.3638819,-1.0117249,-0.3492705,1.3638607,-1.0117264,-0.3492564
2020-02-28.out.5,0.0,1.3638607,-1.0117264,-0.3492564,1.3638819,-1.0117249,-0.3492705,1.3638748,-1.0117264,-0.3492705,1.363896,-1.0117249,-0.3492846,1.363903,-1.0117264,-0.3492987,1.3638889,-1.0117264,-0.3492846,1.3638819,-1.0117249,-0.3492705,1.3638889,-1.0117242,-0.3492635,1.3639171,-1.0117228,-0.3492776,1.363903,-1.0117228,-0.3492705,1.363903,-1.0117228,-0.3492635,1.3638678,-1.0117228,-0.3492353,1.363896,-1.0117228,-0.3492635,1.363903,-1.0117228,-0.3492705,1.3639242,-1.0117242,-0.3492987,1.3639171,-1.0117249,-0.3492987
2020-02-28.out.6,0.0,1.363896,-1.0117242,-0.3492705,1.3639242,-1.0117242,-0.3493058,1.3639171,-1.0117242,-0.3492917,1.3639383,-1.0117228,-0.3493058,1.3639171,-1.0117242,-0.3492917,1.3639383,-1.0117228,-0.3492987,1.3639806,-1.0117242,-0.3493622,1.3639242,-1.0117249,-0.3493058,1.3639383,-1.0117235,-0.3493128,1.3639453,-1.0117228,-0.3493128,1.3639312,-1.0117221,-0.3492917,1.3639383,-1.0117221,-0.3492987,1.3639594,-1.0117228,-0.3493269,1.3639665,-1.0117221,-0.3493269,1.3639594,-1.0117221,-0.3493128,1.3639594,-1.0117228,-0.3493269
2020-02-28.out.7,0.0,1.3639735,-1.0117221,-0.349334,1.3639735,-1.0117207,-0.3493199,1.3639524,-1.0117207,-0.3492987,1.3639594,-1.0117207,-0.3493058,1.3639735,-1.0117207,-0.3493199,1.3639665,-1.0117228,-0.3493269,1.3639947,-1.0117207,-0.349341,1.3639312,-1.0117221,-0.3492917,1.3639453,-1.0117221,-0.3492987,1.3639453,-1.0117207,-0.3492917,1.3639594,-1.0117207,-0.3493058,1.3639524,-1.01172,-0.3492917,1.3639947,-1.0117172,-0.3493058,1.3640088,-1.0117207,-0.3493551,1.3639524,-1.0117221,-0.3493128,1.3639665,-1.0117207,-0.3493128
2020-02-28.out.8,0.0,1.3639947,-1.0117207,-0.349341,1.3640088,-1.0117207,-0.3493551,1.3639876,-1.0117207,-0.349334,1.3639806,-1.0117221,-0.349341,1.3639876,-1.0117228,-0.3493551,1.3640088,-1.01172,-0.3493481,1.3639735,-1.0117207,-0.3493199,1.3639947,-1.01172,-0.3493269,1.3639594,-1.0117207,-0.3493058,1.3639947,-1.0117186,-0.3493199,1.3639947,-1.0117186,-0.3493199,1.3639947,-1.0117172,-0.3493128,1.3639947,-1.0117186,-0.3493199,1.3639735,-1.0117186,-0.3492987,1.3640158,-1.0117186,-0.349341,1.3640088,-1.0117186,-0.349341
2020-02-28.out.9,0.0,1.3640299,-1.01172,-0.3493692,1.3640088,-1.01172,-0.3493481,1.3640088,-1.01172,-0.349341,1.3639947,-1.0117186,-0.3493199,1.3640158,-1.0117186,-0.349341,1.3640017,-1.01172,-0.349341,1.3639947,-1.0117186,-0.3493199,1.3640088,-1.0117186,-0.349334,1.3639947,-1.0117207,-0.349341,1.3640158,-1.0117172,-0.349334,1.3640088,-1.0117172,-0.3493269,1.3640229,-1.0117165,-0.3493269,1.3640299,-1.0117165,-0.349334,1.3640158,-1.0117165,-0.3493199,1.3640299,-1.0117151,-0.3493269,1.3640229,-1.0117151,-0.3493199
