,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47
2020-04-13.out.0,0.0,1.3432719,-1.0581632,-0.2842887,1.3432358,-1.0581653,-0.2842743,1.343207,-1.0581632,-0.2842238,1.343207,-1.0581617,-0.2842094,1.3431494,-1.0581632,-0.2841662,1.3432719,-1.0581617,-0.2842743,1.343171,-1.058166,-0.2842166,1.3431277,-1.0581617,-0.2841301,1.3430845,-1.0581639,-0.2841085,1.343171,-1.0581617,-0.2841734,1.3431926,-1.0581617,-0.284195,1.3430412,-1.0581653,-0.2840653,1.343034,-1.0581632,-0.2840436,1.3430484,-1.0581632,-0.2840581,1.342998,-1.0581653,-0.284022,1.3430629,-1.0581653,-0.2840941
2020-04-13.out.1,0.0,1.3430412,-1.0581639,-0.2840653,1.3430484,-1.0581617,-0.2840508,1.3429475,-1.0581624,-0.2839499,1.3428466,-1.0581596,-0.2838202,1.3431349,-1.0581574,-0.2840941,1.3429043,-1.0581603,-0.2838851,1.3427889,-1.0581624,-0.2837914,1.3429331,-1.0581596,-0.2839067,1.3430845,-1.0581559,-0.2840364,1.3431421,-1.0581574,-0.2841013,1.3432286,-1.0581581,-0.2842022,1.3432214,-1.0581574,-0.2841878,1.3431854,-1.0581581,-0.2841518,1.3431494,-1.0581581,-0.2841229,1.3431926,-1.0581559,-0.2841446,1.3431349,-1.0581596,-0.2841157
2020-04-13.out.2,0.0,1.3430701,-1.0581596,-0.2840508,1.3431494,-1.0581538,-0.2840797,1.343171,-1.0581516,-0.2840797,1.3430196,-1.0581531,-0.2839355,1.3430124,-1.0581502,-0.2838995,1.3430052,-1.0581516,-0.2839067,1.3429836,-1.0581495,-0.2838562,1.3427889,-1.0581451,-0.2836184,1.3427817,-1.0581394,-0.2835679,1.3427962,-1.0581358,-0.2835463,1.3426952,-1.058135,-0.2834238,1.3427673,-1.0581329,-0.2834814,1.3427169,-1.0581329,-0.283431,1.3428466,-1.0581293,-0.2835319,1.3428899,-1.0581329,-0.283604,1.3428394,-1.0581314,-0.2835463
2020-04-13.out.3,0.0,1.3428322,-1.0581271,-0.283503,1.3428754,-1.0581228,-0.283503,1.342825,-1.0581235,-0.2834598,1.3428394,-1.0581228,-0.2834598,1.3427601,-1.0581192,-0.2833517,1.3428971,-1.0581206,-0.2834958,1.3429043,-1.0581185,-0.2834814,1.3427889,-1.0581192,-0.2833805,1.342825,-1.0581113,-0.2833373,1.3427962,-1.0581206,-0.2833949,1.3428322,-1.058117,-0.2834021,1.3427169,-1.0581192,-0.2833084,1.3427457,-1.058117,-0.2833084,1.3426736,-1.0581199,-0.2832652,1.3426664,-1.0581213,-0.2832724,1.3427025,-1.0581199,-0.283294
2020-04-13.out.4,0.0,1.3427385,-1.0581177,-0.2833084,1.3426304,-1.0581278,-0.283294,1.3425655,-1.0581358,-0.2833084,1.3426376,-1.0581322,-0.2833445,1.3426087,-1.058135,-0.2833373,1.342652,-1.058135,-0.2833805,1.3427169,-1.0581336,-0.2834454,1.3427529,-1.0581314,-0.2834526,1.3426808,-1.0581358,-0.2834238,1.3426952,-1.0581358,-0.2834382,1.3426952,-1.0581358,-0.2834382,1.3427457,-1.058135,-0.2834742,1.3426304,-1.0581437,-0.2834454,1.3426015,-1.0581459,-0.2834382,1.3426448,-1.0581437,-0.2834598,1.3426592,-1.0581437,-0.2834742
2020-04-13.out.5,0.0,1.3427025,-1.0581451,-0.2835319,1.342652,-1.0581459,-0.2834886,1.342652,-1.0581451,-0.2834814,1.3426304,-1.058148,-0.2834886,1.3426736,-1.0581415,-0.283467,1.3425655,-1.0581531,-0.283467,1.3425078,-1.0581617,-0.2834958,1.3425295,-1.0581639,-0.2835319,1.3424646,-1.0581754,-0.2835751,1.3425367,-1.0581675,-0.2835751,1.3425511,-1.0581617,-0.2835319,1.3424934,-1.058166,-0.2835175,1.3425223,-1.0581704,-0.2835895,1.3424862,-1.0581805,-0.2836472,1.3424285,-1.0581805,-0.2835895,1.3424934,-1.0581776,-0.2836184
2020-04-13.out.6,0.0,1.3425367,-1.058174,-0.28364,1.3424718,-1.0581805,-0.2836328,1.3425078,-1.0581783,-0.2836472,1.3426304,-1.0581711,-0.2837049,1.3427241,-1.058166,-0.2837553,1.3427817,-1.0581617,-0.2837697,1.3426448,-1.0581675,-0.2836904,1.3425439,-1.0581725,-0.2836328,1.342616,-1.0581682,-0.2836616,1.3425799,-1.058166,-0.283604,1.3423781,-1.0581776,-0.2835102,1.34227,-1.0581797,-0.2834165,1.3423132,-1.0581776,-0.2834382,1.3422628,-1.0581841,-0.2834454,1.3422123,-1.0581855,-0.2834021,1.3422267,-1.0581841,-0.2834093
2020-04-13.out.7,0.0,1.3423204,-1.0581776,-0.2834454,1.3423925,-1.0581696,-0.2834454,1.3423997,-1.0581682,-0.2834382,1.3424646,-1.0581632,-0.2834526,1.3424934,-1.0581632,-0.2834814,1.3426448,-1.0581538,-0.2835607,1.342861,-1.0581473,-0.2837121,1.3429187,-1.0581451,-0.2837553,1.3429908,-1.058143,-0.2838058,1.3427673,-1.0581473,-0.2836256,1.3426736,-1.0581502,-0.2835463,1.342652,-1.0581459,-0.2834814,1.3425871,-1.0581451,-0.2834093,1.3425511,-1.0581415,-0.2833373,1.3424862,-1.0581459,-0.2833084,1.3425078,-1.0581473,-0.2833445
2020-04-13.out.8,0.0,1.3425295,-1.0581451,-0.2833445,1.342479,-1.0581574,-0.2834165,1.342515,-1.0581596,-0.2834814,1.3425943,-1.0581516,-0.2834886,1.3424358,-1.0581754,-0.2835463,1.3425871,-1.0581682,-0.2836328,1.3427457,-1.0581653,-0.2837625,1.3426736,-1.0581898,-0.2839211,1.3426304,-1.0581877,-0.2838634,1.3426664,-1.0582021,-0.2840364,1.3426232,-1.0582165,-0.2841301,1.3425871,-1.058223,-0.2841446,1.3425078,-1.0582179,-0.2840148,1.3424862,-1.0582201,-0.284022,1.3425871,-1.0582244,-0.284159,1.3425583,-1.0582287,-0.2841734
2020-04-13.out.9,0.0,1.342479,-1.0582352,-0.284159,1.3424358,-1.058236,-0.2841157,1.3424213,-1.0582352,-0.2840941,1.3423421,-1.0582374,-0.2840436,1.3423204,-1.0582374,-0.2840148,1.3423132,-1.0582338,-0.2839716,1.3422195,-1.0582475,-0.2840076,1.3421042,-1.0582597,-0.2840004,1.3422267,-1.0582439,-0.2839788,1.34227,-1.0582374,-0.2839644,1.342306,-1.0582345,-0.2839644,1.3423132,-1.0582316,-0.2839499,1.3423132,-1.0582295,-0.2839211,1.3423493,-1.0582215,-0.2838851,1.3423997,-1.0582165,-0.2838995,1.3424574,-1.0582136,-0.2839211
