,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
2020-04-24.out.25,3.0,-1.4258541,-1.4197485,-1.4208243,-1.4248324,-1.4209467,-1.4189784,-1.4144995,-1.4123799,-1.4168588,-1.4224562,-1.4246369,-1.4152811,-1.4123423,-1.4179347,-1.414848,-1.4166683
2020-04-24.out.26,3.0,-1.4211898,-1.4200493,-1.4203792,-1.4202739,-1.4231771,-1.4273566,-1.4247713,-1.4229389,-1.4223509,-1.4238619,-1.4241186,-1.4222727,-1.4230171,-1.4233179,-1.4203536,-1.4197485
2020-04-24.out.27,3.0,-1.4200493,-1.4213989,-1.4191008,-1.416925,-1.4181964,-1.4179261,-1.4181046,-1.4206474,-1.4238413,-1.4229745,-1.4227178,-1.4230051,-1.4259865,-1.4245196,-1.4241236,-1.4241371
2020-04-24.out.28,3.0,-1.4254987,-1.4270267,-1.426165,-1.4260612,-1.4228096,-1.4226141,-1.4231886,-1.4224,-1.4192537,-1.4189664,-1.4199199,-1.4208735,-1.4215873,-1.4185142,-1.4184836,-1.4170353
2020-04-24.out.29,3.0,-1.4161308,-1.407008,-1.4048015,-1.4054543,-1.4051805,-1.4032002,-1.4069703,-1.4062734,-1.4040314,-1.4029435,-1.401281,-1.3991051,-1.3966981,-1.3985306,-1.3942961,-1.3898525
2020-04-24.out.30,3.0,-1.3897743,-1.3893953,-1.3890945,-1.3931299,-1.3935089,-1.3940579,-1.3913806,-1.3920469,-1.3902927,-1.3902145,-1.3940458,-1.3867244,-1.3851536,-1.384018,-1.3822196,-1.3820105
2020-04-24.out.31,3.0,-1.3831426,-1.3823725,-1.380557,-1.3804788,-1.3839006,-1.3835387,-1.3832649,-1.3761438,-1.375661,-1.375661,-1.386282,-1.3810583,-1.3775938,-1.3740546,-1.375656,-1.3785474
2020-04-24.out.32,3.0,-1.3687319,-1.3544245,-1.3692026,-1.3748311,-1.3785047,-1.3807027,-1.3772638,-1.3743298,-1.3749826,-1.3726011,-1.3690497,-1.364667,-1.3695681,-1.369007,-1.3684751,-1.3672172
2020-04-24.out.33,3.0,-1.3683664,-1.3701072,-1.3709385,-1.3703027,-1.3707429,-1.3716097,-1.3735902,-1.3731636,-1.373315,-1.3736635,-1.3766281,-1.3733456,-1.3725876,-1.3727099,-1.3723138,-1.3739202
2020-04-24.out.34,3.0,-1.3753737,-1.3729054,-1.3731927,-1.3719518,-1.3734494,-1.3749776,-1.3737503,-1.3735412,-1.3747515,-1.3752649,-1.3764141,-1.3743113,-1.375112,-1.3772148,-1.3776109,-1.3766267
2020-04-24.out.35,3.0,-1.3756731,-1.376535,-1.3764568,-1.3750033,-1.3759604,-1.3768052,-1.3777894,-1.3768358,-1.3767014,-1.3754605,-1.3761744,-1.373463,-1.3729054,-1.3747209,-1.3741634,-1.3732845
2020-04-24.out.36,3.0,-1.3718345,-1.3742992,-1.3776599,-1.3733627,-1.3726181,-1.3733883,-1.3743419,-1.3746292,-1.3808492,-1.3823774,-1.3836183,-1.3806672,-1.380941,-1.3805449,-1.3809715,-1.3806537
2020-04-24.out.37,3.0,-1.3814544,-1.382029,-1.3825865,-1.380392,-1.3797257,-1.3792856,-1.3799213,-1.3799213,-1.3804041,-1.3798431,-1.3805876,-1.3837527,-1.3784727,-1.3787294,-1.3783675,-1.3817246
2020-04-24.out.38,3.0,-1.3836304,-1.3823284,-1.3821584,-1.3813577,-1.3825851,-1.3829641,-1.3826768,-1.3811622,-1.3814359,-1.3830558,-1.3835387,-1.3837342,-1.3843088,-1.3854138,-1.3838821,-1.3838821
2020-04-24.out.39,3.0,-1.3825239,-1.3827941,-1.3833125,-1.3805741,-1.3802868,-1.3799213,-1.380013,-1.3797257,-1.3790594,-1.3802697,-1.3818455,-1.3819067,-1.3846145,-1.3829776,-1.3823895,-1.3821769
2020-04-24.out.40,3.0,-1.3791511,-1.3773968,-1.3788639,-1.3795913,-1.3817417,-1.3817111,-1.3789556,-1.3815412,-1.3842967,-1.3821634,-1.3835522,-1.3823895,-1.3833566,-1.3794384,-1.3812283,-1.3802576
2020-04-24.out.41,3.0,-1.3786683,-1.3804837,-1.3803664,-1.3795045,-1.37876,-1.377655,-1.3766146,-1.3785218,-1.3765058,-1.3753566,-1.3786391,-1.3759312,-1.3768101,-1.3785474,-1.3794875,-1.3818946
2020-04-24.out.42,3.0,-1.3802882,-1.3794093,-1.379304,-1.3799703,-1.3790473,-1.3798921,-1.3799092,-1.3822736,-1.379122,-1.3800926,-1.377111,-1.3719227,-1.3702771,-1.37282,-1.3727454,-1.3728457
2020-04-24.out.43,3.0,-1.3709385,-1.3741036,-1.3743909,-1.3746953,-1.362696,-1.3581981,-1.3597739,-1.3510178,-1.3563214,-1.3532735,-1.3620161,-1.3543971,-1.2806729,-1.2331445,-1.1825723,-1.0879471
2020-04-24.out.44,3.0,-1.0176142,-0.5286783,-0.4107604,-0.1558226,-0.0488453,0.0638393,0.1164114,0.1680713,0.2387938,0.2797306,0.2966614,0.3204259,0.3376723,0.3519352,0.3655006,0.3838362
2020-04-24.out.45,3.0,0.3988075,0.4114452,0.416537,0.3947003,0.4182359,0.4081119,-0.7626849,-1.2812824,-1.2853761,-1.2551936,-1.1368012,-1.351846,-1.3603148,-1.3622221,-1.3640682,-1.3622526
2020-04-24.out.46,3.0,-1.3604983,-1.3615693,-1.3607074,-1.3628884,-1.3626928,-1.3596193,-1.3599542,-1.3587745,-1.3606035,-1.3603333,-1.3591535,-1.3584872,-1.3608161,-1.3641036,-1.3608773,-1.3601939
2020-04-24.out.47,3.0,-1.360211,-1.3584701,-1.3594408,-1.3581828,-1.3582916,-1.3608908,-1.3597281,-1.3596499,-1.3596364,-1.2037796,-1.0917421,-1.0404152,-0.9741247,-0.7863426,-0.7578586,-0.5381022
2020-04-24.out.48,3.0,-0.4919214,-0.4460752,-0.2106049,0.0961518,0.1848879,0.2848655,0.3675736,0.3837136,0.4303154,0.4448335,0.4495424,0.466395,0.4735168,0.4841399,0.491549,0.5228253
2020-04-24.out.49,3.0,0.5273245,0.5373245,0.5402644,0.542264,0.5482476,0.54904,0.5482646,0.5527943,0.5565962,0.5634298,0.5668525,0.5685035,0.5761377,0.5798222,0.5798222,0.5889848
2020-04-24.out.50,3.0,0.5925163,0.5996844,0.5986524,0.6053019,0.6117252,0.4895865,0.6656134,0.744746,0.6868497,0.6743702,0.2107829,-0.149885,-0.134632,-0.0943348,-0.0889092,-0.079191
2020-04-24.out.51,3.0,-0.0637121,-0.0419588,-0.0263576,-0.0141695,-0.0176861,-0.0022553,0.0039017,0.0093748,0.0199244,0.0319727,0.047529,0.0616561,0.0686583,0.0805889,0.0883804,0.0928682
2020-04-24.out.52,3.0,0.1000846,0.1033135,0.1164244,0.125335,0.1271824,0.1363721,0.1458916,0.1528593,0.1603051,0.1660786,0.1732641,0.1769197,0.1804171,0.1842207,0.191571,0.1938759
