,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
2020-10-05.out.0,1.0,-0.4250829,-0.4273018,-0.3984567,-0.3784869,-0.3851435,-0.3851435,-0.4028944,-0.4184264,-0.4117698,-0.3829247,-0.3851435,-0.3851435,-0.3718304,-0.3829247,-0.3962378,-0.3940189
2020-10-05.out.1,1.0,-0.3740492,-0.3673927,-0.3718304,-0.3696115,-0.3718304,-0.3740492,-0.3762681,-0.3673927,-0.3607361,-0.3651738,-0.3673927,-0.3851435,-0.3895812,-0.3962378,-0.3918001,-0.3940189
2020-10-05.out.2,1.0,-0.4028944,-0.3740492,-0.3762681,-0.3651738,-0.3696115,-0.3718304,-0.3807058,-0.3762681,-0.3429852,-0.3540795,-0.3740492,-0.3651738,-0.3829247,-0.3962378,-0.4028944,-0.3784869
2020-10-05.out.3,1.0,-0.3696115,-0.3718304,-0.3851435,-0.3762681,-0.3718304,-0.3851435,-0.3718304,-0.3851435,-0.3807058,-0.3629549,-0.3651738,-0.3540795,-0.3718304,-0.3718304,-0.3829247,-0.3807058
2020-10-05.out.4,1.0,-0.3851435,-0.3718304,-0.3873624,-0.3851435,-0.3873624,-0.3851435,-0.3851435,-0.3962378,-0.3918001,-0.3807058,-0.3807058,-0.3784869,-0.3940189,-0.4028944,-0.4028944,-0.3984567
2020-10-05.out.5,1.0,-0.3873624,-0.3851435,-0.3873624,-0.3829247,-0.3940189,-0.3940189,-0.3851435,-0.3807058,-0.3585172,-0.3762681,-0.3918001,-0.3807058,-0.3762681,-0.3673927,-0.3607361,-0.3696115
2020-10-05.out.6,1.0,-0.3651738,-0.3851435,-0.3807058,-0.3762681,-0.3673927,-0.3585172,-0.3607361,-0.3474229,-0.3629549,-0.3407664,-0.3407664,-0.3562984,-0.3518607,-0.3651738,-0.3673927,-0.3673927
2020-10-05.out.7,1.0,-0.3740492,-0.3851435,-0.3807058,-0.3518607,-0.3318909,-0.3185778,-0.3207967,-0.3141401,-0.3518607,-0.3585172,-0.3629549,-0.3740492,-0.3673927,-0.3629549,-0.3696115,-0.3762681
2020-10-05.out.8,1.0,-0.3784869,-0.3651738,-0.3607361,-0.3673927,-0.3651738,-0.3696115,-0.3629549,-0.3562984,-0.3540795,-0.3496418,-0.3607361,-0.3452041,-0.3740492,-0.3918001,-0.3873624,-0.3829247
2020-10-05.out.9,1.0,-0.3918001,-0.3696115,-0.3562984,-0.3141401,-0.2298235,-0.2897327,-0.3119212,-0.3119212,-0.3185778,-0.2986081,-0.3274532,-0.2808572,-0.3052647,-0.3074835,-0.3097024,-0.3452041
2020-10-05.out.10,1.0,-0.3452041,-0.3562984,-0.3252344,-0.3119212,-0.3030458,-0.2719818,-0.2830761,-0.2852949,-0.2719818,-0.2919515,-0.3163589,-0.3363287,-0.3230155,-0.3341098,-0.3341098,-0.3474229
2020-10-05.out.11,1.0,-0.3385475,-0.3474229,-0.3629549,-0.3562984,-0.3651738,-0.3740492,-0.3962378,-0.3851435,-0.3829247,-0.3585172,-0.3607361,-0.3629549,-0.3740492,-0.3673927,-0.3673927,-0.3629549
2020-10-05.out.12,1.0,-0.3696115,-0.3673927,-0.3718304,-0.3673927,-0.3474229,-0.3185778,-0.3097024,-0.3252344,-0.3252344,-0.3496418,-0.3562984,-0.3518607,-0.3585172,-0.3562984,-0.3696115,-0.3562984
2020-10-05.out.13,1.0,-0.3740492,-0.3740492,-0.3962378,-0.3984567,-0.3984567,-0.4006755,-0.3984567,-0.4006755,-0.3851435,-0.3718304,-0.3784869,-0.3807058,-0.3895812,-0.3918001,-0.4051132,-0.3962378
2020-10-05.out.14,1.0,-0.4051132,-0.4028944,-0.3984567,-0.4162075,-0.4117698,-0.4250829,-0.4339584,-0.4184264,-0.4206452,-0.4184264,-0.3940189,-0.3762681,-0.3784869,-0.3762681,-0.3651738,-0.3740492
2020-10-05.out.15,1.0,-0.3629549,-0.3651738,-0.3651738,-0.3784869,-0.3807058,-0.3740492,-0.3651738,-0.3762681,-0.3718304,-0.3562984,-0.3740492,-0.3740492,-0.3696115,-0.3607361,-0.3341098,-0.3540795
2020-10-05.out.16,1.0,-0.3274532,-0.3363287,-0.3363287,-0.3363287,-0.3562984,-0.3585172,-0.3540795,-0.3407664,-0.3318909,-0.3585172,-0.3740492,-0.3673927,-0.3651738,-0.3607361,-0.3429852,-0.3607361
2020-10-05.out.17,1.0,-0.3629549,-0.3651738,-0.3518607,-0.3407664,-0.3696115,-0.3762681,-0.3718304,-0.3718304,-0.3762681,-0.3673927,-0.3540795,-0.3518607,-0.3585172,-0.3540795,-0.3496418,-0.3452041
2020-10-05.out.18,1.0,-0.3496418,-0.3518607,-0.3429852,-0.3429852,-0.3452041,-0.3518607,-0.3585172,-0.3562984,-0.3629549,-0.3651738,-0.3585172,-0.3762681,-0.3651738,-0.3718304,-0.3474229,-0.3385475
2020-10-05.out.19,1.0,-0.3407664,-0.3518607,-0.3496418,-0.3540795,-0.3496418,-0.3452041,-0.3585172,-0.3740492,-0.3807058,-0.3651738,-0.3585172,-0.3651738,-0.3696115,-0.3696115,-0.3762681,-0.3651738
2020-10-05.out.20,1.0,-0.3518607,-0.3385475,-0.3318909,-0.3562984,-0.3585172,-0.3851435,-0.3829247,-0.3829247,-0.4006755,-0.3851435,-0.3851435,-0.3873624,-0.3740492,-0.3562984,-0.3585172,-0.3363287
2020-10-05.out.21,1.0,-0.3496418,-0.3562984,-0.3474229,-0.3607361,-0.3696115,-0.3562984,-0.3696115,-0.3651738,-0.3696115,-0.3562984,-0.3651738,-0.3740492,-0.3718304,-0.3651738,-0.3651738,-0.3562984
2020-10-05.out.22,1.0,-0.3585172,-0.3585172,-0.3540795,-0.3562984,-0.3407664,-0.3407664,-0.3562984,-0.3562984,-0.3562984,-0.3474229,-0.3607361,-0.3429852,-0.3385475,-0.3385475,-0.3452041,-0.3474229
2020-10-05.out.23,1.0,-0.3562984,-0.3540795,-0.3696115,-0.3807058,-0.3696115,-0.3518607,-0.3873624,-0.3962378,-0.3696115,-0.3696115,-0.3762681,-0.3718304,-0.3696115,-0.3629549,-0.3585172,-0.3607361
2020-10-05.out.24,1.0,-0.3784869,-0.3585172,-0.3540795,-0.3718304,-0.3740492,-0.3452041,-0.3585172,-0.3607361,-0.3607361,-0.3629549,-0.3718304,-0.3740492,-0.3762681,-0.3740492,-0.3607361,-0.3651738
