,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47
2020-09-12.out.0,0.0,1.1713718,-1.2731158,0.0932187,1.1713187,-1.2731143,0.0932945,1.1712201,-1.2731241,0.0933324,1.1712277,-1.2731203,0.0933552,1.171296,-1.2731082,0.0933779,1.1712429,-1.2731044,0.0934765,1.1712656,-1.2730961,0.0935221,1.1712656,-1.2730968,0.0935145,1.1713718,-1.2730847,0.0934993,1.1712201,-1.2730877,0.093651,1.1712429,-1.2730832,0.0936662,1.1712732,-1.2730854,0.0936131,1.1713642,-1.2730725,0.0936207,1.1712732,-1.2730771,0.0936813,1.171296,-1.2730733,0.0936965,1.1713415,-1.2730672,0.0936965
2020-09-12.out.1,0.0,1.1712808,-1.2730741,0.0937041,1.1713035,-1.2730771,0.0936434,1.1713263,-1.2730748,0.0936434,1.171296,-1.2730627,0.0937875,1.1713415,-1.2730551,0.0938027,1.1713946,-1.2730422,0.0938558,1.1714932,-1.2730293,0.0938634,1.1713946,-1.2730278,0.0939923,1.1713642,-1.2730195,0.0941061,1.1713566,-1.2730111,0.0941819,1.1711367,-1.2730415,0.0941668,1.1711215,-1.2730536,0.0940758,1.1712353,-1.2730468,0.0939999,1.1713111,-1.2730415,0.093962,1.1712504,-1.2730422,0.0940302,1.1712125,-1.2730415,0.0940833
2020-09-12.out.2,0.0,1.171258,-1.2730232,0.0941895,1.171258,-1.2730232,0.0941895,1.1712201,-1.2730316,0.0941592,1.1712125,-1.2730316,0.0941744,1.1711746,-1.2730346,0.0941895,1.1710153,-1.2730323,0.0943943,1.1710684,-1.2730293,0.094364,1.1711291,-1.2730195,0.0943716,1.1711215,-1.2730141,0.0944247,1.1711973,-1.2730141,0.0943488,1.171167,-1.2730248,0.0942806,1.1712429,-1.2730111,0.0943185,1.1712429,-1.2730141,0.0942957,1.1711746,-1.2730111,0.0944019,1.1711594,-1.2730005,0.0945081,1.1712201,-1.2729884,0.0945536
2020-09-12.out.3,0.0,1.1712049,-1.272983,0.0946143,1.1712732,-1.2729838,0.0945309,1.1712049,-1.2729815,0.094637,1.1712125,-1.2729694,0.0947356,1.1712201,-1.2729542,0.094857,1.1712125,-1.2729527,0.0948798,1.1712201,-1.2729679,0.0947432,1.171258,-1.2729702,0.0946674,1.1711291,-1.272983,0.0947129,1.1711973,-1.2729732,0.0947205,1.1711063,-1.2729884,0.0946901,1.1714173,-1.2729664,0.0945233,1.171167,-1.2729702,0.0947736,1.1710532,-1.2729755,0.094857,1.170985,-1.27298,0.0949025,1.1711063,-1.2729702,0.0948418
2020-09-12.out.4,0.0,1.1710381,-1.2729694,0.0949404,1.1712656,-1.2729618,0.0947356,1.1712277,-1.2729595,0.0948039,1.171258,-1.2729459,0.0948873,1.171258,-1.2729322,0.0950087,1.171258,-1.2729322,0.0950087,1.1711594,-1.2729542,0.0949329,1.1709926,-1.2729891,0.0948115,1.1711139,-1.2729899,0.0946674,1.1712429,-1.2729921,0.0944853,1.1712656,-1.2729975,0.0944095,1.1712353,-1.2729952,0.0944702,1.1713035,-1.2729884,0.094455,1.171349,-1.2729747,0.0945233,1.1713339,-1.2729732,0.0945536,1.1714097,-1.2729868,0.0943412
2020-09-12.out.5,0.0,1.1714021,-1.2729815,0.0944019,1.1713718,-1.27298,0.094455,1.1713718,-1.27298,0.0944474,1.1714097,-1.2729694,0.0945005,1.171387,-1.2729595,0.0946143,1.1713946,-1.2729527,0.0946674,1.1714173,-1.2729444,0.0947205,1.1713946,-1.2729375,0.0948039,1.171387,-1.2729375,0.0948115,1.1715235,-1.2729269,0.0947508,1.1714932,-1.2729239,0.0948191,1.1714477,-1.2729186,0.0949101,1.1714856,-1.2729125,0.0949253,1.1714932,-1.2729064,0.0949708,1.1714477,-1.2729034,0.0950542,1.1714401,-1.2728951,0.0951376
2020-09-12.out.6,0.0,1.171478,-1.2728875,0.0951604,1.171349,-1.2728973,0.0952287,1.1711594,-1.2729201,0.0952438,1.1713642,-1.2729117,0.095077,1.1713642,-1.2729171,0.0950239,1.1713111,-1.2729497,0.0947887,1.1713035,-1.2729679,0.094637,1.171387,-1.2729679,0.0945384,1.1714477,-1.2729557,0.0945839,1.1715007,-1.2729565,0.0945081,1.1715311,-1.2729406,0.0946219,1.1714325,-1.2729542,0.0946143,1.1714477,-1.2729633,0.0945081,1.1714021,-1.2729618,0.0945764,1.1713263,-1.2729762,0.0945384,1.1714552,-1.2729899,0.0942654
2020-09-12.out.7,0.0,1.1715083,-1.2730187,0.0939468,1.1715842,-1.2730035,0.0939923,1.1717435,-1.273002,0.0938179,1.1714325,-1.2730195,0.0940227,1.171569,-1.2729899,0.0941289,1.1715311,-1.2729838,0.0942275,1.1715387,-1.2729747,0.0943033,1.1714249,-1.2729732,0.0944474,1.1714704,-1.2729679,0.0944474,1.1714401,-1.2729679,0.0944853,1.1714097,-1.2729611,0.0945839,1.171296,-1.2729679,0.0946446,1.1713566,-1.2729732,0.0945309,1.1714097,-1.2729694,0.0945005,1.1715159,-1.2729512,0.0945384,1.1714401,-1.2729542,0.0946067
2020-09-12.out.8,0.0,1.1715387,-1.2729694,0.0943488,1.1716297,-1.2729815,0.0941364,1.1713794,-1.2729937,0.0943109,1.1712125,-1.2729937,0.0945081,1.1713794,-1.27298,0.0944398,1.1713642,-1.27298,0.094455,1.1714021,-1.2729762,0.0944474,1.1714704,-1.2729815,0.0943261,1.1714477,-1.2729633,0.0945081,1.1713718,-1.2729565,0.0946598,1.1714704,-1.2729815,0.0943185,1.1714704,-1.2729785,0.0943412,1.1713718,-1.2729838,0.0944171,1.1716524,-1.2729937,0.0939999,1.1716524,-1.2729982,0.0939544,1.1718421,-1.2730232,0.0934993
2020-09-12.out.9,0.0,1.1715766,-1.2730521,0.09356,1.1715463,-1.2730665,0.0934614,1.1714325,-1.273071,0.09356,1.1713946,-1.2730551,0.0937496,1.1715007,-1.2730536,0.0936282,1.1714856,-1.2730862,0.0933552,1.171478,-1.2730968,0.0932642,1.1712656,-1.2731196,0.0933097,1.1711973,-1.2731188,0.0934007,1.1712656,-1.2731021,0.093469,1.1711746,-1.2730885,0.0937041,1.170894,-1.2731158,0.0937799,1.1709167,-1.2731279,0.0936434,1.1709622,-1.2731431,0.0934462,1.170856,-1.2731499,0.0935145,1.1710381,-1.2731416,0.0933779
