,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
2020-06-29.out.0,10.0,1.1677305,1.1576627,1.1505048,1.1422749,1.1383108,1.1373157,1.1425972,1.1309749,1.121464,1.1141807,1.0945899,1.0977733,1.1093066,1.1481034,1.1309122,1.1238252
2020-06-29.out.1,10.0,1.1195249,1.1545904,1.1571519,1.1413652,1.1287985,1.1346654,1.1615031,1.1622871,1.1388683,1.1418148,1.132989,1.1504298,1.1605241,1.1503063,1.1258574,1.1175406
2020-06-29.out.2,10.0,1.1392048,1.1830431,1.1767039,1.1308615,1.1233166,1.1315588,1.1687236,1.1918541,1.2178099,1.2510974,1.1514372,1.1395917,1.0954734,1.1515323,1.2398868,1.1775794
2020-06-29.out.3,10.0,1.1331636,1.1224815,1.1058739,1.1556565,1.1579588,1.1478156,1.1069847,1.0431512,1.0338515,1.0464407,1.0579394,1.0786392,1.0959906,1.1303225,1.0902471,1.0883464
2020-06-29.out.4,10.0,1.0787362,1.0465781,1.0168827,1.0078422,0.9951518,1.0182084,1.0095425,1.0264243,1.0639645,1.0786593,1.0493123,1.0411961,1.0394797,1.024724,0.9972006,1.0185812
2020-06-29.out.5,10.0,1.0040262,1.0345428,1.0200726,1.0390073,1.0100187,1.0197021,1.086563,1.1430592,1.0334503,1.0164816,1.0325787,1.0176633,1.0330776,1.0508141,1.1315993,1.0716375
2020-06-29.out.6,10.0,1.0432591,1.0966206,1.0894123,1.034869,1.0921461,1.0905694,1.0530051,1.0328425,1.012469,1.1277566,1.215726,1.2846698,1.2562985,1.2047286,1.2230576,1.1797656
2020-06-29.out.7,10.0,1.1847509,1.2201884,1.2448752,1.2170334,1.2502961,1.2434898,1.2286211,1.2044724,1.1659876,1.1852055,1.2540248,1.188281,1.2406986,1.372959,1.3376523,1.2901053
2020-06-29.out.8,10.0,1.2579733,1.3184259,1.318116,1.1929143,1.2287757,1.2250104,1.1880423,1.1854645,1.1869074,1.1450045,1.1568256,1.3047802,1.3392213,1.3077655,1.2899574,1.3581716
2020-06-29.out.9,10.0,1.3570893,1.2749696,1.2901822,1.2366241,1.2431879,1.2786112,1.2356047,1.3108808,1.4582284,1.4789141,1.4623518,1.3535378,1.5217279,1.465005,1.4002492,1.5140193
2020-06-29.out.10,10.0,1.6010005,1.5331624,1.4835215,1.5488409,1.4375311,1.2307265,1.2893992,1.3373242,1.3710344,1.4734061,1.5134937,1.4778417,1.5194858,1.513237,1.4982115,1.4862903
2020-06-29.out.11,10.0,1.6355425,1.5265842,1.4186774,1.3249813,1.2761413,1.3040323,1.3851584,1.4215147,1.4504251,1.4620826,1.5074632,1.4737492,1.395817,1.3703121,1.2549877,1.2619718
2020-06-29.out.12,10.0,1.2936146,1.4379731,1.4157352,1.5315476,1.5336006,1.5273157,1.5173967,1.3696638,1.4279825,1.4648063,1.4287387,1.4965491,1.5524598,1.539038,1.3352005,1.2221398
2020-06-29.out.13,10.0,1.1648945,1.1710975,1.1758177,1.1943893,1.220047,1.2755209,1.4254811,1.3703105,1.4167336,1.4287302,1.3267624,1.3460014,1.501991,1.5724178,1.7026257,1.6657641
2020-06-29.out.14,10.0,1.7018929,1.4696211,1.1795797,1.2671047,1.3574612,1.3183115,1.2062566,1.1215498,1.103625,1.1291546,1.104344,1.1622382,1.1724441,1.1480828,1.1338363,1.1035292
2020-06-29.out.15,10.0,1.0666574,1.1217625,1.0973338,1.0768411,1.1934351,1.1009814,1.0797876,1.0605169,1.1187791,1.1156116,1.1340938,1.1034519,1.1044836,1.0833543,1.0767034,1.0744419
2020-06-29.out.16,10.0,1.0937571,1.1019606,1.107941,1.1528759,1.1073958,1.2073452,1.1411686,1.281464,1.1849518,1.1035975,1.1218673,1.0928039,1.1303402,1.1225726,1.1030952,1.1099083
2020-06-29.out.17,10.0,1.1173769,1.1347281,1.1315827,1.1791277,1.1893232,1.1815799,1.4505247,1.2488149,1.1741764,1.1231738,1.0891639,1.0901105,1.0903175,1.1276067,1.0834293,1.207633
2020-06-29.out.18,10.0,1.1298458,1.1043518,1.2703652,1.1514226,1.1422749,1.2527816,1.244943,1.3871477,1.3714127,1.5636628,1.6633107,1.4347851,1.4522144,1.3616397,1.3483583,1.3569808
