,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47
2020-05-30.out.0,1.0,1.2957486,-1.1364627,-0.1565016,1.2958157,-1.1364627,-0.1565762,1.2957411,-1.1364493,-0.1563672,1.2958456,-1.1364486,-0.1564717,1.2957635,-1.1364687,-0.1565762,1.2958829,-1.1364732,-0.1567478,1.2957486,-1.1364918,-0.1567702,1.295756,-1.1364926,-0.1567926,1.2957336,-1.1364762,-0.156606,1.2959799,-1.1364627,-0.1567478,1.2960023,-1.1364784,-0.1569195,1.2959128,-1.1364866,-0.1569046,1.2957859,-1.1364896,-0.1567926,1.2957262,-1.1364881,-0.1567105,1.2958605,-1.1364821,-0.1568075,1.2958232,-1.1364762,-0.1567105
2020-05-30.out.1,1.0,1.2958456,-1.1364702,-0.1566807,1.2959948,-1.1364605,-0.1567404,1.295868,-1.1364844,-0.1568374,1.2958978,-1.1364978,-0.1569867,1.2957784,-1.1364963,-0.1568523,1.2957113,-1.1364941,-0.1567553,1.2956515,-1.1364978,-0.1567255,1.2957859,-1.1365142,-0.1570314,1.2956665,-1.1365336,-0.1570837,1.2955023,-1.1365568,-0.1571135,1.2956441,-1.1365396,-0.1571135,1.2954351,-1.1365433,-0.1569195,1.2956814,-1.1365202,-0.1569717,1.2958978,-1.1365053,-0.1570613,1.2959202,-1.1365142,-0.1571732,1.2952933,-1.1365254,-0.1565986
2020-05-30.out.2,1.0,1.2953754,-1.1365374,-0.1567926,1.2954575,-1.1365389,-0.1568971,1.2954202,-1.1365389,-0.1568523,1.295353,-1.1365493,-0.1568822,1.2953456,-1.1365478,-0.1568673,1.2952709,-1.1365515,-0.156815,1.2954127,-1.1365411,-0.1568747,1.2955097,-1.1365403,-0.1569717,1.2954277,-1.1365321,-0.156815,1.2953605,-1.1365321,-0.1567404,1.2954277,-1.1365292,-0.1567702,1.295465,-1.1365142,-0.1566807,1.295465,-1.1365075,-0.1566135,1.2955471,-1.1365075,-0.1567031,1.2955097,-1.1365075,-0.1566583,1.2954426,-1.1365053,-0.1565613
2020-05-30.out.3,1.0,1.2953754,-1.1365083,-0.1565314,1.2952112,-1.1365195,-0.1564493,1.2952485,-1.1365142,-0.1564493,1.295256,-1.1365157,-0.1564642,1.2952709,-1.1365195,-0.1565165,1.2952635,-1.1365202,-0.1565165,1.2952859,-1.1365157,-0.1564941,1.2953232,-1.1365112,-0.1564941,1.295465,-1.1365112,-0.1566508,1.295465,-1.1365023,-0.1565687,1.2953978,-1.136506,-0.156524,1.2954202,-1.1365053,-0.1565389,1.2953605,-1.1365038,-0.1564642,1.2954053,-1.1365,-0.1564792,1.2953903,-1.1365023,-0.1564866,1.2954874,-1.1364926,-0.1565016
2020-05-30.out.4,1.0,1.2954127,-1.1364986,-0.1564717,1.2954575,-1.1364903,-0.1564493,1.2954127,-1.1364926,-0.1564195,1.2954799,-1.1364896,-0.1564568,1.2954351,-1.1365,-0.1565165,1.2956665,-1.1364821,-0.1565911,1.2953754,-1.1365038,-0.1564792,1.2955247,-1.1364896,-0.156509,1.295562,-1.1364859,-0.1565165,1.295465,-1.1364881,-0.1564269,1.2953605,-1.1364844,-0.1562851,1.2952709,-1.1364881,-0.156218,1.2953829,-1.1364821,-0.1562851,1.2954874,-1.1364769,-0.1563523,1.2954351,-1.1364732,-0.1562627,1.2954127,-1.1364747,-0.1562478
2020-05-30.out.5,1.0,1.2952485,-1.1364829,-0.1561508,1.2952859,-1.1364769,-0.1561359,1.2954053,-1.1364687,-0.1561806,1.2954426,-1.136459,-0.1561284,1.29545,-1.1364575,-0.1561284,1.295368,-1.1364784,-0.1562404,1.2955545,-1.1364545,-0.1562105,1.2956068,-1.1364471,-0.156203,1.2955172,-1.1364493,-0.1561209,1.2954799,-1.1364545,-0.1561284,1.2952709,-1.136465,-0.1560015,1.2952262,-1.1364665,-0.1559642,1.2952262,-1.1364605,-0.1559045,1.2952709,-1.1364515,-0.1558747,1.2952709,-1.1364575,-0.1559344,1.2952187,-1.1364553,-0.1558523
2020-05-30.out.6,1.0,1.2951217,-1.136456,-0.1557627,1.2951888,-1.136453,-0.1558,1.2952112,-1.136459,-0.1558821,1.2951515,-1.1364575,-0.1558075,1.295047,-1.136456,-0.1556732,1.2947112,-1.1365008,-0.1557329,1.2948828,-1.1364918,-0.1558299,1.2947187,-1.1365,-0.1557329,1.2949724,-1.1365,-0.156009,1.2945172,-1.1365612,-0.1560911,1.2948679,-1.1365277,-0.1561508,1.2950545,-1.1365105,-0.156203,1.2950993,-1.1365075,-0.1562105,1.2953456,-1.1365023,-0.1564344,1.2948903,-1.1365321,-0.1562254,1.29495,-1.1365217,-0.1561806
2020-05-30.out.7,1.0,1.294853,-1.1365299,-0.1561583,1.294853,-1.1365344,-0.1561956,1.2949948,-1.1365157,-0.1561806,1.2951888,-1.1364926,-0.1561732,1.2952859,-1.1364926,-0.1562777,1.2951888,-1.1364918,-0.1561583,1.2947784,-1.1365254,-0.1560388,1.2949276,-1.1365351,-0.1562851,1.2949948,-1.1365068,-0.1560986,1.2950844,-1.1364903,-0.1560388,1.2952859,-1.1364844,-0.156203,1.295465,-1.1364724,-0.1562851,1.295562,-1.1364575,-0.1562553,1.2954127,-1.1364665,-0.1561732,1.2952635,-1.1364806,-0.1561359,1.2950844,-1.1365,-0.1561284
2020-05-30.out.8,1.0,1.2950321,-1.1365045,-0.1561135,1.2952784,-1.1364866,-0.156218,1.2952262,-1.1364866,-0.1561583,1.2952336,-1.1364866,-0.1561657,1.2949202,-1.136518,-0.1561209,1.2948455,-1.1365277,-0.1561284,1.2951291,-1.1365045,-0.1562254,1.2951739,-1.1364963,-0.1561881,1.2951217,-1.1364948,-0.1561284,1.2951739,-1.1364844,-0.1560836,1.2951217,-1.1364844,-0.1560239,1.2950844,-1.1364821,-0.1559568,1.2952485,-1.1364694,-0.1560239,1.295159,-1.1364687,-0.1559194,1.2952262,-1.1364493,-0.155815,1.2952784,-1.1364336,-0.1557179
2020-05-30.out.9,1.0,1.2953157,-1.1364306,-0.1557329,1.2952859,-1.1364314,-0.155703,1.2951515,-1.1364351,-0.1555911,1.2950172,-1.1364456,-0.1555463,1.295047,-1.1364456,-0.1555761,1.2951217,-1.1364515,-0.1557105,1.2951366,-1.1364396,-0.1556209,1.2951664,-1.1364314,-0.1555761,1.2951963,-1.1364224,-0.1555239,1.2952859,-1.1364194,-0.1555911,1.2952859,-1.1364165,-0.1555687,1.295353,-1.1364068,-0.1555463,1.2952411,-1.136418,-0.1555314,1.295353,-1.1364097,-0.1555687,1.295353,-1.1364105,-0.1555836,1.2953978,-1.1364097,-0.1556209
