,AutoEncoder (AE),DenoisingAutoEncoder (DAE),DeepAnT,Random Black Forest (RR),PCC,HBOS,Torsk,Hybrid KNN,COPOD,RobustPCA
OBSEA/2020-07-25.out,0.0002971296988814,0.000347580813986,0.0006214978267293,0.0004861400109531,0.0020449693462673,0.0476185827709777,0.0008315925191334,0.0003526679604525,0.001818163653074,0.0026384960772885
OBSEA/2020-07-03.out,0.3911675714684597,0.3910947214197798,0.3347445689387736,0.2925106012415854,0.3341056394994453,0.4357716488413685,0.0,0.4136551362060452,0.3535558730610535,0.3580061313843303
OBSEA/2020-05-15.out,0.0,0.0,0.2339206954087999,0.0,0.2474395018169729,0.1798897439743834,0.2164903143607227,0.0,0.0,0.0968059909673914
OBSEA/2022-03-15.out,0.0,0.0,0.1139489988539344,0.0,0.0,0.0,0.0,0.0486149873889151,0.0433228223750903,0.0
OBSEA/2020-04-23.out,0.0,0.0,0.0,0.1142118270771778,0.0,0.1670761551501895,0.0,0.1079591232160028,0.0,0.0
OBSEA/2021-10-02.out,0.5583105086468796,0.5704079697547156,0.5741074197200042,0.4300017205917948,0.5703607777636139,0.3870658812955677,0.0,0.0,0.5437757859016129,0.5702356155262944
OBSEA/2020-12-27.out,0.4899027940573794,0.4899027940573794,0.4899027940573794,0.3343240340605165,0.1362647346198747,0.4397732931091922,0.1777087533949357,0.4899027940573794,0.2142139771443601,0.4899027940573794
OBSEA/2020-07-07.out,0.1029446136220881,0.0,0.0,0.2006245888107357,0.1100598279149591,0.1226616817971714,0.0,0.0,0.2299907791465714,0.0
OBSEA/2020-07-13.out,0.8146473874650654,0.8106901539600879,0.8071520819975102,0.7826000456700009,0.8146473874650654,0.8146473874650654,0.0,0.7784480085774436,0.8141776648383735,0.8146473874650654
OBSEA/2021-09-14.out,0.044068043860633,0.0485256036152554,0.1070792967701283,0.0422540390634161,0.0,0.0400180647034751,0.0,0.0,0.0,0.0
OBSEA/2021-09-21.out,0.0,0.0,0.0506382703299501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBSEA/2021-01-21.out,0.645551357921514,0.6554701503371188,0.6427205184370197,0.6722123181725465,0.645551357921514,0.655220397445205,0.3268007340691831,0.6756312931125528,0.645551357921514,0.645551357921514
OBSEA/2022-08-24.out,0.0,0.0713699311516999,0.0763360005457657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBSEA/2021-07-27.out,0.0247469615530925,0.0217516267392597,0.0335011115227525,0.0226220093720333,0.0,0.0,0.0,0.0,0.0,0.0
OBSEA/2021-10-30.out,0.1284995417372277,0.1141910630259701,0.1141536764293742,0.0,0.1161694966309407,0.0,0.0,0.0,0.0975238156647722,0.0563857783732915
OBSEA/2020-03-29.out,0.0262775344976201,0.0261529248192446,0.0215586590424524,0.023408128787059,0.0,0.0272819974283569,0.5665907190911941,0.0208450577238589,0.0,0.0124665795244023
OBSEA/2021-08-11.out,0.0833085565643682,0.0867998951096317,0.0,0.0,0.1119778231287228,0.1656692434545847,0.0,0.0,0.0686621055558863,0.0170897583589489
OBSEA/2020-08-07.out,0.0,0.0,0.1002683660027799,0.0,0.0,0.0,0.0,0.0611105186785828,0.0,0.0673032727580514
OBSEA/2020-08-16.out,0.2971035012779513,0.2111782354244781,0.0,0.0,0.0,0.0,0.0785909006051328,0.2111782354244781,0.0,0.0
OBSEA/2021-08-03.out,0.0,0.0,0.0,0.0,0.0,0.0371797748588241,0.0,0.0,0.1184303848968936,0.0816782469700344
OBSEA/2020-06-28.out,0.1832852823470393,0.0,0.2017406023827017,0.0854209348244749,0.2001856789873279,0.2001856789873279,0.1221642912751301,0.0,0.0913099670189293,0.2656179223807043
OBSEA/2022-09-06.out,0.0919751367687138,0.2060857226636008,0.0065331346727943,0.0,0.1930439933974953,0.1164786269506357,0.0,0.0,0.1750571316219387,0.0857134653139748
OBSEA/2020-11-11.out,0.0,0.0,0.1463052098313481,0.0,0.2401842177303226,0.125586242583822,0.0,0.0,0.2390409617858296,0.0
OBSEA/2020-06-04.out,0.0,0.1017460950634335,0.101813217315347,0.1076358524284101,0.0,0.0,0.0,0.1095717959300604,0.0,0.1017460950634335
OBSEA/2022-08-18.out,0.3416314084959863,0.0,0.3799533732067728,0.0,0.3407136116739583,0.4430979134377873,0.0,0.0,0.3082088604812236,0.0
OBSEA/2020-03-10.out,0.0229793247861785,0.0229217296326424,0.0219724978888051,0.0411853852673739,0.0225050328301687,0.0404980455876841,0.2391010474608291,0.0224467440114125,0.024751557533237,0.0343163556618704
OBSEA/2022-09-27.out,0.0763129788772118,0.0959048923459646,0.0364913450252438,0.0,0.0,0.0,0.0,0.0,0.0,0.0496238849866246
OBSEA/2020-08-19.out,0.2891064377429484,0.2891923365809536,0.2905447803187433,0.1828122106515289,0.271681545981509,0.0,0.24060220192068,0.2520144642117768,0.2308651065688705,0.2893069477985927
OBSEA/2022-10-15.out,0.0,0.0,0.0376789426112319,0.0,0.0,0.0551233363212134,0.0,0.0,0.0,0.0
OBSEA/2020-10-25.out,0.0,0.0,0.0,0.0028958385203201,0.0,0.0849179939874056,0.0,0.0,0.0,0.0
OBSEA/2022-07-26.out,0.0,0.0,0.2829758337281898,0.0,0.0,0.1210416217278435,0.1583069588034313,0.0,0.0,0.2864504532200764
OBSEA/2020-10-07.out,0.1823902641717866,0.1823902641717866,0.0,0.1925151914359295,0.0763484782115079,0.0,0.0,0.0,0.0,0.0369400661809891
OBSEA/2020-04-01.out,0.0,0.0,0.0,0.0623574417938824,0.1398796514169325,0.0,0.0,0.0123699257564425,0.0,0.0108256437979271
