,PCC
OBSEA/2020-01-02.out,0.072803205705415
OBSEA/2020-01-03.out,0.2357096553064653
OBSEA/2020-01-04.out,0.2894409260477342
OBSEA/2020-01-05.out,0.1070281347803059
OBSEA/2020-01-06.out,0.0551886117606113
OBSEA/2020-01-07.out,0.6356232745114032
OBSEA/2020-01-08.out,0.5297128497923879
OBSEA/2020-01-09.out,0.5953263987714615
OBSEA/2020-02-29.out,0.0449984498501273
OBSEA/2020-03-10.out,0.0754734074033225
OBSEA/2020-03-15.out,0.3855229673737826
OBSEA/2020-03-17.out,0.2627991566185453
OBSEA/2020-03-29.out,0.1204663545177808
OBSEA/2020-04-01.out,0.0651519250962296
OBSEA/2020-04-10.out,0.3648838453118187
OBSEA/2020-04-11.out,0.4316556560202762
OBSEA/2020-04-15.out,0.4540860836606006
OBSEA/2020-04-23.out,0.2774166090617756
OBSEA/2020-04-24.out,0.6961701672269006
OBSEA/2020-05-01.out,0.2332759133405403
OBSEA/2020-05-04.out,0.1476389255352825
OBSEA/2020-05-05.out,0.5061024314240951
OBSEA/2020-05-06.out,0.0463064126944795
OBSEA/2020-05-08.out,0.2109592669066857
OBSEA/2020-05-09.out,0.9184301748682616
OBSEA/2020-05-12.out,0.6181175464972465
OBSEA/2020-05-14.out,0.7001169759640801
OBSEA/2020-05-15.out,0.3877918344853489
OBSEA/2020-05-16.out,0.7967215789119181
OBSEA/2020-05-23.out,0.0396146992417814
OBSEA/2020-05-24.out,0.2516375558713012
OBSEA/2020-05-26.out,0.0730129007483202
OBSEA/2020-05-27.out,0.156088111486034
OBSEA/2020-05-28.out,0.762950082354564
OBSEA/2020-05-29.out,0.2304066785645563
OBSEA/2020-05-30.out,0.3285195656643808
OBSEA/2020-05-31.out,0.003266960383177
OBSEA/2020-06-01.out,0.1098828337956833
OBSEA/2020-06-04.out,0.3001866824909244
OBSEA/2020-06-05.out,0.4665471930598047
OBSEA/2020-06-07.out,0.492468953787097
OBSEA/2020-06-08.out,0.3410464391011735
OBSEA/2020-06-09.out,0.3348763838481621
