,AutoEncoder (AE)
OBSEA/2020-01-02.out,0.1359885289584669
OBSEA/2020-01-03.out,0.9015898048160425
OBSEA/2020-01-04.out,0.902596092301408
OBSEA/2020-01-05.out,0.6013291311199261
OBSEA/2020-01-06.out,0.6741389970422605
OBSEA/2020-01-07.out,0.7316276425028514
OBSEA/2020-01-08.out,0.6919467216989366
OBSEA/2020-01-09.out,0.5038571739292678
OBSEA/2020-01-20.out,0.8831987856768521
OBSEA/2020-02-29.out,0.785130707402318
OBSEA/2020-03-10.out,0.4502923675926366
OBSEA/2020-03-15.out,0.4834344660194175
OBSEA/2020-03-17.out,0.7619268936542491
OBSEA/2020-03-29.out,0.2222385755547529
OBSEA/2020-04-01.out,0.4118493281270504
OBSEA/2020-04-10.out,0.4190309693957233
OBSEA/2020-04-11.out,0.3183888826321628
OBSEA/2020-04-15.out,0.1050839386614399
OBSEA/2020-04-23.out,0.453566949692902
OBSEA/2020-04-24.out,0.6616049808693518
OBSEA/2020-05-01.out,0.4198578365873953
OBSEA/2020-05-04.out,0.3075109889889863
OBSEA/2020-05-05.out,0.0891189416255758
OBSEA/2020-05-06.out,0.7811105654486079
OBSEA/2020-05-08.out,0.4898171323651996
OBSEA/2020-05-09.out,0.5619193239672085
OBSEA/2020-05-10.out,0.2618615240354118
OBSEA/2020-05-12.out,0.6712736226711092
OBSEA/2020-05-13.out,0.4539500144331142
OBSEA/2020-05-14.out,0.7217659614784105
OBSEA/2020-05-15.out,0.4649954102140019
OBSEA/2020-05-16.out,0.5002957698039665
OBSEA/2020-05-23.out,0.2046114359974009
OBSEA/2020-05-24.out,0.7006858991907017
OBSEA/2020-05-26.out,0.2590471636629757
OBSEA/2020-05-27.out,0.4526952900442779
OBSEA/2020-05-28.out,0.9402657433869858
OBSEA/2020-05-29.out,0.6169652377079864
OBSEA/2020-05-30.out,0.3148454514056488
OBSEA/2020-05-31.out,0.8585428254561648
OBSEA/2020-06-01.out,0.4550462971468464
OBSEA/2020-06-04.out,0.4792472221642594
OBSEA/2020-06-05.out,0.2005265365080844
OBSEA/2020-06-07.out,0.5745061828694016
OBSEA/2020-06-08.out,0.2449792258664935
OBSEA/2020-06-09.out,0.406499113318388
OBSEA/2020-06-10.out,0.2439850404323426
OBSEA/2020-06-11.out,0.2887735170300692
OBSEA/2020-06-13.out,0.3271857175441988
OBSEA/2020-06-14.out,0.4381592362476145
OBSEA/2020-06-15.out,0.4548604049848536
OBSEA/2020-06-16.out,0.57416237767307
OBSEA/2020-06-17.out,0.3695425269369461
OBSEA/2020-06-18.out,0.6207767740025805
OBSEA/2020-06-19.out,0.6515974250417707
OBSEA/2020-06-20.out,0.4865207008474581
OBSEA/2020-06-21.out,0.3498444419197147
OBSEA/2020-06-22.out,0.8137069525666017
OBSEA/2020-06-23.out,0.6735003222540953
OBSEA/2020-06-24.out,0.8538008009599953
OBSEA/2020-06-25.out,0.1399487053000073
OBSEA/2020-06-26.out,0.2566831825660378
OBSEA/2020-06-27.out,0.2522095959595959
OBSEA/2020-06-28.out,0.467943642397289
OBSEA/2020-06-29.out,0.6686325955546202
OBSEA/2020-06-30.out,0.6422923036514369
OBSEA/2020-07-01.out,0.3568490365860907
OBSEA/2020-07-02.out,0.4755200211222833
OBSEA/2020-07-03.out,0.2721714722586282
OBSEA/2020-07-04.out,0.5319109054089721
OBSEA/2020-07-05.out,0.329658762838288
