,AutoEncoder (AE)
OBSEA/2020-06-14.out,0.0592383638928067
OBSEA/2020-06-15.out,0.0
OBSEA/2020-06-16.out,0.503370786516854
OBSEA/2020-06-17.out,0.0
OBSEA/2020-06-18.out,0.2063492063492063
OBSEA/2020-06-19.out,0.3005780346820809
OBSEA/2020-06-20.out,0.1267743514439549
OBSEA/2020-06-21.out,0.0
OBSEA/2020-06-22.out,0.5777777777777777
OBSEA/2020-06-23.out,0.5379464285714286
OBSEA/2020-06-24.out,0.4926829268292683
OBSEA/2020-06-25.out,0.0
OBSEA/2020-06-26.out,0.0168374816983894
OBSEA/2020-06-27.out,0.0
OBSEA/2020-06-28.out,0.2154006243496358
OBSEA/2020-06-29.out,0.792156862745098
OBSEA/2020-06-30.out,0.4050235478806907
OBSEA/2020-07-01.out,0.139814309120699
OBSEA/2020-07-02.out,0.0757575757575757
OBSEA/2020-07-03.out,0.0
OBSEA/2020-07-04.out,0.6476608187134503
OBSEA/2020-07-05.out,0.0080875356803044
OBSEA/2020-07-06.out,0.1099887766554433
OBSEA/2020-07-07.out,0.669747381392483
OBSEA/2020-07-08.out,0.3488372093023256
OBSEA/2020-07-09.out,0.5185444366689993
OBSEA/2020-07-10.out,0.001188589540412
OBSEA/2020-07-11.out,0.0
OBSEA/2020-07-12.out,0.5475530932594644
OBSEA/2020-07-13.out,0.0
OBSEA/2020-07-14.out,0.0242382271468144
OBSEA/2020-07-15.out,0.5740090316106372
OBSEA/2020-07-16.out,0.0
OBSEA/2020-07-17.out,0.0
OBSEA/2020-07-18.out,0.0907343329488658
OBSEA/2020-07-19.out,0.0254735467015022
OBSEA/2020-07-20.out,0.6376811594202898
OBSEA/2020-07-21.out,0.7666666666666667
OBSEA/2020-07-22.out,0.0
OBSEA/2020-07-23.out,0.0
OBSEA/2020-07-24.out,0.631578947368421
OBSEA/2020-07-25.out,0.0
OBSEA/2020-07-26.out,0.3357664233576642
OBSEA/2020-07-27.out,0.8333333333333334
OBSEA/2020-07-28.out,0.0421052631578947
OBSEA/2020-08-01.out,0.911439114391144
OBSEA/2020-08-02.out,0.7670250896057348
OBSEA/2020-08-03.out,0.8806179775280899
OBSEA/2020-08-04.out,0.4012021036814425
OBSEA/2020-08-05.out,0.2293428757319453
OBSEA/2020-08-06.out,0.5844155844155844
OBSEA/2020-08-07.out,0.6198347107438017
OBSEA/2020-08-08.out,0.0
OBSEA/2020-08-09.out,0.0
OBSEA/2020-08-10.out,0.0
OBSEA/2020-08-11.out,0.2034104750304506
OBSEA/2020-08-12.out,0.2471839799749687
OBSEA/2020-08-13.out,0.8995433789954338
OBSEA/2020-08-14.out,0.6519129782445612
OBSEA/2020-08-15.out,0.0
