,AutoEncoder (AE)
OBSEA/2020-01-02.out,0.1839105171222969
OBSEA/2020-01-03.out,0.2564430575284797
OBSEA/2020-01-04.out,0.4178000261315451
OBSEA/2020-01-05.out,0.110887296467821
OBSEA/2020-01-06.out,0.4401717275762665
OBSEA/2020-01-07.out,0.5707096770340446
OBSEA/2020-01-08.out,0.4348263919146626
OBSEA/2020-01-09.out,0.5422674401853698
OBSEA/2020-01-10.out,1.0
OBSEA/2020-01-11.out,1.0
OBSEA/2020-01-12.out,1.0
OBSEA/2020-01-13.out,1.0
OBSEA/2020-01-14.out,1.0
OBSEA/2020-01-15.out,1.0
OBSEA/2020-01-16.out,1.0
OBSEA/2020-01-17.out,1.0
OBSEA/2020-01-18.out,1.0
OBSEA/2020-01-19.out,1.0
OBSEA/2020-01-20.out,0.963247525573054
OBSEA/2020-01-21.out,1.0
OBSEA/2020-01-22.out,1.0
OBSEA/2020-02-29.out,0.0393612134499891
OBSEA/2020-03-10.out,0.1611960361061008
OBSEA/2020-03-15.out,0.3217822489296625
OBSEA/2020-03-17.out,0.1647817929152229
OBSEA/2020-03-29.out,0.0573041578110442
OBSEA/2020-04-01.out,0.0547821637146883
OBSEA/2020-04-10.out,0.2943166126720133
OBSEA/2020-04-11.out,0.6061332743195688
OBSEA/2020-04-15.out,0.5745839446058433
OBSEA/2020-04-23.out,0.2746641079037371
OBSEA/2020-04-24.out,0.7449150457900883
OBSEA/2020-05-01.out,0.1509763514346846
OBSEA/2020-05-04.out,0.0883433526297024
OBSEA/2020-05-05.out,0.3747747280610192
OBSEA/2020-05-06.out,0.0336957952462872
OBSEA/2020-05-08.out,0.1687191940891954
OBSEA/2020-05-09.out,0.7846723607408058
OBSEA/2020-05-10.out,0.8839231148760667
OBSEA/2020-05-12.out,0.6644822668977065
OBSEA/2020-05-13.out,0.6394714132337274
OBSEA/2020-05-14.out,0.5639561977988473
OBSEA/2020-05-15.out,0.376333405645272
OBSEA/2020-05-16.out,0.7663682900210168
OBSEA/2020-05-23.out,0.0341461506110308
OBSEA/2020-05-24.out,0.265595778707299
OBSEA/2020-05-26.out,0.1587058546269179
OBSEA/2020-05-27.out,0.2790171647548994
OBSEA/2020-05-28.out,0.7384486000582745
OBSEA/2020-05-29.out,0.1871835752826646
OBSEA/2020-05-30.out,0.250135183461993
OBSEA/2020-05-31.out,0.0026400669498566
OBSEA/2020-06-01.out,0.1807792939130058
OBSEA/2020-06-04.out,0.2281408520036849
OBSEA/2020-06-05.out,0.4962010446071982
OBSEA/2020-06-07.out,0.3434829485565121
OBSEA/2020-06-08.out,0.3328894203633459
